cell_id,count,date,path,source,type
0,1,,/media/gisense/xihan/250812_CyberTraining_Team4/data/chips_600m/cell_00000/pre/cell_00000_pre.tif,,pre
0,,20250113,/media/gisense/xihan/250812_CyberTraining_Team4/data/chips_600m/cell_00000/post/cell_00000_post_20250113.tif,/media/gisense/xihan/250812_CyberTraining_Team4/data/raw/maxar_opendata/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102203/2025-01-13/103001010B9A1B00-visual.tif,post
0,,20250109,/media/gisense/xihan/250812_CyberTraining_Team4/data/chips_600m/cell_00000/post/cell_00000_post_20250109.tif,/media/gisense/xihan/250812_CyberTraining_Team4/data/raw/maxar_opendata/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102203/2025-01-09/10400100A069A700-visual.tif,post
0,,20250116,/media/gisense/xihan/250812_CyberTraining_Team4/data/chips_600m/cell_00000/post/cell_00000_post_20250116.tif,/media/gisense/xihan/250812_CyberTraining_Team4/data/raw/maxar_opendata/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102203/2025-01-16/105001004042BF00-visual.tif,post
0,,20250116,/media/gisense/xihan/250812_CyberTraining_Team4/data/chips_600m/cell_00000/post/cell_00000_post_20250116.tif,/media/gisense/xihan/250812_CyberTraining_Team4/data/raw/maxar_opendata/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102203/2025-01-16/103001010C12B000-visual.tif,post
0,,20250114,/media/gisense/xihan/250812_CyberTraining_Team4/data/chips_600m/cell_00000/post/cell_00000_post_20250114.tif,/media/gisense/xihan/250812_CyberTraining_Team4/data/raw/maxar_opendata/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102203/2025-01-14/10400100A06B8000-visual.tif,post
0,,20250114,/media/gisense/xihan/250812_CyberTraining_Team4/data/chips_600m/cell_00000/post/cell_00000_post_20250114.tif,/media/gisense/xihan/250812_CyberTraining_Team4/data/raw/maxar_opendata/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102203/2025-01-14/103001010C7D2D00-visual.tif,post
0,,20250115,/media/gisense/xihan/250812_CyberTraining_Team4/data/chips_600m/cell_00000/post/cell_00000_post_20250115.tif,/media/gisense/xihan/250812_CyberTraining_Team4/data/raw/maxar_opendata/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102203/2025-01-15/10400100A0B73800-visual.tif,post
0,,20250116,/media/gisense/xihan/250812_CyberTraining_Team4/data/chips_600m/cell_00000/post/cell_00000_post_20250116.tif,/media/gisense/xihan/250812_CyberTraining_Team4/data/raw/maxar_opendata/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102202/2025-01-16/105001004042BF00-visual.tif,post
1,1,,/media/gisense/xihan/250812_CyberTraining_Team4/data/chips_600m/cell_00001/pre/cell_00001_pre.tif,,pre
1,,20250113,/media/gisense/xihan/250812_CyberTraining_Team4/data/chips_600m/cell_00001/post/cell_00001_post_20250113.tif,/media/gisense/xihan/250812_CyberTraining_Team4/data/raw/maxar_opendata/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102203/2025-01-13/103001010B9A1B00-visual.tif,post
1,,20250109,/media/gisense/xihan/250812_CyberTraining_Team4/data/chips_600m/cell_00001/post/cell_00001_post_20250109.tif,/media/gisense/xihan/250812_CyberTraining_Team4/data/raw/maxar_opendata/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102203/2025-01-09/10400100A069A700-visual.tif,post
1,,20250116,/media/gisense/xihan/250812_CyberTraining_Team4/data/chips_600m/cell_00001/post/cell_00001_post_20250116.tif,/media/gisense/xihan/250812_CyberTraining_Team4/data/raw/maxar_opendata/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102203/2025-01-16/105001004042BF00-visual.tif,post
1,,20250116,/media/gisense/xihan/250812_CyberTraining_Team4/data/chips_600m/cell_00001/post/cell_00001_post_20250116.tif,/media/gisense/xihan/250812_CyberTraining_Team4/data/raw/maxar_opendata/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102203/2025-01-16/103001010C12B000-visual.tif,post
1,,20250114,/media/gisense/xihan/250812_CyberTraining_Team4/data/chips_600m/cell_00001/post/cell_00001_post_20250114.tif,/media/gisense/xihan/250812_CyberTraining_Team4/data/raw/maxar_opendata/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102203/2025-01-14/10400100A06B8000-visual.tif,post
1,,20250114,/media/gisense/xihan/250812_CyberTraining_Team4/data/chips_600m/cell_00001/post/cell_00001_post_20250114.tif,/media/gisense/xihan/250812_CyberTraining_Team4/data/raw/maxar_opendata/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102203/2025-01-14/103001010C7D2D00-visual.tif,post
1,,20250115,/media/gisense/xihan/250812_CyberTraining_Team4/data/chips_600m/cell_00001/post/cell_00001_post_20250115.tif,/media/gisense/xihan/250812_CyberTraining_Team4/data/raw/maxar_opendata/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102203/2025-01-15/10400100A0B73800-visual.tif,post
1,,20250116,/media/gisense/xihan/250812_CyberTraining_Team4/data/chips_600m/cell_00001/post/cell_00001_post_20250116.tif,/media/gisense/xihan/250812_CyberTraining_Team4/data/raw/maxar_opendata/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102202/2025-01-16/105001004042BF00-visual.tif,post
2,1,,/media/gisense/xihan/250812_CyberTraining_Team4/data/chips_600m/cell_00002/pre/cell_00002_pre.tif,,pre
2,,20250113,/media/gisense/xihan/250812_CyberTraining_Team4/data/chips_600m/cell_00002/post/cell_00002_post_20250113.tif,/media/gisense/xihan/250812_CyberTraining_Team4/data/raw/maxar_opendata/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102203/2025-01-13/103001010B9A1B00-visual.tif,post
2,,20250109,/media/gisense/xihan/250812_CyberTraining_Team4/data/chips_600m/cell_00002/post/cell_00002_post_20250109.tif,/media/gisense/xihan/250812_CyberTraining_Team4/data/raw/maxar_opendata/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102203/2025-01-09/10400100A069A700-visual.tif,post
2,,20250116,/media/gisense/xihan/250812_CyberTraining_Team4/data/chips_600m/cell_00002/post/cell_00002_post_20250116.tif,/media/gisense/xihan/250812_CyberTraining_Team4/data/raw/maxar_opendata/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102203/2025-01-16/105001004042BF00-visual.tif,post
2,,20250116,/media/gisense/xihan/250812_CyberTraining_Team4/data/chips_600m/cell_00002/post/cell_00002_post_20250116.tif,/media/gisense/xihan/250812_CyberTraining_Team4/data/raw/maxar_opendata/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102203/2025-01-16/103001010C12B000-visual.tif,post
2,,20250114,/media/gisense/xihan/250812_CyberTraining_Team4/data/chips_600m/cell_00002/post/cell_00002_post_20250114.tif,/media/gisense/xihan/250812_CyberTraining_Team4/data/raw/maxar_opendata/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102203/2025-01-14/10400100A06B8000-visual.tif,post
2,,20250114,/media/gisense/xihan/250812_CyberTraining_Team4/data/chips_600m/cell_00002/post/cell_00002_post_20250114.tif,/media/gisense/xihan/250812_CyberTraining_Team4/data/raw/maxar_opendata/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102203/2025-01-14/103001010C7D2D00-visual.tif,post
2,,20250115,/media/gisense/xihan/250812_CyberTraining_Team4/data/chips_600m/cell_00002/post/cell_00002_post_20250115.tif,/media/gisense/xihan/250812_CyberTraining_Team4/data/raw/maxar_opendata/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102203/2025-01-15/10400100A0B73800-visual.tif,post
2,,20250116,/media/gisense/xihan/250812_CyberTraining_Team4/data/chips_600m/cell_00002/post/cell_00002_post_20250116.tif,/media/gisense/xihan/250812_CyberTraining_Team4/data/raw/maxar_opendata/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102202/2025-01-16/105001004042BF00-visual.tif,post
3,1,,/media/gisense/xihan/250812_CyberTraining_Team4/data/chips_600m/cell_00003/pre/cell_00003_pre.tif,,pre
3,,20250113,/media/gisense/xihan/250812_CyberTraining_Team4/data/chips_600m/cell_00003/post/cell_00003_post_20250113.tif,/media/gisense/xihan/250812_CyberTraining_Team4/data/raw/maxar_opendata/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102221/2025-01-13/103001010B9A1B00-visual.tif,post
3,,20250116,/media/gisense/xihan/250812_CyberTraining_Team4/data/chips_600m/cell_00003/post/cell_00003_post_20250116.tif,/media/gisense/xihan/250812_CyberTraining_Team4/data/raw/maxar_opendata/events/WildFires-LosAngeles-Jan-2025/ard/11/031311102221/2025-01-16/105001004042BF00-visual.tif,post
