cell_id,bldg_uid,m1_damage_class,m1_damage_label,m1_prob_no_damage,m1_prob_minor,m1_prob_major,m1_prob_destroyed,m1b_damage_class,m1b_damage_label,m2_majority_class,m2b_damage_class,m2b_damage_label,m3_quality_filtered_class,n_dates_total,n_dates_used,n_dates_rejected,n_dates_valid_coverage,label_entropy,is_unstable,sam3_confidence,stage2a_type,stage2a_population,polygon_wkt_utm,centroid_utm_x,centroid_utm_y,centroid_lon,centroid_lat,crop_x0,crop_y0
cell_00046,06f05347-c765-4dd1-a2d0-de6d0b7a34b5,0,no_damage,0.812,0.1178,0.003,0.0672,0,no_damage,0,0,no_damage,0,5,4,1,4,-0.0,False,0.7031,,,"POLYGON ((348363.479 3770794.303, 348363.479 3770793.388, 348363.174 3770793.388, 348363.174 3770791.862, 348362.869 3770791.862, 348362.869 3770791.556, 348362.564 3770791.556, 348362.564 3770791.251, 348361.953 3770791.251, 348361.953 3770790.946, 348361.343 3770790.946, 348361.343 3770790.641, 348361.038 3770790.641, 348361.038 3770789.725, 348361.343 3770789.725, 348361.343 3770789.115, 348361.648 3770789.115, 348361.648 3770788.810, 348361.953 3770788.810, 348361.953 3770788.505, 348362.258 3770788.505, 348362.258 3770788.199, 348362.564 3770788.199, 348362.564 3770787.284, 348362.869 3770787.284, 348362.869 3770786.368, 348363.174 3770786.368, 348363.174 3770785.148, 348363.479 3770785.148, 348363.479 3770784.232, 348363.784 3770784.232, 348363.784 3770781.180, 348364.090 3770781.180, 348364.090 3770780.875, 348364.395 3770780.875, 348364.395 3770780.570, 348364.700 3770780.570, 348364.700 3770779.959, 348365.005 3770779.959, 348365.005 3770779.349, 348365.310 3770779.349, 348365.310 3770779.044, 348366.836 3770779.044, 348366.836 3770779.349, 348367.141 3770779.349, 348367.141 3770781.790, 348367.447 3770781.790, 348367.447 3770783.316, 348367.752 3770783.316, 348367.752 3770783.927, 348368.057 3770783.927, 348368.057 3770784.537, 348368.362 3770784.537, 348368.362 3770784.842, 348368.667 3770784.842, 348368.667 3770786.673, 348368.362 3770786.673, 348368.362 3770787.284, 348368.057 3770787.284, 348368.057 3770787.589, 348367.752 3770787.589, 348367.752 3770787.894, 348367.447 3770787.894, 348367.447 3770788.199, 348367.141 3770788.199, 348367.141 3770788.810, 348366.836 3770788.810, 348366.836 3770789.725, 348367.141 3770789.725, 348367.141 3770791.251, 348366.836 3770791.251, 348366.836 3770792.167, 348366.531 3770792.167, 348366.531 3770792.472, 348366.226 3770792.472, 348366.226 3770792.777, 348365.921 3770792.777, 348365.921 3770793.388, 348365.615 3770793.388, 348365.615 3770793.693, 348365.310 3770793.693, 348365.310 3770793.998, 348365.005 3770793.998, 348365.005 3770794.303, 348363.479 3770794.303))",348365.03,3770787.52,-118.6432021,34.06686,1069,570
cell_00046,0b202b74-38f9-43a9-96e4-c8cced881b98,0,no_damage,0.8092,0.1109,0.0207,0.0591,0,no_damage,0,0,no_damage,0,5,4,1,4,-0.0,False,0.7368,,,"POLYGON ((348579.247 3770430.824, 348579.247 3770429.908, 348578.942 3770429.908, 348578.942 3770429.298, 348578.637 3770429.298, 348578.637 3770428.993, 348578.332 3770428.993, 348578.332 3770428.688, 348578.026 3770428.688, 348578.026 3770428.077, 348577.721 3770428.077, 348577.721 3770427.162, 348577.416 3770427.162, 348577.416 3770426.551, 348577.111 3770426.551, 348577.111 3770425.331, 348576.806 3770425.331, 348576.806 3770425.025, 348577.111 3770425.025, 348577.111 3770424.110, 348577.416 3770424.110, 348577.416 3770423.805, 348577.721 3770423.805, 348577.721 3770423.499, 348578.026 3770423.499, 348578.026 3770423.194, 348578.637 3770423.194, 348578.637 3770422.889, 348579.247 3770422.889, 348579.247 3770422.584, 348579.858 3770422.584, 348579.858 3770422.279, 348580.773 3770422.279, 348580.773 3770421.974, 348581.384 3770421.974, 348581.384 3770421.668, 348581.994 3770421.668, 348581.994 3770421.363, 348582.299 3770421.363, 348582.299 3770421.058, 348583.520 3770421.058, 348583.520 3770420.753, 348583.825 3770420.753, 348583.825 3770420.448, 348584.435 3770420.448, 348584.435 3770420.142, 348584.741 3770420.142, 348584.741 3770419.837, 348585.351 3770419.837, 348585.351 3770419.532, 348586.267 3770419.532, 348586.267 3770419.227, 348586.572 3770419.227, 348586.572 3770418.922, 348587.182 3770418.922, 348587.182 3770418.616, 348587.792 3770418.616, 348587.792 3770418.311, 348588.403 3770418.311, 348588.403 3770418.006, 348589.013 3770418.006, 348589.013 3770417.701, 348589.624 3770417.701, 348589.624 3770417.396, 348590.234 3770417.396, 348590.234 3770417.091, 348590.844 3770417.091, 348590.844 3770416.785, 348591.455 3770416.785, 348591.455 3770416.480, 348592.065 3770416.480, 348592.065 3770416.175, 348592.675 3770416.175, 348592.675 3770415.870, 348593.286 3770415.870, 348593.286 3770415.565, 348593.896 3770415.565, 348593.896 3770415.259, 348594.201 3770415.259, 348594.201 3770414.954, 348594.507 3770414.954, 348594.507 3770414.649, 348594.812 3770414.649, 348594.812 3770414.344, 348595.727 3770414.344, 348595.727 3770414.039, 348596.338 3770414.039, 348596.338 3770413.733, 348596.643 3770413.733, 348596.643 3770413.428, 348597.253 3770413.428, 348597.253 3770413.123, 348597.558 3770413.123, 348597.558 3770412.818, 348598.169 3770412.818, 348598.169 3770412.513, 348598.779 3770412.513, 348598.779 3770412.208, 348599.390 3770412.208, 348599.390 3770411.902, 348600.000 3770411.902, 348600.000 3770424.110, 348599.390 3770424.110, 348599.390 3770424.415, 348598.779 3770424.415, 348598.779 3770424.720, 348598.169 3770424.720, 348598.169 3770425.025, 348597.558 3770425.025, 348597.558 3770425.331, 348597.253 3770425.331, 348597.253 3770425.636, 348596.643 3770425.636, 348596.643 3770425.941, 348596.033 3770425.941, 348596.033 3770426.246, 348595.727 3770426.246, 348595.727 3770426.551, 348595.117 3770426.551, 348595.117 3770426.857, 348594.812 3770426.857, 348594.812 3770427.162, 348593.896 3770427.162, 348593.896 3770427.467, 348591.760 3770427.467, 348591.760 3770427.772, 348591.150 3770427.772, 348591.150 3770428.077, 348590.539 3770428.077, 348590.539 3770428.383, 348589.929 3770428.383, 348589.929 3770428.688, 348589.318 3770428.688, 348589.318 3770428.993, 348589.013 3770428.993, 348589.013 3770429.298, 348588.098 3770429.298, 348588.098 3770429.603, 348585.961 3770429.603, 348585.961 3770429.298, 348585.656 3770429.298, 348585.656 3770428.688, 348585.351 3770428.688, 348585.351 3770427.772, 348585.046 3770427.772, 348585.046 3770427.467, 348585.351 3770427.467, 348585.351 3770425.636, 348584.741 3770425.636, 348584.741 3770424.415, 348583.825 3770424.415, 348583.825 3770424.720, 348583.520 3770424.720, 348583.520 3770425.331, 348583.215 3770425.331, 348583.215 3770425.636, 348582.909 3770425.636, 348582.909 3770426.551, 348582.604 3770426.551, 348582.604 3770428.383, 348582.299 3770428.383, 348582.299 3770428.993, 348581.994 3770428.993, 348581.994 3770429.298, 348581.689 3770429.298, 348581.689 3770429.603, 348581.384 3770429.603, 348581.384 3770429.908, 348581.078 3770429.908, 348581.078 3770430.214, 348580.468 3770430.214, 348580.468 3770430.519, 348579.858 3770430.519, 348579.858 3770430.824, 348579.247 3770430.824))",348587.49,3770423.0,-118.640729,34.0636059,1710,1710
cell_00046,11f92625-e74e-44e4-a0ff-d75e99351661,0,no_damage,0.7679,0.1598,0.0276,0.0447,0,no_damage,0,0,no_damage,0,5,4,1,4,0.4056,True,0.7879,,,"POLYGON ((348409.563 3770511.089, 348409.563 3770510.783, 348408.952 3770510.783, 348408.952 3770510.478, 348408.342 3770510.478, 348408.342 3770510.173, 348407.731 3770510.173, 348407.731 3770509.868, 348407.121 3770509.868, 348407.121 3770509.563, 348406.205 3770509.563, 348406.205 3770509.257, 348405.900 3770509.257, 348405.900 3770508.952, 348405.290 3770508.952, 348405.290 3770508.647, 348404.680 3770508.647, 348404.680 3770508.342, 348404.069 3770508.342, 348404.069 3770508.037, 348403.459 3770508.037, 348403.459 3770507.731, 348402.848 3770507.731, 348402.848 3770507.426, 348401.933 3770507.426, 348401.933 3770507.121, 348401.017 3770507.121, 348401.017 3770506.816, 348400.407 3770506.816, 348400.407 3770506.511, 348400.102 3770506.511, 348400.102 3770506.205, 348399.797 3770506.205, 348399.797 3770504.680, 348400.102 3770504.680, 348400.102 3770503.764, 348400.407 3770503.764, 348400.407 3770502.848, 348400.712 3770502.848, 348400.712 3770501.933, 348401.017 3770501.933, 348401.017 3770500.407, 348401.322 3770500.407, 348401.322 3770499.186, 348401.628 3770499.186, 348401.628 3770498.271, 348401.933 3770498.271, 348401.933 3770497.660, 348402.238 3770497.660, 348402.238 3770497.050, 348402.543 3770497.050, 348402.543 3770496.439, 348402.848 3770496.439, 348402.848 3770496.134, 348403.764 3770496.134, 348403.764 3770495.829, 348404.069 3770495.829, 348404.069 3770496.134, 348404.985 3770496.134, 348404.985 3770496.439, 348405.595 3770496.439, 348405.595 3770496.745, 348406.205 3770496.745, 348406.205 3770497.355, 348406.511 3770497.355, 348406.511 3770497.660, 348407.121 3770497.660, 348407.121 3770497.965, 348408.342 3770497.965, 348408.342 3770498.271, 348409.257 3770498.271, 348409.257 3770498.576, 348409.868 3770498.576, 348409.868 3770498.881, 348410.783 3770498.881, 348410.783 3770499.186, 348410.173 3770499.186, 348410.173 3770510.783, 348410.478 3770510.783, 348410.478 3770511.089, 348409.563 3770511.089))",348404.73,3770503.23,-118.6427226,34.0643028,1201,1500
cell_00046,171a601e-0b1c-4bbb-8b34-3fb6457baf61,0,no_damage,0.6665,0.2425,0.0383,0.0527,0,no_damage,0,0,no_damage,0,5,4,1,4,-0.0,False,0.7434,,,"POLYGON ((348427.114 3770637.946, 348424.614 3770636.905, 348427.480 3770630.023, 348429.452 3770630.844, 348430.624 3770628.027, 348438.046 3770631.119, 348436.962 3770633.722, 348439.654 3770634.842, 348436.978 3770641.267, 348432.595 3770639.441, 348431.145 3770642.921, 348425.945 3770640.754, 348427.114 3770637.946))",348431.72,3770635.65,-118.6424533,34.0655005,1287,1066
cell_00046,1f166348-463d-433f-ac80-8a4862228cc3,0,no_damage,0.5559,0.3221,0.0662,0.0559,0,no_damage,0,0,no_damage,0,5,4,1,4,0.4056,True,0.0,,,"POLYGON ((348429.095 3770702.442, 348429.095 3770702.136, 348429.400 3770702.136, 348429.400 3770701.831, 348429.705 3770701.831, 348429.705 3770677.721, 348428.179 3770677.721, 348428.179 3770678.026, 348427.569 3770678.026, 348427.569 3770678.332, 348425.738 3770678.332, 348425.738 3770678.637, 348424.517 3770678.637, 348424.517 3770678.942, 348423.296 3770678.942, 348423.296 3770678.637, 348424.212 3770678.637, 348424.212 3770678.332, 348424.822 3770678.332, 348424.822 3770678.026, 348426.043 3770678.026, 348426.043 3770677.721, 348427.569 3770677.721, 348427.569 3770677.416, 348427.874 3770677.416, 348427.874 3770677.111, 348428.484 3770677.111, 348428.484 3770676.501, 348429.095 3770676.501, 348429.095 3770676.195, 348429.400 3770676.195, 348429.400 3770675.890, 348430.010 3770675.890, 348430.010 3770675.585, 348430.926 3770675.585, 348430.926 3770675.890, 348431.536 3770675.890, 348431.536 3770676.195, 348431.841 3770676.195, 348431.841 3770676.806, 348432.146 3770676.806, 348432.146 3770677.111, 348432.452 3770677.111, 348432.452 3770678.026, 348432.757 3770678.026, 348432.757 3770678.332, 348433.062 3770678.332, 348433.062 3770678.637, 348433.367 3770678.637, 348433.367 3770678.942, 348433.672 3770678.942, 348433.672 3770679.247, 348433.978 3770679.247, 348433.978 3770679.552, 348434.283 3770679.552, 348434.283 3770681.689, 348433.978 3770681.689, 348433.978 3770682.604, 348433.672 3770682.604, 348433.672 3770683.520, 348433.367 3770683.520, 348433.367 3770684.435, 348433.062 3770684.435, 348433.062 3770684.741, 348432.757 3770684.741, 348432.757 3770685.351, 348432.452 3770685.351, 348432.452 3770685.961, 348432.146 3770685.961, 348432.146 3770686.267, 348431.841 3770686.267, 348431.841 3770686.877, 348431.536 3770686.877, 348431.536 3770687.182, 348431.231 3770687.182, 348431.231 3770687.487, 348430.926 3770687.487, 348430.926 3770688.098, 348430.621 3770688.098, 348430.621 3770688.708, 348430.315 3770688.708, 348430.315 3770689.318, 348430.621 3770689.318, 348430.621 3770689.929, 348430.926 3770689.929, 348430.926 3770690.234, 348431.231 3770690.234, 348431.231 3770690.539, 348431.536 3770690.539, 348431.536 3770690.844, 348432.146 3770690.844, 348432.146 3770691.150, 348432.452 3770691.150, 348432.452 3770691.455, 348432.757 3770691.455, 348432.757 3770691.760, 348433.062 3770691.760, 348433.062 3770692.065, 348433.367 3770692.065, 348433.367 3770692.370, 348433.672 3770692.370, 348433.672 3770692.981, 348433.978 3770692.981, 348433.978 3770693.591, 348434.283 3770693.591, 348434.283 3770694.812, 348433.978 3770694.812, 348433.978 3770695.727, 348433.672 3770695.727, 348433.672 3770696.338, 348433.367 3770696.338, 348433.367 3770696.948, 348433.062 3770696.948, 348433.062 3770697.558, 348432.757 3770697.558, 348432.757 3770697.864, 348432.452 3770697.864, 348432.452 3770698.474, 348432.146 3770698.474, 348432.146 3770698.779, 348431.841 3770698.779, 348431.841 3770699.695, 348431.536 3770699.695, 348431.536 3770700.000, 348431.231 3770700.000, 348431.231 3770700.916, 348430.926 3770700.916, 348430.926 3770701.526, 348430.621 3770701.526, 348430.621 3770701.831, 348430.315 3770701.831, 348430.315 3770702.136, 348430.010 3770702.136, 348430.010 3770702.442, 348429.095 3770702.442))",348431.06,3770687.16,-118.6424694,34.0659648,1285,896
cell_00046,2bb4bdc6-0c0e-412a-b337-38fe5a10412a,0,no_damage,0.817,0.105,0.0281,0.0499,0,no_damage,0,0,no_damage,0,5,4,1,4,-0.0,False,0.5053,,,"POLYGON ((348498.745 3770707.157, 348521.933 3770732.344, 348509.841 3770743.474, 348486.653 3770718.290, 348498.745 3770707.157))",348504.29,3770725.32,-118.6416827,34.0663193,1524,772
cell_00046,32438258-fed0-4a96-8468-990af6ebcad3,0,no_damage,0.9252,0.0273,0.0024,0.0451,0,no_damage,0,0,no_damage,0,5,4,1,4,-0.0,False,0.7909,,,"POLYGON ((348372.024 3770826.653, 348372.024 3770826.348, 348371.414 3770826.348, 348371.414 3770826.043, 348370.804 3770826.043, 348370.804 3770825.738, 348370.193 3770825.738, 348370.193 3770825.432, 348369.888 3770825.432, 348369.888 3770825.127, 348369.583 3770825.127, 348369.583 3770824.822, 348369.278 3770824.822, 348369.278 3770824.517, 348368.973 3770824.517, 348368.973 3770824.212, 348368.667 3770824.212, 348368.667 3770823.906, 348368.362 3770823.906, 348368.362 3770823.601, 348368.057 3770823.601, 348368.057 3770823.296, 348367.752 3770823.296, 348367.752 3770822.991, 348367.141 3770822.991, 348367.141 3770822.686, 348366.836 3770822.686, 348366.836 3770820.549, 348367.141 3770820.549, 348367.141 3770819.939, 348367.447 3770819.939, 348367.447 3770819.329, 348367.752 3770819.329, 348367.752 3770819.023, 348368.057 3770819.023, 348368.057 3770818.718, 348368.362 3770818.718, 348368.362 3770818.413, 348368.667 3770818.413, 348368.667 3770818.108, 348368.973 3770818.108, 348368.973 3770817.803, 348369.278 3770817.803, 348369.278 3770817.497, 348369.888 3770817.497, 348369.888 3770817.192, 348370.193 3770817.192, 348370.193 3770816.887, 348370.498 3770816.887, 348370.498 3770816.582, 348370.804 3770816.582, 348370.804 3770816.277, 348371.109 3770816.277, 348371.109 3770815.972, 348371.414 3770815.972, 348371.414 3770815.666, 348371.719 3770815.666, 348371.719 3770815.056, 348372.024 3770815.056, 348372.024 3770814.751, 348372.330 3770814.751, 348372.330 3770814.446, 348372.635 3770814.446, 348372.635 3770814.140, 348373.245 3770814.140, 348373.245 3770813.835, 348373.550 3770813.835, 348373.550 3770813.530, 348373.856 3770813.530, 348373.856 3770813.225, 348374.161 3770813.225, 348374.161 3770812.920, 348374.466 3770812.920, 348374.466 3770812.614, 348374.771 3770812.614, 348374.771 3770812.309, 348375.076 3770812.309, 348375.076 3770812.004, 348375.381 3770812.004, 348375.381 3770811.699, 348375.687 3770811.699, 348375.687 3770811.394, 348375.992 3770811.394, 348375.992 3770810.783, 348376.602 3770810.783, 348376.602 3770810.478, 348376.907 3770810.478, 348376.907 3770810.173, 348377.518 3770810.173, 348377.518 3770810.478, 348377.823 3770810.478, 348377.823 3770810.783, 348378.128 3770810.783, 348378.128 3770811.089, 348378.433 3770811.089, 348378.433 3770811.394, 348378.739 3770811.394, 348378.739 3770811.699, 348379.044 3770811.699, 348379.044 3770812.004, 348379.349 3770812.004, 348379.349 3770812.614, 348379.654 3770812.614, 348379.654 3770812.920, 348379.959 3770812.920, 348379.959 3770813.835, 348380.264 3770813.835, 348380.264 3770814.446, 348379.959 3770814.446, 348379.959 3770815.056, 348380.264 3770815.056, 348380.264 3770815.972, 348379.959 3770815.972, 348379.959 3770818.108, 348379.654 3770818.108, 348379.654 3770819.023, 348379.349 3770819.023, 348379.349 3770819.939, 348379.044 3770819.939, 348379.044 3770820.244, 348378.739 3770820.244, 348378.739 3770820.549, 348378.433 3770820.549, 348378.433 3770820.855, 348378.128 3770820.855, 348378.128 3770821.160, 348377.823 3770821.160, 348377.823 3770821.465, 348377.518 3770821.465, 348377.518 3770821.770, 348377.213 3770821.770, 348377.213 3770822.075, 348376.907 3770822.075, 348376.907 3770822.380, 348376.602 3770822.380, 348376.602 3770822.686, 348376.297 3770822.686, 348376.297 3770822.991, 348375.992 3770822.991, 348375.992 3770823.296, 348375.687 3770823.296, 348375.687 3770823.601, 348375.381 3770823.601, 348375.381 3770823.906, 348375.076 3770823.906, 348375.076 3770824.212, 348374.771 3770824.212, 348374.771 3770824.517, 348374.466 3770824.517, 348374.466 3770824.822, 348374.161 3770824.822, 348374.161 3770825.127, 348373.856 3770825.127, 348373.856 3770825.432, 348373.550 3770825.432, 348373.550 3770826.043, 348373.245 3770826.043, 348373.245 3770826.348, 348372.635 3770826.348, 348372.635 3770826.653, 348372.024 3770826.653))",348373.88,3770818.62,-118.6431117,34.0671416,1098,466
cell_00046,3f24e7cf-3cfa-4893-ab29-db129bc8dfb7,0,no_damage,0.6359,0.2187,0.0977,0.0476,0,no_damage,0,0,no_damage,0,5,4,1,4,0.4056,True,0.8351,,,"POLYGON ((348488.322 3770496.443, 348493.175 3770492.399, 348493.810 3770493.162, 348506.744 3770482.382, 348514.556 3770491.761, 348496.770 3770506.581, 348488.322 3770496.443))",348498.9,3770493.79,-118.6417009,34.0642313,1515,1528
cell_00046,4234d899-8f84-4a02-b3e6-ff8d1ff96814,0,no_damage,0.7826,0.1478,0.025,0.0446,0,no_damage,0,0,no_damage,0,5,4,1,4,-0.0,False,0.7524,,,"POLYGON ((348219.736 3770571.821, 348219.736 3770571.211, 348220.041 3770571.211, 348220.041 3770569.990, 348220.346 3770569.990, 348220.346 3770567.854, 348220.651 3770567.854, 348220.651 3770563.581, 348220.956 3770563.581, 348220.956 3770562.970, 348221.567 3770562.970, 348221.567 3770562.665, 348223.398 3770562.665, 348223.398 3770562.360, 348225.839 3770562.360, 348225.839 3770562.055, 348229.502 3770562.055, 348229.502 3770561.750, 348232.859 3770561.750, 348232.859 3770562.055, 348233.164 3770562.055, 348233.164 3770564.496, 348233.469 3770564.496, 348233.469 3770565.107, 348233.774 3770565.107, 348233.774 3770565.412, 348234.690 3770565.412, 348234.690 3770565.717, 348234.995 3770565.717, 348234.995 3770566.022, 348235.300 3770566.022, 348235.300 3770566.633, 348235.605 3770566.633, 348235.605 3770567.243, 348235.300 3770567.243, 348235.300 3770568.769, 348234.995 3770568.769, 348234.995 3770569.990, 348234.690 3770569.990, 348234.690 3770570.600, 348234.385 3770570.600, 348234.385 3770570.905, 348234.079 3770570.905, 348234.079 3770571.516, 348233.774 3770571.516, 348233.774 3770570.295, 348220.956 3770570.295, 348220.956 3770570.600, 348220.651 3770570.600, 348220.651 3770571.211, 348220.346 3770571.211, 348220.346 3770571.516, 348220.041 3770571.516, 348220.041 3770571.821, 348219.736 3770571.821))",348228.34,3770567.2,-118.6446445,34.0648539,618,1293
cell_00046,45b633ed-e603-41f6-99b9-bf66beca1dbd,0,no_damage,0.3596,0.3129,0.2314,0.0961,0,no_damage,1,1,minor,0,5,4,1,4,0.4056,True,0.5513,,,"POLYGON ((348424.312 3770715.717, 348428.332 3770715.717, 348428.332 3770717.243, 348429.705 3770717.243, 348429.705 3770726.551, 348424.312 3770726.551, 348424.312 3770715.717))",348427.45,3770719.84,-118.6425142,34.0662588,1271,785
