variable,coefficient
female,-0.0165194026577343
edu_own,0.010306449241872712
Billboard_counts,0.006876602950261925
Bicycle_counts,-0.005704178954026136
Mailbox_counts,0.005526356275119601
Catch Basin_counts,-0.005148741480371593
Other Vehicle_ratios,-0.004572943984003328
Utility Pole_counts,0.00390254117196235
Bench_counts,0.00386072358144835
Other Rider_counts,-0.003640192250804542
Person_counts,0.0036394452140597034
Ground Animal_ratios,-0.003488769907978436
Junction Box_ratios,-0.003483857510282681
Trash Can_ratios,-0.003075978507967601
Bike Rack_ratios,-0.002953665066127489
Traffic Sign (Back)_ratios,-0.002873474465164619
time_now,-0.0027484885589400153
Boat_counts,0.0025165457784552376
Parking_ratios,-0.0023970154920488498
Fence_counts,0.002147660542521419
Bus_counts,0.0020901838076349405
Pothole_counts,0.0020883128194742907
Bench_ratios,0.0020098857388174893
Caravan_counts,0.0018841001867800926
Building_counts,0.0016673634707050269
Traffic Sign Frame_ratios,0.0016360710921081145
Bird_counts,0.0015307249668807346
Curb Cut_ratios,-0.001514644715467578
Terrain_counts,0.0014315285084285782
Mountain_ratios,-0.0013762697392698585
Road_ratios,0.0012583125823533135
ethnic,-0.0010379709940277
Fire Hydrant_ratios,-0.0009827757803710635
Motorcyclist_ratios,-0.0009121540297412011
Lane Marking - General_counts,-0.0008925930282565651
Curb_counts,0.0007897763137118436
Pedestrian Area_counts,0.0007768280527098411
Banner_counts,-0.0007606777589544332
CCTV Camera_ratios,0.0007522807082209571
Phone Booth_ratios,-0.0007066813755299092
Crosswalk - Plain_ratios,-0.000661441535690572
Lane Marking - Crosswalk_counts,-0.0005976054430104817
Caravan_ratios,0.0005442492513969565
Bike Lane_ratios,-0.000509305157165819
age,0.00042738911359614114
Snow_ratios,-0.00039789783752585225
Sidewalk_counts,0.0003132611295323392
Car Mount_counts,-0.00030594672409388736
Trash Can_counts,-0.0002695116187293741
Guard Rail_counts,-0.0001517530536595035
Bike Rack_counts,-0.00010806768509228964
Pothole_ratios,3.466080963355962e-05
On Rails_ratios,2.8879454279123944e-05
