variable,coefficient
edu_own,0.017908811776814713
female,-0.012705601493024682
Truck_ratios,-0.00762911216169217
Guard Rail_ratios,0.006598882896725549
Sidewalk_ratios,-0.006234108120667668
Caravan_counts,0.006059844436975333
Mailbox_ratios,-0.005402964308614051
Wheeled Slow_counts,-0.005366243007870986
Other Rider_counts,-0.005178453021667398
Junction Box_counts,0.005019433609219146
Mailbox_counts,0.00501600592475802
Motorcyclist_ratios,0.004792928474078337
Parking_ratios,-0.004235137700060263
Parking_counts,0.004137410695217149
Traffic Light_ratios,0.004082302208626391
ethnic,0.004024023982171082
Pole_ratios,-0.0038961492927857555
Rail Track_counts,-0.0038631562632486334
Lane Marking - General_ratios,-0.0037480233714803817
Guard Rail_counts,-0.003678101148923978
Bench_counts,0.0036171572094363807
Barrier_counts,0.003611801715439991
Service Lane_counts,0.003481773281940145
Traffic Sign (Front)_ratios,-0.003467582004831427
Curb_counts,0.0033179280697976476
Ground Animal_ratios,-0.003240353447825247
Lane Marking - General_counts,0.0030159218053205537
Fence_ratios,-0.0027398869165668606
Bus_counts,0.002638034089977738
Person_counts,0.002260677228283972
Bike Rack_ratios,-0.002253435085318133
Water_ratios,-0.002124037104471468
Caravan_ratios,-0.0021213318770287957
Vegetation_ratios,-0.0021075652668572234
Boat_ratios,-0.0020527689988397166
Manhole_counts,-0.002031686163626306
Mountain_counts,-0.0019092318339244642
Building_ratios,0.001879525936820086
Boat_counts,0.0017340920740551906
Barrier_ratios,0.0016769619450676344
Pothole_counts,0.0016093241235878015
Car Mount_counts,0.0014881402351937388
Pothole_ratios,-0.0013637665305828613
Traffic Sign Frame_ratios,-0.0012395962094861694
time_now,-0.0010914390980265435
Terrain_ratios,-0.0009770434742253048
Lane Marking - Crosswalk_ratios,0.0009025165700825399
age,-0.0008181474233248875
Trailer_ratios,-0.0008083054700208231
Traffic Light_counts,0.0006809107407366121
Banner_counts,-0.0006317137658631108
Mountain_ratios,-0.0006303512249170612
Bike Rack_counts,0.0005818377179661004
Curb Cut_counts,0.0005685240464709928
Utility Pole_ratios,0.0005471869921920495
Other Vehicle_counts,0.0005329694909659217
Bicyclist_ratios,0.0005325735463448662
Bench_ratios,0.00044998444250944386
Traffic Sign (Back)_ratios,0.0004259020344540832
Building_counts,-0.00031623348162122084
Wall_ratios,0.00029388178347944686
Crosswalk - Plain_counts,-0.00028334993185933163
Sand_ratios,0.00027633715799881117
On Rails_ratios,0.0002566595472988044
Tunnel_ratios,-0.00021458903179463434
CCTV Camera_ratios,-0.00016776463943479457
Ground Animal_counts,-0.00015115078723487
On Rails_counts,-9.479616757704835e-05
Fence_counts,-7.19534128749312e-05
Street Light_counts,-2.95053302220015e-05
Ego Vehicle_ratios,5.98937693013578e-06
