variable,coefficient
Curb_counts,0.027752356071950177
Curb_ratios,-0.020573378649570973
Snow_ratios,0.018262647080400148
edu_own,0.018258455001732725
female,0.018204148643121632
Pole_ratios,0.01729936481781481
Snow_counts,-0.016189793801323158
Mailbox_ratios,0.01556153976561511
Curb Cut_counts,-0.014562151537555365
Traffic Light_ratios,-0.013772964613508453
Terrain_counts,0.01364437971742981
Trash Can_ratios,-0.012430165281093189
Fence_counts,0.012418118927296858
Water_ratios,0.012019801769706736
Car_ratios,0.011492091466286878
Truck_counts,0.010675866683304452
Traffic Sign (Back)_ratios,-0.009616441264258008
Utility Pole_ratios,0.009110621426407228
Motorcyclist_ratios,-0.009015512961536002
Street Light_counts,-0.008944588700540722
Bike Rack_ratios,-0.008890637761590802
Utility Pole_counts,-0.008651204526513433
Mailbox_counts,-0.008569105595913647
Traffic Sign (Front)_ratios,0.008160201933749127
Other Vehicle_counts,-0.008131185183564031
Catch Basin_counts,-0.007955746938447675
Ground Animal_counts,0.007498990697039754
Motorcycle_counts,-0.007414502410610415
Bicycle_ratios,-0.006927130144523438
Bird_ratios,0.006620456050006445
ethnic,-0.006360141309717007
time_now,-0.0062827448056887334
Caravan_counts,-0.006217666208531538
Wall_counts,0.006149960715709083
Mountain_counts,0.005999304307051523
Guard Rail_ratios,0.005920465033979976
Bench_counts,0.0057956667406566745
Building_ratios,0.005704524737850608
Traffic Sign (Back)_counts,0.005615227881049847
Fire Hydrant_ratios,-0.005527824211575179
Car_counts,0.005512653974600107
Bike Rack_counts,0.005406608596141026
Caravan_ratios,0.005335688536464512
Lane Marking - General_counts,-0.004989363835215457
Pothole_ratios,0.004969514396544117
Pedestrian Area_ratios,-0.004956321114382507
Wheeled Slow_ratios,0.004887329863388751
Bicyclist_ratios,-0.004845086356541668
Ground Animal_ratios,-0.0048002673532195235
Person_counts,0.004773927769950036
Parking_counts,-0.004101402982979549
Vegetation_ratios,-0.0033638335258241317
Wheeled Slow_counts,0.00323793917257607
Sand_ratios,0.0030043813790626857
Billboard_counts,0.0028355631499994826
Sidewalk_counts,0.0027888294722931066
Car Mount_ratios,0.0027883312874045683
Phone Booth_counts,0.002752540318459565
Crosswalk - Plain_counts,-0.00269735822984029
Vegetation_counts,0.00251224804883255
Rail Track_ratios,-0.0025050554934264208
Rail Track_counts,-0.0025046682276607694
Ego Vehicle_ratios,-0.0024683770774685037
Road_ratios,0.0024652452505697707
Bike Lane_ratios,-0.002164248604928895
Other Rider_ratios,-0.0021467078557936884
Bridge_ratios,-0.002142949357588504
Boat_counts,-0.0020593247706556642
Manhole_counts,0.001975646305427476
Mountain_ratios,-0.001575755547191073
Sky_counts,-0.001568042548493024
Fence_ratios,-0.0014411210625744034
Terrain_ratios,0.0012514701209238577
Other Rider_counts,0.0012110883278578248
Service Lane_ratios,0.0011390449434964915
On Rails_ratios,-0.0010459708453010247
Sand_counts,0.000996596162305056
Truck_ratios,-0.0009876825371057199
Junction Box_ratios,-0.0008949573768176885
On Rails_counts,0.0007606232604257641
Pothole_counts,-0.0007293379234440954
Manhole_ratios,0.0004430723957403834
Lane Marking - Crosswalk_counts,-0.0003753831834020808
CCTV Camera_ratios,-0.0003173476863558933
Building_counts,0.00029622808231890955
Parking_ratios,0.0002555084763872217
Traffic Sign Frame_ratios,-0.00021077547043076464
Banner_counts,-0.00010273830421942545
Other Vehicle_ratios,-5.37931708632547e-05
