variable,coefficient
Rail Track_counts,-0.012128767194686299
Motorcyclist_ratios,0.010587985114898996
Bicycle_counts,-0.009847434882672687
Person_counts,0.008226456444210975
Barrier_counts,0.007946429732697984
Sand_counts,0.007800740354699959
Vegetation_ratios,0.007773330563807298
time_now,-0.007590207112516039
Traffic Sign (Front)_ratios,-0.007270639980742223
Truck_ratios,-0.006911334582964201
Wall_ratios,-0.006767813194755989
Other Vehicle_ratios,-0.006701649831489675
Person_ratios,-0.006606431279575214
Ground Animal_ratios,-0.0059715675083277025
Billboard_ratios,0.00583287433307365
Utility Pole_ratios,0.00570095427374383
Pothole_counts,0.005591192238703302
Guard Rail_ratios,0.005502567858641778
Motorcycle_ratios,-0.0054622984896468855
Other Vehicle_counts,0.005075909982872334
Mailbox_counts,0.0050551070842444375
Bench_ratios,0.005020933567095131
Tunnel_ratios,-0.005009855239827712
Parking_ratios,-0.004988094668219473
Parking_counts,0.004898467930427203
Other Rider_counts,-0.004427344291976515
Pothole_ratios,-0.004264938335904108
Ego Vehicle_counts,-0.004066058849427375
Car Mount_counts,0.004026805751020514
Street Light_counts,0.003936356171636961
Wheeled Slow_ratios,-0.0038302456972040453
Sand_ratios,-0.0037845791624785494
edu_own,0.003571741614030283
Fence_ratios,-0.003353398767599976
Banner_ratios,-0.0032774582531758553
Truck_counts,-0.003159431276965423
Traffic Sign Frame_ratios,0.0029719494451067134
Trailer_ratios,-0.002903493435318965
Caravan_counts,0.002765712661124615
Bird_ratios,-0.002765665288269617
Bus_counts,0.0026499956663141996
Water_ratios,-0.002589600336954847
Mailbox_ratios,-0.0024965062001857065
Building_counts,-0.002434447469328327
Traffic Sign (Back)_counts,-0.0022546284155907045
Boat_counts,0.0022051167921216994
Curb_counts,0.0021933144266068428
Vegetation_counts,-0.0018325912420545406
Lane Marking - Crosswalk_counts,0.0017811677243360984
Pole_counts,0.0017485216616219509
Traffic Sign Frame_counts,-0.0016721779676357644
Trailer_counts,0.0015937235733464892
Pedestrian Area_ratios,0.0015335576327718719
Bridge_counts,0.001530852842404644
Bike Lane_counts,0.0015085862128851083
Bicyclist_ratios,0.001503283886922968
Wall_counts,-0.0014864474900638412
Mountain_counts,-0.0013959101783606257
On Rails_ratios,0.00136536326248735
Bench_counts,0.0013368181911392165
Snow_counts,0.0013219798027563998
Phone Booth_counts,-0.0012883679529331312
Bicycle_ratios,-0.001263848516548177
Traffic Sign (Back)_ratios,-0.0011836214503474689
Catch Basin_counts,-0.0011656082913215576
Curb Cut_counts,0.0011302116726049903
ethnic,0.000995498434522309
Crosswalk - Plain_counts,-0.0009635322915963799
Ground Animal_counts,-0.0009316968421735189
Lane Marking - Crosswalk_ratios,0.0008000855238228496
Bird_counts,-0.0007440074971046554
Fire Hydrant_ratios,0.000736915795778602
Traffic Light_counts,0.0006695797564359969
Bus_ratios,-0.00045624624922558613
female,-0.0004507822668632168
Bike Rack_ratios,-0.0003988643417007509
Boat_ratios,0.0003424371160828109
Manhole_ratios,-0.0003228376167532247
age,-0.0001481894077601892
Car_ratios,-0.00013798516700479452
On Rails_counts,-6.501117913716179e-06
