variable,coefficient
female,-0.03913719375209001
Bicycle_counts,-0.019110445239856232
Person_counts,0.01294978307585551
Lane Marking - Crosswalk_counts,0.010771714888408494
Bicycle_ratios,-0.010487939293209651
Vegetation_ratios,0.009900575965784874
Ground Animal_ratios,-0.00829455987937784
Guard Rail_ratios,0.007899133249578175
Building_counts,0.006722913964506609
Traffic Sign (Back)_counts,0.006488123648213393
CCTV Camera_ratios,-0.0063432679653907245
Car Mount_ratios,0.005645506211051468
Wheeled Slow_ratios,0.005102577128077505
Motorcycle_counts,-0.0049621812076896515
time_now,-0.004586482535608615
Road_counts,0.004553433056449576
On Rails_ratios,0.004328575139737819
Truck_ratios,0.0043060481046043155
Truck_counts,0.003869884420617726
Fire Hydrant_counts,0.0038454276297849874
Billboard_counts,0.003762831129446791
ethnic,-0.003740067218525465
Lane Marking - General_ratios,-0.0036112200084254236
Water_ratios,0.002915950354404676
Pothole_ratios,-0.002905341948496081
Banner_counts,0.002797935925679972
Sidewalk_counts,0.002521129034638133
edu_own,-0.002386971276675723
Bench_ratios,-0.002282948707342774
Mailbox_ratios,0.0021724737464010636
Crosswalk - Plain_ratios,0.0021651641201002234
Utility Pole_ratios,0.0019105971117442879
Traffic Light_ratios,-0.0019093361049297018
Phone Booth_ratios,0.0017290085523698527
Bus_counts,0.001719955543226991
Banner_ratios,-0.0016898144654568445
Service Lane_counts,-0.0015836581443854987
Curb Cut_counts,-0.0015701898098336314
Caravan_ratios,0.0015412451938559475
age,-0.0015391575551409486
Wall_counts,-0.001523725891293375
Bridge_ratios,-0.001462248401720715
Trash Can_counts,-0.0014602479064839355
Mountain_ratios,0.0014111862557518967
Junction Box_ratios,-0.0013870395430676048
Trailer_counts,0.001339455548937408
Bike Rack_ratios,-0.0012812113102109886
Motorcyclist_counts,0.0012286304145947835
Catch Basin_counts,-0.0010655663001872826
Ego Vehicle_ratios,0.0009139451649521999
On Rails_counts,-0.0007660718089007793
Other Vehicle_counts,0.0006983429241176486
Bicyclist_ratios,0.0006846613757030219
Fence_ratios,0.0006208080384224721
Bus_ratios,0.0005851841011765759
Other Rider_ratios,-0.0004856160699626061
Sand_counts,0.0004443109514785425
Pole_ratios,0.0004345122433235201
Pedestrian Area_counts,-0.00041122779746583145
Manhole_counts,-0.00037852488643636874
