variable,coefficient,std_err,t_value,p_value,significance
constant,5.902018537177465e-16,0.0030928513799143085,1.908277447635065e-13,0.9999999999998477,
age,-0.0010412845703988757,0.0030937868196533958,-0.33657282518112647,0.7364396231471162,
female,-0.0016477883920481367,0.003102477142298681,-0.5311202360147803,0.595336595616136,
ethnic,0.001079015108885153,0.0032198602960834327,0.33511239919248775,0.7375409753399281,
edu_own,0.010291140510630252,0.003199726850947236,3.216255946217315,0.001299146182274909,**
time_now,-0.01869301211658227,0.0032235918447237806,-5.7988148056578845,6.697753753363845e-09,***
Bird_ratios,-0.01073427543396414,0.010028655632645876,-1.0703603580744452,0.2844596180275228,
Curb_ratios,-0.03832652603793391,0.024383615857588647,-1.571814707948902,0.1159965695389503,
Road_ratios,-0.026133042315253402,0.02414541904994922,-1.0823188556467966,0.2791133781201169,
Sidewalk_ratios,0.023824634281165318,0.027184098381767503,0.8764180421427774,0.3808048364686535,
Building_ratios,-0.017848226091512858,0.021092218311968315,-0.8461995712127289,0.3974433667740328,
Sky_ratios,0.01366673768458092,0.025817501200714806,0.5293594286422472,0.5965572661061073,
Terrain_ratios,-0.003063491778054746,0.01674501165979678,-0.1829495159689799,0.8548379867507385,
Vegetation_ratios,0.06572496513226064,0.022828352317158174,2.8790936910002327,0.003989010852172609,**
Utility Pole_ratios,-0.020793034959033795,0.027648438011498917,-0.7520509820622063,0.4520221010805361,
Car_ratios,-0.019986128919446927,0.03701338441433308,-0.5399703171079782,0.589218658374359,
Person_ratios,-0.020269355123943497,0.021237249128844428,-0.9544246997796745,0.33987092531394625,
Pole_ratios,-0.06460530354955783,0.044517532253521536,-1.451232812763274,0.14671805704369775,
Barrier_ratios,-0.028986553863911014,0.028707088536465444,-1.0097350634178934,0.3126245863173679,
Lane Marking - General_ratios,0.004878319198764821,0.015734249144609736,0.3100446137549591,0.7565276507593481,
Traffic Sign (Back)_ratios,0.01065435462262541,0.015102193942762547,0.705483896115062,0.48051072924517135,
Wall_ratios,-0.03689262908192414,0.015431143250939014,-2.3907903958884673,0.01681391396494076,*
Fence_ratios,0.01192298911518374,0.016423071690910607,0.7259902008332917,0.4678464104722093,
Billboard_ratios,0.027238361824980253,0.02691605112250858,1.0119746652658919,0.3115525197320687,
Catch Basin_ratios,0.01397841849695631,0.01427646060779198,0.979123529352016,0.32752122304799625,
Traffic Sign (Front)_ratios,-0.03734085386288002,0.01904706411821922,-1.960451943203263,0.04994565339516761,*
Street Light_ratios,-0.0603577348170864,0.08090168042128545,-0.7460628073827514,0.45563116043539365,
Motorcycle_ratios,-0.06322256343382068,0.040770514465987916,-1.5506932954344492,0.12097824281882559,
Truck_ratios,-0.023696582394138063,0.01889540760172523,-1.2540921526336624,0.20981132918461526,
Rail Track_ratios,0.27488165494643046,0.08887692796538138,3.0928347912013807,0.001983069132560654,**
Manhole_ratios,0.0014160295059332583,0.022891367102898057,0.06185866923404449,0.9506755003950923,
Mountain_ratios,0.008517365899051272,0.006952211901067519,1.2251303643008093,0.22052887902903642,
Trash Can_ratios,-0.010463257650076288,0.02057112508517798,-0.5086380840499255,0.6110070073585145,
Guard Rail_ratios,-0.0010587783715626097,0.021366958677497907,-0.04955213268969516,0.9604793874086041,
Bridge_ratios,-0.018296569337346472,0.021233115206429246,-0.8616997157254812,0.3888547674905919,
Trailer_ratios,-0.015536483854565146,0.012309977803323819,-1.2621049446872388,0.2069138546417614,
Traffic Sign Frame_ratios,0.018322869154889027,0.01320134832055623,1.3879543748086638,0.16515391002888608,
Other Vehicle_ratios,-0.06894080574493759,0.020283048405156674,-3.3989371009640927,0.0006767362520042286,***
Fire Hydrant_ratios,0.0307880352954262,0.021972239975994144,1.4012242415458682,0.16115000934537516,
Curb Cut_ratios,-0.030190634581943855,0.0318707566589106,-0.9472832698969823,0.3434966530793512,
Snow_ratios,-0.0037894075770323775,0.025576250571295325,-0.1481611843952333,0.882215851079977,
Junction Box_ratios,-0.048291258642069006,0.020273752390703736,-2.381959575683302,0.017222573523084612,*
Traffic Light_ratios,-0.004738698775570952,0.02460226600687501,-0.19261228921948656,0.8472629955878423,
Sand_ratios,-0.03503669045530549,0.014857947156956944,-2.358111122968979,0.018370032613831896,*
Bench_ratios,0.02554376738130071,0.017298950498584677,1.476607923896342,0.13978379219677142,
Parking_ratios,-0.02905594745669676,0.010956292118722774,-2.651987291124175,0.008003168249562508,**
Bus_ratios,-0.01865332263147151,0.012995643618759748,-1.4353519670656918,0.1511898314591577,
Water_ratios,-0.012481893219319641,0.019195402442989055,-0.6502543125308914,0.5155293987562304,
Ground Animal_ratios,-0.013514403255109511,0.007600218891136954,-1.7781597410134362,0.07538054186605814,.
Lane Marking - Crosswalk_ratios,0.013145434293382274,0.020736413011846023,0.6339299996519516,0.5261278996155012,
