variable,coefficient,std_err,t_value,p_value,significance
constant,6.108213089240609e-16,0.003081569577493533,1.9821759449640165e-13,0.9999999999998419,
age,-0.0045765630666624035,0.0030825016050265303,-1.4846912193653228,0.13762866753088446,
female,-0.07787221027829279,0.0030911602279581813,-25.191903536404546,1.2918573272845937e-139,***
ethnic,-0.00833804624568861,0.003208115202892463,-2.599048263033372,0.009349581524440015,**
edu_own,-0.004358831786293594,0.0031880551985790455,-1.36723849330977,0.1715535164552921,
time_now,-0.011002317346736002,0.00321183313995265,-3.4255569537146635,0.0006137769959640657,***
Bird_ratios,-0.006855058126168388,0.009992074078120406,-0.68604957014669,0.492683378520962,
Curb_ratios,-0.034143631310631244,0.024294671675467287,-1.4053958730839495,0.1599065783884403,
Road_ratios,-0.021587081289920502,0.02405734373897327,-0.8973177389883279,0.3695514692328997,
Sidewalk_ratios,-0.027190714889758258,0.027084938871898483,-1.0039053445296684,0.3154265743650117,
Building_ratios,-0.024675052663490227,0.021015280169658326,-1.174148165729232,0.24033837057156043,
Sky_ratios,-0.06225207604246106,0.025723326631113385,-2.420063195370878,0.015519511168930128,*
Terrain_ratios,-0.0007092426002819852,0.016683930835058074,-0.04251052148883572,0.9660918059518525,
Vegetation_ratios,-0.03174360132383551,0.022745081274098498,-1.3956248800035853,0.1628304637565576,
Utility Pole_ratios,-0.02520040545305311,0.027547584728695063,-0.9147954603367822,0.3603011379598342,
Car_ratios,-0.007484841754264103,0.036878370590973,-0.20296020768597148,0.8391665312990946,
Person_ratios,0.012002481404701537,0.021159781957227845,0.5672308641442159,0.5705585647905322,
Pole_ratios,0.11695866162268653,0.044355145529605094,2.6368679490550155,0.008368782423534154,**
Barrier_ratios,0.005446472083364212,0.02860237361125197,0.19042028320410476,0.848980176168636,
Lane Marking - General_ratios,-0.006183169198092048,0.01567685528105666,-0.39441387237678743,0.6932763117010137,
Traffic Sign (Back)_ratios,-0.017045880637322233,0.01504710562869451,-1.132834517012767,0.2572863631425393,
Wall_ratios,0.0037423617151496236,0.015374855027581642,0.24340793512758546,0.8076898770486534,
Fence_ratios,0.0010881359880859154,0.01636316520747518,0.06649911397269415,0.9469805908370383,
Billboard_ratios,0.02770716722375528,0.026817869369358822,1.0331606453200395,0.30153112739726484,
Catch Basin_ratios,0.0004015343287074158,0.014224384323463842,0.028228591099374655,0.9774798880338909,
Traffic Sign (Front)_ratios,-0.007167259891536563,0.018977586090444233,-0.37766973404196474,0.705676724365454,
Street Light_ratios,-0.136682871700385,0.08060657514078311,-1.6956789376258954,0.08994969057412489,.
Motorcycle_ratios,-0.008982904885847867,0.040621795749082944,-0.2211351005094515,0.824987674292186,
Truck_ratios,-0.008213492230984014,0.01882648277183942,-0.4362733246844027,0.6626393384575326,
Rail Track_ratios,0.05383669719829067,0.08855273135264316,0.6079620173870981,0.5432139923346905,
Manhole_ratios,-0.013483553864349861,0.02280786620063243,-0.5911799791238683,0.5544011198087759,
Mountain_ratios,0.020288629806720946,0.006926852298739204,2.9289825929179685,0.0034014720936026244,**
Trash Can_ratios,-0.004832047897728349,0.02049608773605373,-0.23575464546965783,0.81362352774604,
Guard Rail_ratios,0.004565520863014942,0.021289018364006644,0.21445426862583156,0.8301932458325533,
Bridge_ratios,-0.05728863678878067,0.02115566311413274,-2.707957509046824,0.006770974707001327,**
Trailer_ratios,-0.011279427922076908,0.012265074663689259,-0.9196379338374223,0.3577641281236871,
Traffic Sign Frame_ratios,-0.02058058044302092,0.013153193726252874,-1.5646831386618665,0.11766026451131095,
Other Vehicle_ratios,-0.07677085908580229,0.020209061874124478,-3.7988333928602143,0.00014546137941861943,***
Fire Hydrant_ratios,0.01921751027986268,0.021892091776258178,0.8778288742925852,0.38003861890309654,
Curb Cut_ratios,0.06010706711114525,0.031754501612851316,1.8928675954032108,0.058378251554733515,.
Snow_ratios,0.0280315308844842,0.025482956012273354,1.100010959128265,0.27132989143235225,
Junction Box_ratios,-0.015493723332489892,0.020199799768768834,-0.7670236096322566,0.4430692183392063,
Traffic Light_ratios,-0.08388951827212167,0.024512524254007267,-3.4223125045315377,0.0006211477581062766,***
Sand_ratios,-0.021821890354254355,0.01480374978255619,-1.4740785729820902,0.14046346167946655,
Bench_ratios,-0.05052162012849993,0.01723584906963169,-2.9311941595912057,0.003377350894123377,**
Parking_ratios,-0.0019640391820235754,0.010916326822054961,-0.17991758711872752,0.8572176182740812,
Bus_ratios,-0.00118856406751668,0.012948239374058626,-0.0917934889200403,0.9268622939881346,
Water_ratios,0.0031697151551968042,0.0191253833211019,0.16573341835713765,0.868367067620286,
Ground Animal_ratios,-0.02189708302262292,0.00757249555194216,-2.8916600706364037,0.003832916396873785,**
Lane Marking - Crosswalk_ratios,-0.037859816533461994,0.020660772741500497,-1.8324492025128587,0.06688737896207304,.
Service Lane_ratios,-0.03426835662379435,0.02087732568637364,-1.6414150518407087,0.10071430919462739,
Pothole_ratios,-0.005139567212880312,0.007986006371724185,-0.6435716393963602,0.5198546639340265,
Motorcyclist_ratios,0.053858882548059955,0.025458739840440465,2.1155360746688134,0.03438665263389245,*
Banner_ratios,-0.00979236747351105,0.005729990295929866,-1.7089675492935437,0.0874599422023986,.
On Rails_ratios,0.024840143331660684,0.008126967346902651,3.0565083223975,0.002239879900259261,**
Car Mount_ratios,0.020097810261846222,0.010433818717947387,1.9262180803731659,0.0540798695146111,.
Tunnel_ratios,0.7170462506323343,0.2515891380977274,2.8500683934685784,0.004371841317317656,**
Pedestrian Area_ratios,-0.030794478242716673,0.07843235753407,-0.39262466679444064,0.6945975223186043,
Building_counts,0.0430066855200982,0.01809512214818012,2.3767004813738444,0.01747006343447864,*
