variable,coefficient,std_err,t_value,p_value,significance
constant,3.4854871291890903e-15,0.0626334366482647,5.5648984244035694e-14,0.9999999999999559,
Traffic Sign (Back)_counts_mean,-0.5170078806682323,0.15735397426470363,-3.285635987804875,0.0024166991852881277,**
Other Rider_counts_mean,-0.40114217193706647,0.07239403097328502,-5.541094570146214,3.7338096267770868e-06,***
Bird_ratios_mean,-0.41523719229465356,0.16180040587541356,-2.5663544541067873,0.015002448181786794,*
CCTV Camera_counts_std,0.32699267290575007,0.09676253927747429,3.379331250992417,0.0018800084406464742,**
Truck_ratios_std,0.27795055001268154,0.10333213268749171,2.6898752864541167,0.011125191412010207,*
Bird_ratios_std,-0.08496696636199884,0.17765158661376435,-0.4782786800926643,0.6356053179683055,
Mailbox_counts_std,-0.08311771065024333,0.35670760234697374,-0.2330135665832929,0.8171901494484977,
Other Vehicle_counts_std,0.21853031911913195,0.12243762138064174,1.784829831345312,0.08348487319319882,.
Street Light_ratios_mean,0.38561450352012916,0.17728449103133975,2.17511696187774,0.03688858772912638,*
Mountain_ratios_std,-0.15870605587094064,0.10392032109294108,-1.5271898142905271,0.13624279369146117,
Guard Rail_ratios_std,0.15499635807111634,0.10558700472213352,1.4679491901395463,0.15158568344862822,
Mailbox_counts_mean,0.32306905743115505,0.3298756985797486,0.9793660424884314,0.3345248646355803,
Caravan_ratios_mean,-0.19457891794094093,0.08456865813265663,-2.3008396046171065,0.02785674773491441,*
Boat_counts_std,0.19253020312997549,0.0987676778983334,1.949323981557576,0.05979802201491203,.
Fire Hydrant_counts_mean,0.1552964241289252,0.1146227745208951,1.3548478893312386,0.1846692349795409,
Junction Box_ratios_mean,-0.2656225664532606,0.1635477085373714,-1.6241289396761227,0.11386330700170848,
Terrain_ratios_mean,-0.004151518305485951,0.151629364711929,-0.027379382043663882,0.9783220507352637,
Bus_ratios_std,-0.12519230509530876,0.13105799475982075,-0.9552435570583729,0.34640026514638333,
Street Light_ratios_std,-0.1765162208863527,0.15545831036681657,-1.1354569625119961,0.26436361962518024,
Crosswalk - Plain_ratios_std,0.089285300511169,0.07691048257289543,1.1608989766322786,0.25401213562525865,
Tunnel_ratios_std,0.17577331620856348,0.10763646434582365,1.633027592246285,0.11196995053679511,
Trash Can_counts_mean,-0.13059408444666903,0.11593780369260236,-1.1264150284658347,0.2681147946473483,
Car Mount_counts_mean,0.09554459407939801,0.07823406528972249,1.221265873447453,0.23063901070130016,
