variable,coefficient,std_err,t_value,p_value,significance
constant,-9.438863782231689e-15,0.09086472077100322,-1.0387820159618895e-13,0.9999999999999176,
Fence_ratios_std,0.2742068489321622,0.1394145529595295,1.966845233235883,0.05538571786144972,.
Sand_ratios_std,0.15772423999247667,0.14604408865311755,1.079976885384945,0.2859069210868728,
Service Lane_ratios_std,0.3414098986705217,0.1353257456542334,2.522874690399619,0.015243392632706767,*
Bike Rack_ratios_mean,-0.25672363706842766,0.17689728156705703,-1.4512582375162764,0.15364404940269175,
Curb_ratios_std,0.22595097730895475,0.11733007612820594,1.9257720165634202,0.06046531381020199,.
Bird_ratios_mean,0.1493636421443323,0.15863955570919983,0.9415283689909527,0.35146137628866336,
Guard Rail_counts_std,-0.1358247515177015,0.18880066427334807,-0.7194082289935836,0.47560914422465295,
Traffic Sign Frame_counts_mean,0.06878301385597782,0.131391196064115,0.5234978896334405,0.6031964686040103,
Bike Rack_counts_mean,-0.07186727981190018,0.17859666695814133,-0.4023998937715008,0.6892949151409008,
Fence_counts_std,0.08859505566857584,0.13732342290156122,0.645156185278634,0.5221018778925992,
Utility Pole_counts_std,0.12500003442385738,0.13974573188530898,0.8944819475878263,0.3758235238662868,
