variable,coefficient,std_err,t_value,p_value,significance
constant,7.026081740133542e-15,0.08413994552598979,8.350470987603947e-14,0.9999999999999337,
Other Vehicle_counts_std,0.6281964935060824,0.16724111108645298,3.7562324803100893,0.0004934792845216833,***
Sky_ratios_std,0.3230899659851127,0.12242922143377051,2.6389938790870437,0.011382764085715027,*
Wall_ratios_mean,-0.17406262827216956,0.12536255800229337,-1.3884738078572494,0.1718279218361146,
Tunnel_counts_std,-0.24057023052490772,0.11401597921382482,-2.1099694287038826,0.04045402568753299,*
Lane Marking - General_counts_std,-0.40609650252148416,0.1701009024754573,-2.3873859374736535,0.021230045321977815,*
Traffic Sign (Front)_ratios_std,0.22219415243421825,0.10832429914958987,2.051193999671121,0.04609665564605397,*
Curb_counts_std,-0.09501556051497866,0.13196848428462238,-0.7199867531254986,0.4752563417221197,
Other Vehicle_ratios_mean,-0.374972463538324,0.22755592317423448,-1.6478255468270802,0.10635446498455872,
Phone Booth_counts_mean,0.10243352261854456,0.14344670359453918,0.7140876719487339,0.4788607422761034,
Pedestrian Area_ratios_std,-0.08866104136603892,0.11385510452897861,-0.7787181939082296,0.4402215497578359,
Bus_counts_std,0.1888600603311824,0.18281793930745352,1.0330499350699254,0.30710071997383154,
