variable,coefficient
Other Vehicle_counts_std,0.015568238170629477
Sky_ratios_std,0.006030119683084881
Wall_ratios_mean,-0.005387619350268243
Tunnel_counts_std,-0.005097018794442154
Lane Marking - General_counts_std,-0.005078154080982452
Traffic Sign (Front)_ratios_std,0.004815136216403095
Curb_counts_std,-0.002842069398019857
Other Vehicle_ratios_mean,0.0017793167447254748
Phone Booth_counts_mean,0.0010906344961178237
Pedestrian Area_ratios_std,-0.0003968943161846092
Bus_counts_std,0.00020764231053990771
