variable,coefficient,std_err,t_value,p_value,significance
constant,-6.869611393476499e-15,0.048232194274662965,-1.4242792592758319e-13,0.9999999999998872,
Other Vehicle_ratios_mean,0.4391548367938286,0.14160195029436728,3.1013332505724502,0.004083782195222274,**
CCTV Camera_ratios_mean,-0.25820130643535416,0.07685583861718737,-3.359553562630859,0.002082893066140722,**
Wheeled Slow_ratios_mean,0.09852094570603868,0.06878971972532492,1.4322044936282567,0.1620922590670936,
Traffic Sign (Front)_ratios_mean,0.7276045036933377,0.19302443936546418,3.7694941950626397,0.0006902029338515277,***
Terrain_counts_std,0.11380275386532067,0.09464352192858703,1.2024357456941446,0.2382991111937243,
Caravan_counts_std,0.12864326808319296,0.08500292158797335,1.5133981947909196,0.140308125564167,
Traffic Sign (Back)_ratios_std,0.25961898639488773,0.080012000028339,3.2447506161942554,0.0028165347410348163,**
Banner_ratios_std,-0.11175907230349487,0.0934066758840689,-1.196478423471615,0.24058083107135045,
Other Vehicle_counts_std,-0.08960148630101983,0.24790424437952757,-0.3614358702299786,0.7202254841158525,
Sand_ratios_std,0.04946633907872167,0.10659445345821532,0.4640610976828388,0.6458463923407826,
Traffic Sign (Front)_ratios_std,-0.29038780774727024,0.13153396208725351,-2.207702126045899,0.03479467821627219,*
Bicycle_ratios_std,-0.12213071343253151,0.0902261666972963,-1.353606363908523,0.1856497902926108,
Barrier_ratios_std,0.16755382596212956,0.09481194091692105,1.767222823852415,0.08703529645682617,.
Parking_ratios_std,0.13778230804820057,0.08029150002981097,1.7160260799342915,0.0961365729732492,.
Tunnel_counts_mean,-0.12136471089427821,0.09496753012961602,-1.2779600641254343,0.21075043514398917,
Boat_ratios_mean,0.033323996584307986,0.07345425436295058,0.45367006817124805,0.6532264198434579,
Other Vehicle_counts_mean,0.23179488556757624,0.32170766355792546,0.7205140312917666,0.47660695364888095,
Crosswalk - Plain_counts_std,0.016730592882656894,0.06173300543428009,0.2710153630940259,0.788175700516322,
On Rails_counts_std,-0.1014588333313601,0.06739458933415719,-1.5054447891700162,0.14233203348673226,
Catch Basin_ratios_std,0.01564885843004353,0.07905058416362581,0.1979600605816164,0.8443687440622534,
Banner_ratios_mean,-0.1501520368611928,0.11805322317245262,-1.2719012054575596,0.21286739634890509,
Trash Can_counts_mean,-0.08621356275055497,0.0771235877260115,-1.1178624502899999,0.2722142822465663,
Bench_counts_mean,-0.09739991206866887,0.09308586019838981,-1.0463448676424616,0.3034922306154885,
Traffic Sign Frame_counts_mean,-0.1611979807831709,0.11549830334647465,-1.395674015224321,0.17272991376356112,
Water_counts_std,0.1963247800671186,0.07893197153225627,2.487265632113201,0.018461140396948177,*
