variable,coefficient,std_err,t_value,p_value,significance
constant,-1.5686236988066088e-15,0.10102807677644264,-1.5526611501055268e-14,0.9999999999999877,
Traffic Sign (Back)_counts_mean,-0.1171520779021403,0.18052237681645145,-0.6489615302442879,0.5195219302639276,
Terrain_counts_std,-0.22816478542246724,0.15182444030264305,-1.5028198685774783,0.1395753998112496,
Wheeled Slow_counts_std,-0.5834209101544519,0.38504244504415885,-1.5152119400434978,0.13641576652364962,
Wall_ratios_std,0.2222569491754888,0.13739870557904435,1.6176058445297812,0.11244026703829126,
Wheeled Slow_counts_mean,0.3163919810078161,0.38918093277312765,0.8129688645159199,0.4203351062914924,
Ego Vehicle_ratios_std,0.0073479429586986115,0.16214997840273826,0.045315719626235394,0.9640476517289188,
Wheeled Slow_ratios_mean,-0.11493904959788706,0.151149377572347,-0.7604334959492107,0.4507936098750551,
Traffic Sign (Front)_ratios_mean,-0.10817461529205624,0.14981992663787028,-0.7220308921491138,0.4738526667396119,
Other Rider_ratios_mean,0.2609694621406762,0.11579009040623375,2.253815168682401,0.028911352208143927,*
