variable,coefficient,std_err,t_value,p_value,significance
constant,-5.094676369338654e-16,0.07953968448895281,-6.405200626671142e-15,0.9999999999999949,
Curb_ratios_mean,-0.4519879073685961,0.10281991266953948,-4.395918024374067,3.5807727069846906e-05,***
Bridge_counts_std,-0.2886955699213668,0.09364272399235493,-3.0829471593002373,0.0028674598150511426,**
Boat_ratios_std,0.23859865197932467,0.08106065590410927,2.943458195817895,0.0043179513937677445,**
Mailbox_ratios_std,0.2426473254492143,0.10314257422531342,2.3525428492714835,0.021270292293074086,*
Mailbox_counts_std,0.11924293139130569,0.10769842039593737,1.1071929463118086,0.27174895674663035,
Banner_ratios_mean,0.13746335061975015,0.21203780724668012,0.6482964165905957,0.5187732103820974,
Traffic Sign (Back)_ratios_mean,-0.015052238490025441,0.10504563021538195,-0.14329238121721816,0.8864435665797503,
Manhole_counts_mean,0.10783914139098334,0.2097174084975108,0.5142116821087045,0.6086158733931699,
Parking_counts_mean,-0.1027524816523673,0.0983326894645217,-1.0449473335054082,0.29940358884579005,
