variable,coefficient,std_err,t_value,p_value,significance
constant,2.843049530517831e-15,0.08765096264347158,3.243603315667164e-14,0.9999999999999742,
Mountain_ratios_std,0.403266673591102,0.11417586759279866,3.531978184999025,0.0007519272381501278,***
Sand_ratios_std,-0.11404640091697699,0.21240114024565887,-0.5369387414072883,0.593088588560188,
Person_counts_mean,0.38866597634327554,0.193128738055553,2.0124709572299735,0.04819257107655363,*
Trash Can_ratios_std,-0.3855894641670252,0.13516881828690863,-2.8526509963901217,0.00576102567321969,**
Ego Vehicle_ratios_std,-0.22521476103660773,0.1328174318910611,-1.6956717038568578,0.09459070473665654,.
Pedestrian Area_ratios_std,-0.17719901477196,0.11621675886725816,-1.5247285890527655,0.13203353368114656,
Street Light_counts_mean,0.21042993924829906,0.20307900516399538,1.0361974103544946,0.3038355041912982,
On Rails_counts_mean,-0.19796149219237574,0.09884409640544232,-2.0027649540177905,0.04925127944430934,*
Car_ratios_mean,0.021770819359380418,0.1706345977888619,0.12758736880734453,0.8988576969733477,
Traffic Sign Frame_counts_std,-0.12746950135170604,0.10872819037115541,-1.1723684622780453,0.2452008700510551,
Utility Pole_ratios_std,-0.10376398522321265,0.12318323796352133,-0.8423547467873886,0.4025863311644363,
Crosswalk - Plain_ratios_mean,0.07687427382472486,0.10282587600490521,0.7476160360749823,0.45730778957357665,
Bicyclist_ratios_mean,-0.15067641119674374,0.10874280423936872,-1.3856219016117075,0.1704576960467726,
Bus_ratios_mean,-0.19948154515467606,0.1887168367094689,-1.0570415901034815,0.29428905938757344,
Sand_ratios_mean,-0.0840034775873727,0.19781720352821894,-0.4246520327307603,0.6724509507301896,
Other Rider_ratios_std,0.09248490569381478,0.11315483950320905,0.8173305366333176,0.41663656232163226,
Motorcyclist_counts_std,-0.05652650606799631,0.1446654453688401,-0.39073951574182697,0.6972294825942313,
