variable,coefficient,std_err,t_value,p_value,significance
constant,8.627359513658419e-15,0.06006229147662553,1.4364019922576434e-13,0.9999999999998859,
CCTV Camera_ratios_std,-0.37891650322632714,0.20598397953827957,-1.8395435609880049,0.07070266632081244,.
On Rails_ratios_std,0.33048990778566706,0.08573494576612989,3.854786456472328,0.00028116442607576395,***
Caravan_ratios_mean,0.30572943715448797,0.08788590734559111,3.4787083206898837,0.0009357061295867099,***
Bicyclist_counts_std,0.14892280680380907,0.09851903565219527,1.5116145404585135,0.13579554019625178,
Crosswalk - Plain_counts_mean,0.10196715905050795,0.07026894898050844,1.4510983945240468,0.15187590100011028,
Bench_counts_mean,0.2493603938316648,0.10235894704565582,2.436136762138057,0.01778049254336949,*
Truck_ratios_mean,0.19555899970365972,0.0710601482641785,2.7520207103513914,0.007788941924142105,**
Person_ratios_mean,-0.16739827820115286,0.11924876680777674,-1.403773663093647,0.1654569007326168,
Banner_counts_mean,-0.09666818073820496,0.17480644871085657,-0.553001227649797,0.5822836189183469,
Banner_ratios_std,0.1507807216574076,0.06493314562489325,2.3220917484644885,0.02358237878374678,*
Rail Track_ratios_mean,-0.10029310688978936,0.09012931423392144,-1.1127690002110615,0.27017369613579056,
Guard Rail_ratios_mean,0.10291909748086943,0.070000822996591,1.470255535222515,0.14663204107830285,
Boat_ratios_mean,-0.18984330691361476,0.14754920843645428,-1.2866440215121553,0.20307999099657717,
Ground Animal_ratios_mean,-0.18975194607357562,0.08787044642007812,-2.159451258121956,0.034755948169468254,*
Traffic Sign (Front)_ratios_mean,0.38574612462037544,0.1823588249539235,2.1153137212736577,0.03849512100750425,*
Junction Box_ratios_mean,-0.051905401680385745,0.13366228754108994,-0.3883324356874349,0.6991220625051358,
Traffic Sign (Front)_counts_std,-0.1718688245923961,0.1610738771804214,-1.067018610347866,0.29016828640968617,
Motorcyclist_ratios_mean,0.07296874499259962,0.08332963853469795,0.875663764726591,0.3846479875712491,
Water_counts_std,-0.07134965956832647,0.07937462875054598,-0.8988975531786118,0.37224190116009714,
Traffic Sign Frame_ratios_std,-0.01538709508246889,0.0887012962665135,-0.17347091564746187,0.8628556559361564,
Bird_counts_mean,-0.1366666763644402,0.07759273706150893,-1.7613333610863922,0.08319329302797142,.
Other Rider_counts_mean,-0.03802062095967371,0.1293470739127072,-0.2939426444647119,0.7697995980298774,
Ground Animal_counts_mean,0.00829442715279715,0.07636488074126177,0.10861572849043255,0.9138637842981825,
