variable,coefficient,std_err,t_value,p_value,significance
constant,-2.3656404184052264e-15,0.0684106655169903,-3.457999422352794e-14,0.9999999999999725,
Motorcyclist_counts_mean,-0.1931238047147369,0.09803711283900368,-1.9699050606670185,0.0530479229870487,.
Banner_ratios_mean,-0.08447518888256764,0.3420361781407163,-0.2469773500036417,0.805692383550803,
Car Mount_counts_mean,-0.19412682707501258,0.09893717814264985,-1.9621221336545112,0.05396714514924852,.
Bus_ratios_mean,0.4936304664288339,0.33091099086817816,1.4917318555474537,0.14053405122105392,
Catch Basin_counts_mean,0.10323297448434131,0.11229627691747233,0.919291158336516,0.36129096665162197,
Ego Vehicle_ratios_std,-0.11073508916207288,0.08025037973410445,-1.37986997107022,0.17228346871156575,
Banner_ratios_std,0.18390580252816668,0.10556946147583178,1.742036001294452,0.08616065774130402,.
Guard Rail_counts_std,-0.06823125968736571,0.08876830037013198,-0.7686444305328122,0.44484622427337517,
Mailbox_counts_std,0.14875880036521844,0.0922917244262406,1.611832494083543,0.11177065098508057,
Phone Booth_ratios_mean,-0.09280488824149181,0.08980065202683743,-1.0334545033565743,0.3051633054892426,
Snow_ratios_std,0.03270962869250209,0.10066243293748257,0.32494375248029955,0.7462514244349525,
Curb_ratios_mean,0.27667103129862175,0.12220821825590833,2.2639314707891645,0.026870808692834085,*
Pedestrian Area_ratios_std,-0.04194771780842069,0.0890972521968203,-0.47080820983969374,0.6393300588452322,
Bicyclist_counts_mean,-0.14540659302198283,0.08545206851437401,-1.701615836221961,0.0935341836499664,.
Utility Pole_ratios_std,-0.17399124480639253,0.09344800363916961,-1.8619043535507105,0.06706957016405275,.
Road_ratios_std,-0.1646688106480832,0.09556738231845187,-1.7230649898871346,0.08955933937514232,.
Bike Lane_counts_mean,-0.06976752650734618,0.08935596431082483,-0.7807819774028709,0.4377222769791803,
Lane Marking - General_counts_std,-0.11044720445826706,0.08790542031727351,-1.2564322434229243,0.2133882851545798,
