variable,coefficient,std_err,t_value,p_value,significance
constant,5.4418549161643734e-18,0.06719626229317781,8.098448828033796e-17,1.0,
Fence_ratios_mean,0.05049119495257841,0.11279761684355138,0.44762643365603144,0.6553111648935759,
Mailbox_ratios_std,0.25826324535592604,0.08585241381349899,3.0082234602857265,0.0032637736009890916,**
Lane Marking - General_counts_std,-0.23277875316916818,0.08646659705665233,-2.6921234452727814,0.008220413658716041,**
Traffic Sign (Back)_ratios_std,-0.20463916578987876,0.10383501999045926,-1.97081067455548,0.051280818688975806,.
Street Light_counts_mean,0.1259529450385662,0.15487564674334983,0.8132521005532102,0.4178464070726735,
Service Lane_ratios_mean,-0.13843993350074923,0.0857661428834675,-1.6141559926374545,0.10938488583271408,
Other Rider_counts_mean,-0.18313682272516102,0.07440972835070087,-2.4611946150645507,0.015416006682259556,*
Billboard_counts_mean,0.2626293780999743,0.08440773931462695,3.1114371766436286,0.002377116510076141,**
Motorcyclist_ratios_mean,-0.08647840340380246,0.09839432185436249,-0.8788962795211163,0.3813909187668244,
On Rails_counts_std,0.10546554965126144,0.08105720384297514,1.3011249420294635,0.19595937302031813,
Banner_ratios_mean,-0.08007784346249322,0.08403374617021803,-0.9529248321297998,0.3427365712040549,
Snow_ratios_mean,0.17902054859773292,0.1757906576315523,1.0183735074986198,0.3107555527310235,
Wall_counts_mean,-0.015391001404972486,0.09958554344152595,-0.15455055897756567,0.8774614592311749,
Curb_counts_mean,-0.10174585601815847,0.10179861104930445,-0.9994817706194398,0.3197750347771252,
Bird_counts_mean,0.14114192543549658,0.07471796918270163,1.8889957393030048,0.061550097415847466,.
Bike Rack_counts_std,0.035118156022452295,0.11106826014175004,0.3161853438384018,0.7524665100454614,
Bike Lane_ratios_std,-0.004121004891428264,0.09311909856242787,-0.04425520602162515,0.9647819496136829,
Sand_counts_mean,0.02255761328733988,0.09286146796449661,0.24291682849515422,0.808526360570432,
Bike Rack_ratios_std,-0.08523929342387573,0.10233583349968758,-0.8329369147526996,0.4067016900022573,
