variable,coefficient
Fence_ratios_mean,0.004271302573132828
Mailbox_ratios_std,0.003985068780752819
Lane Marking - General_counts_std,-0.003909499194618699
Traffic Sign (Back)_ratios_std,-0.00281828600889547
Street Light_counts_mean,0.0025359381503659768
Service Lane_ratios_mean,-0.0021430368375085843
Other Rider_counts_mean,-0.0017444029151285042
Billboard_counts_mean,0.0012268164621077604
Motorcyclist_ratios_mean,-0.0008569352354609962
On Rails_counts_std,0.0006478059622875786
Banner_ratios_mean,-0.000591007695081458
Snow_ratios_mean,0.0005527322177970614
Wall_counts_mean,-0.00048449749773232033
Curb_counts_mean,-0.00042220410423022143
Bird_counts_mean,0.0004218473896941062
Bike Rack_counts_std,-0.00014359830101121226
Bike Lane_ratios_std,-0.00012987300463457608
Sand_counts_mean,0.00010459404220928696
Bike Rack_ratios_std,-7.273699551991028e-05
