variable,coefficient,std_err,t_value,p_value,significance
constant,5.021253955840385e-16,0.06747856958124619,7.441257256934954e-15,0.999999999999994,
Curb Cut_ratios_mean,-0.2433129484696391,0.09447761178004363,-2.5753503278226786,0.01136607357868761,*
Parking_counts_mean,-0.25934199353566867,0.10519439915315963,-2.465359331137727,0.015262255483458513,*
Bird_counts_std,0.2184890459998012,0.08768177162046213,2.49184114282669,0.014228408451580611,*
Bike Rack_ratios_std,-0.16000248961406646,0.0800032491082087,-1.9999498945055902,0.04801597253095078,*
Pole_ratios_mean,0.20772081156515035,0.10105135191512885,2.0555965618313667,0.04223334707660943,*
Sand_ratios_std,0.29965679927388333,0.2803735332979943,1.068777055198694,0.2875531636361361,
Lane Marking - General_ratios_mean,-0.0808152999321533,0.10028559504643644,-0.8058515272779947,0.42209925312452923,
Sand_ratios_mean,-0.09862312857973235,0.35190573796859603,-0.28025439184095785,0.7798184461204111,
Lane Marking - General_counts_std,-0.11460166258121857,0.10995541277260897,-1.042255762508192,0.2996205971189283,
Caravan_ratios_std,0.12133700520976476,0.07923699981012464,1.531317509503442,0.12861493492357415,
On Rails_counts_std,0.05191301755227968,0.08737040411882195,0.594171654301599,0.5536399074117999,
Crosswalk - Plain_counts_std,-0.2192570993149297,0.08203184565298459,-2.6728290405953143,0.00868792431374473,**
Water_ratios_std,-0.1381930856597874,0.07636432887957409,-1.8096549486831313,0.07313058898097644,.
Wall_counts_mean,-0.07395794479573427,0.09030453594530481,-0.8189837201591815,0.4145992385844538,
Bike Lane_ratios_std,-0.03254784056289907,0.09115436556314713,-0.3570628829658364,0.7217414662725268,
Rail Track_counts_mean,0.18531241288308947,0.10619442995194107,1.7450294988819444,0.08382413782014601,.
Sand_counts_mean,-0.020484711303013985,0.18130706477801986,-0.1129835250937082,0.9102533633632903,
Billboard_counts_std,0.1476045590547392,0.10921703580666449,1.3514792629606625,0.17936600614100298,
Boat_ratios_std,-0.07686270768451949,0.07635102415706096,-1.0067017244772767,0.31632831527921235,
Truck_counts_std,-0.07834793838816524,0.08756720273215911,-0.8947178389129006,0.3729276077467364,
