variable,coefficient
Curb Cut_ratios_mean,-0.004822267351288163
Parking_counts_mean,-0.003766645949636755
Bird_counts_std,0.003503091316973933
Bike Rack_ratios_std,-0.0034650342651499797
Pole_ratios_mean,0.0032420222825489814
Sand_ratios_std,0.0030037481593060797
Lane Marking - General_ratios_mean,-0.0026944375140414314
Sand_ratios_mean,0.002493734963755411
Lane Marking - General_counts_std,-0.0019772348065710864
Caravan_ratios_std,0.0017806240280710854
On Rails_counts_std,0.0017211336992508902
Crosswalk - Plain_counts_std,-0.0016643504303224844
Water_ratios_std,-0.00155358209109917
Wall_counts_mean,-0.0012204311458870738
Bike Lane_ratios_std,-0.0011223028288956886
Rail Track_counts_mean,0.0008056195675483626
Sand_counts_mean,0.0006190686773300049
Billboard_counts_std,0.0004382903383703995
Boat_ratios_std,-0.00038483577779801446
Truck_counts_std,0.0003326816686030764
