variable,coefficient,std_err,t_value,p_value,significance
constant,4.8138576458356397e-17,0.06268096098215349,7.679935933347033e-16,0.9999999999999993,
CCTV Camera_counts_mean,-0.3604423649331067,0.08180796131504964,-4.405957062601909,2.376407727090863e-05,***
Wheeled Slow_ratios_std,0.23407261033797594,0.07888604016772091,2.9672247439510246,0.0036562967866550175,**
Fire Hydrant_ratios_std,0.03480689514709727,0.08905810380718786,0.39083355314250484,0.6966433756355492,
Traffic Sign Frame_ratios_mean,0.2793016343972495,0.06797942506416049,4.108620132247932,7.487278796943834e-05,***
Building_counts_mean,0.20227258982459467,0.08928210571779553,2.265544570195751,0.02535107571600675,*
Rail Track_counts_mean,-0.10874715406955726,0.10998746700381315,-0.9887231430267152,0.32487435592646086,
Sidewalk_counts_std,0.05710555277692993,0.10387132945469842,0.5497720408193627,0.5835418665527146,
Trailer_ratios_std,0.054218331022085245,0.08426206206222428,0.6434488985333293,0.5212139277531427,
Lane Marking - Crosswalk_ratios_std,0.09281072410275577,0.08690671989202804,1.0679349562158462,0.28778652331138166,
Lane Marking - General_ratios_std,-0.14322608548297378,0.06871034684331669,-2.0844907945171447,0.039329450292512044,*
Bus_ratios_std,0.16559304712654585,0.06961984595225332,2.3785322254248147,0.01902956785956442,*
Car Mount_ratios_std,0.11547740856069466,0.07874876987899582,1.4664026973136917,0.14526780109667753,
Other Vehicle_ratios_mean,-0.1640794488236656,0.11281469167277929,-1.4544156119273943,0.14855505991442566,
Pedestrian Area_counts_mean,-0.04470672347776221,0.07417454120850782,-0.602723289546068,0.5478795086928488,
