variable,coefficient,std_err,t_value,p_value,significance
constant,1.773049040171478e-15,0.06382944270531407,2.7777918230576437e-14,0.9999999999999779,
Rail Track_counts_mean,0.24249531922568304,0.09136044413747196,2.654270363011757,0.009172203547584403,**
Sand_counts_mean,0.16446814092166864,0.08722120165913504,1.8856440612274368,0.06208070973938743,.
Car Mount_ratios_mean,-0.2398606298984656,0.06952223665683968,-3.450128209804479,0.0008054701717911941,***
Lane Marking - General_counts_std,-0.15601243573071183,0.09319358665135631,-1.674068370330731,0.09706548773598304,.
Bike Lane_counts_std,-0.11140987825845329,0.09284136527492123,-1.2000025842850017,0.2328134925472253,
Trailer_ratios_std,0.2966289947076581,0.08645711431581612,3.430937951781649,0.0008584728786913369,***
Curb Cut_ratios_mean,-0.14484895291775315,0.10065829102139538,-1.4390166120241883,0.15309220228811726,
Motorcycle_ratios_mean,-0.0016769212611641745,0.11271363088609959,-0.014877714860048758,0.9881577055388397,
Traffic Sign (Back)_ratios_std,-0.1003684074498599,0.09827628208314107,-1.021288202223085,0.3094431400636154,
Pothole_counts_mean,-0.1363316411981903,0.07091439699397381,-1.9224818510376045,0.05722922080571456,.
Vegetation_counts_std,0.057048486788144524,0.079041668699616,0.7217520546655878,0.47203604054399007,
Bicycle_ratios_std,-0.10053696998880421,0.07665139183898523,-1.3116131041689796,0.19248447502713445,
Bus_ratios_std,-0.08525542382815489,0.0748246248673641,-1.1394032910860652,0.25710325980925797,
Banner_ratios_std,-0.11981897967442282,0.06732868036468347,-1.7796127746070094,0.07800513026338793,.
Truck_counts_std,0.035245923575279364,0.0804665063269798,0.4380198070493546,0.6622632274622262,
Lane Marking - Crosswalk_ratios_std,-0.040735807156612173,0.09672224812498767,-0.421162741213087,0.674489004237472,
Crosswalk - Plain_counts_std,-0.0601141961786297,0.07712674920180977,-0.7794208468625452,0.43746857611751844,
Boat_counts_std,-0.12577509438213336,0.07386461154399535,-1.702778796950946,0.0915401353053883,.
Caravan_counts_mean,-0.1289011980979334,0.06959472907260957,-1.8521689762373845,0.06678420099983096,.
Parking_counts_mean,-0.05845797727375875,0.09351781051951928,-0.6250999349643377,0.5332488550703931,
Wall_counts_mean,-0.031413782838857554,0.09388435571465727,-0.33460082459673546,0.7385873925269478,
Service Lane_ratios_std,0.048962060131613194,0.07026785530987997,0.6967917252588882,0.48745841938517986,
