variable,coefficient
Rail Track_counts_mean,0.005387110800981499
Sand_counts_mean,0.004820579398999363
Car Mount_ratios_mean,-0.003234086939623044
Lane Marking - General_counts_std,-0.0031125838282413647
Bike Lane_counts_std,-0.002893059570355955
Trailer_ratios_std,0.002659198535006355
Curb Cut_ratios_mean,-0.002609226526369511
Motorcycle_ratios_mean,-0.0024372983821773415
Traffic Sign (Back)_ratios_std,-0.0023549493454400427
Pothole_counts_mean,-0.002021625263917701
Vegetation_counts_std,0.0018647807332386288
Bicycle_ratios_std,-0.0018091249928184562
Bus_ratios_std,-0.0017730033711800986
Banner_ratios_std,-0.0011520477503123617
Truck_counts_std,0.0011384843231533439
Lane Marking - Crosswalk_ratios_std,-0.0011040896628477825
Crosswalk - Plain_counts_std,-0.0010295577272735725
Boat_counts_std,-0.000865843167359455
Caravan_counts_mean,-0.0007077146934598095
Parking_counts_mean,-0.00042717974923441976
Wall_counts_mean,-0.00019647352483531628
Service Lane_ratios_std,4.253380149940094e-05
