variable,coefficient,std_err,t_value,p_value,significance
constant,-2.310651670001107e-15,0.027603651011352655,-8.370819023363239e-14,0.9999999999999339,
Junction Box_counts_mean,-0.29961787519849187,0.280073838310917,-1.069781729723283,0.29631490937905136,
Terrain_counts_std,-0.24978173960104816,0.20273042798357221,-1.23208805942682,0.23092281389376323,
Ego Vehicle_counts_mean,-0.25043476481085725,0.10931222705361089,-2.291004140717346,0.03190938618481055,*
Fire Hydrant_counts_std,0.49215046402906937,0.07156724583383338,6.876755676357263,6.60633282452782e-07,***
Traffic Sign Frame_counts_std,0.283212140492278,0.09304872443406427,3.0436971835435145,0.005958306525152629,**
Car_counts_std,0.3087703449929606,0.122197096357627,2.5268222748051286,0.019206161810973982,*
Billboard_counts_std,0.2072073118810489,0.09693281366364684,2.137638474005824,0.04390821477468655,*
Mailbox_counts_mean,0.02773155667870529,0.16349302039012303,0.16961920828505664,0.8668596529876701,
Snow_ratios_std,0.3006942191284038,0.09576529175068632,3.139908140323175,0.0047589782335102785,**
Rail Track_counts_std,0.02376618595370561,0.13180426773602003,0.1803142368751288,0.8585565291015099,
Bike Lane_ratios_mean,0.27775729364498336,0.06976888340007441,3.981105617704169,0.0006315661365718265,***
Car Mount_counts_mean,0.06456243203160464,0.0832145204559923,0.7758553636771631,0.4460953320653618,
Rail Track_ratios_std,0.12281094699138088,0.12971230309916182,0.9467948996133002,0.3540275706930832,
Road_counts_mean,0.17940803533074431,0.09735980153951483,1.8427321388687206,0.07888562386452488,.
Phone Booth_counts_std,-0.13706243289205816,0.05702469811894632,-2.40356262134283,0.02510296795123131,*
Motorcyclist_ratios_std,-0.1682578111036881,0.08306953027400701,-2.025505748602229,0.055114845795869734,.
On Rails_ratios_mean,0.14611025033670366,0.06409478974466132,2.2795963746627894,0.03268632292865207,*
Mountain_ratios_mean,-0.19381448096125273,0.10386017257182364,-1.8661097527757518,0.07541455993483123,.
CCTV Camera_counts_std,-0.12863573274987733,0.05959259703676424,-2.1585857832394613,0.04205818205997491,*
Water_ratios_std,0.1647958659119491,0.06672622951895497,2.469731424958388,0.02175570249612649,*
Other Rider_counts_mean,-0.041586169035366466,0.07532715299929245,-0.5520740845702358,0.5864628338312234,
Catch Basin_counts_std,0.03841916799604066,0.08288382714054728,0.4635303330153026,0.6475375338331997,
Junction Box_counts_std,-0.17779595287166403,0.2646947773918563,-0.6717017790209493,0.5087662880272191,
Tunnel_counts_std,0.05886046230025396,0.05636477486985522,1.0442774310047582,0.30769652728601093,
Traffic Sign (Back)_ratios_std,-0.08423581443431277,0.05316072020052663,-1.5845499104708949,0.1273391118943528,
Catch Basin_ratios_mean,0.16783456919403422,0.08639054408947555,1.9427423563880588,0.06495459828337853,.
Pedestrian Area_counts_std,-0.2247071087151488,0.12414976250084658,-1.8099680916716736,0.08398369114033764,.
Barrier_ratios_mean,-0.1897048168232039,0.11169107474620049,-1.6984778529016462,0.10351817376743279,
Bridge_ratios_mean,-0.07482061437426094,0.08509984526758135,-0.8792097581258909,0.3887901303203769,
Terrain_ratios_std,-0.07993945851320144,0.09411493131164388,-0.8493812554407225,0.4048176757644596,
Person_ratios_std,-0.041372366479216986,0.053229543688777435,-0.7772444325488302,0.44529240769706,
Parking_ratios_std,0.01978861878854162,0.0844527204821582,0.2343159424061684,0.8169066159191801,
Bird_counts_mean,0.07913691102895465,0.061201699070348684,1.2930508830807168,0.20940776920781545,
Truck_counts_std,0.15042317848078732,0.07432756368981426,2.0237872871568516,0.05530486427797488,.
Water_counts_std,0.13403435766026517,0.06782507278177191,1.9761771298281172,0.06080648265622106,.
Ego Vehicle_ratios_std,-0.08555417616031885,0.0804413097200763,-1.0635602087787301,0.29906320371246786,
Crosswalk - Plain_counts_std,0.0029964104604320273,0.084577567887751,0.035427957261773946,0.9720579841558972,
Other Rider_ratios_std,0.005111399303878883,0.06159058283318288,0.08298994860501689,0.9346100199235476,
Utility Pole_counts_mean,0.030191573009475496,0.08861822559172675,0.34069259238580524,0.7365669893853075,
Terrain_counts_mean,0.2146933782578489,0.30061737782556097,0.7141748750879894,0.48262831428431374,
Service Lane_counts_std,0.12314879785105452,0.09104581393728357,1.3526025253163745,0.18992237713190002,
Ground Animal_counts_mean,0.02472636613135791,0.06274759912683894,0.3940607525297607,0.6973298380699133,
Mountain_counts_mean,0.05259170292320324,0.10602216033918335,0.49604443783217794,0.624782540469372,
Mailbox_ratios_mean,0.06764362582551751,0.16043624198171583,0.42162310080303766,0.6773913474509551,
