variable,coefficient
Junction Box_counts_mean,-0.015596203283661144
Terrain_counts_std,-0.014109694154794296
Ego Vehicle_counts_mean,-0.01353449759163662
Fire Hydrant_counts_std,0.01280355927639788
Traffic Sign Frame_counts_std,0.01154819961351054
Car_counts_std,0.00713757464673206
Billboard_counts_std,0.007043835748660746
Mailbox_counts_mean,0.007038037560272231
Snow_ratios_std,0.006925188141618593
Rail Track_counts_std,0.006499400450795973
Bike Lane_ratios_mean,0.005653033762463151
Car Mount_counts_mean,0.005495546783434372
Rail Track_ratios_std,0.005176870160346986
Road_counts_mean,0.005072457370884787
Phone Booth_counts_std,-0.004624863488919122
Motorcyclist_ratios_std,-0.004116277641767974
On Rails_ratios_mean,0.00401883897659593
Mountain_ratios_mean,-0.00397974786528301
CCTV Camera_counts_std,-0.003624776430484558
Water_ratios_std,0.003525902110697411
Other Rider_counts_mean,-0.003450317775099204
Catch Basin_counts_std,0.0034333078504843414
Junction Box_counts_std,-0.0033981498388580516
Tunnel_counts_std,0.0032547937930801833
Traffic Sign (Back)_ratios_std,-0.003160561861411745
Catch Basin_ratios_mean,0.002776693083633238
Pedestrian Area_counts_std,-0.002685833585755897
Barrier_ratios_mean,-0.002622056489239159
Bridge_ratios_mean,-0.0021644668976864207
Terrain_ratios_std,0.002130880658364882
Person_ratios_std,-0.00157780675020996
Parking_ratios_std,0.001561872807512027
Bird_counts_mean,0.0014712450871998892
Truck_counts_std,0.0014614143886393194
Water_counts_std,0.001292166486374082
Ego Vehicle_ratios_std,-0.0010713178756929158
Crosswalk - Plain_counts_std,-0.0009231074277746635
Other Rider_ratios_std,0.0008367987245815433
Utility Pole_counts_mean,-0.0008335502272200254
Terrain_counts_mean,0.0007833649783150168
Service Lane_counts_std,0.0006641553834766724
Ground Animal_counts_mean,-0.000651000729727128
Mountain_counts_mean,-0.0005279335641071855
Mailbox_ratios_mean,0.0003618627428081974
