variable,coefficient,std_err,t_value,p_value,significance
constant,6.236764577005616e-15,0.07758275544552383,8.038854177311189e-14,0.9999999999999362,
Sand_ratios_std,0.32097659027239467,0.11661941252828491,2.7523427130499813,0.007999398282201465,**
Lane Marking - General_counts_std,-0.11381176689208926,0.11144388819695152,-1.0212472728065003,0.311608469888298,
Fence_ratios_std,-0.32120048030027615,0.10240154673429186,-3.136676061482904,0.002743627229904514,**
Fence_counts_std,0.12001505733203151,0.12832847800533068,0.9352176476919345,0.3537643148508701,
Fire Hydrant_counts_std,0.08668672734869115,0.10775403011594241,0.8044871013679672,0.4245795875489329,
Mailbox_counts_mean,0.1619973233036452,0.11275730742723145,1.4366902420775793,0.1564703944050993,
Wall_ratios_std,-0.16262011812479987,0.10078870470813592,-1.613475623044422,0.11236481632419038,
Rail Track_ratios_std,0.19076024244748815,0.13919235321898257,1.3704793261694272,0.1761051060356972,
Bird_ratios_std,0.0823002577110555,0.13053076811041922,0.6305046611036231,0.5309756337624347,
Banner_ratios_mean,0.1952048937728978,0.08478947298371814,2.3022302993955677,0.025132351852821654,*
Rail Track_counts_std,0.036228889072646944,0.1611006800892622,0.22488352657836916,0.8229033214540578,
