variable,coefficient,std_err,t_value,p_value,significance
constant,1.3739009929736312e-15,0.048707962088187125,2.8206907743053285e-14,0.9999999999999777,
Motorcycle_counts_std,-0.5738172173206928,0.15388999576412,-3.7287493216922964,0.0008311360343384573,***
Person_counts_mean,0.3876977407044586,0.12409855565215745,3.12411162778685,0.004025060396255081,**
Catch Basin_counts_mean,0.2949785387991777,0.10165362616454042,2.901800456401961,0.007015169699426918,**
Truck_counts_std,0.38614281853662497,0.15851574238663177,2.4359903484840877,0.021227794141185904,*
Water_counts_std,0.11097972805539486,0.12667271056007556,0.8761139440744959,0.3881676591887223,
Tunnel_ratios_std,-0.14154492435551116,0.11215767322234525,-1.2620173037551128,0.21699841255723942,
Boat_counts_mean,0.16376978107625922,0.1074312345484877,1.524414959620927,0.1382374745780565,
Motorcycle_ratios_std,-0.1469167901318389,0.12596977806654597,-1.16628601230231,0.25300094777710225,
Phone Booth_ratios_mean,-0.1646067886895287,0.0743421803525483,-2.2141775760264784,0.03483452984818852,*
Billboard_counts_std,0.001184838817074521,0.1511504326823614,0.00783880532822839,0.9937992794031052,
Bicyclist_counts_mean,0.2295272641615208,0.09553186835916096,2.402625093634636,0.022902449040637166,*
Vegetation_counts_mean,0.23715776049183168,0.11792567285674707,2.011078289796358,0.053694650284056664,.
Car Mount_ratios_std,0.185615619195187,0.09787466914681009,1.8964622901229653,0.06790080730728298,.
Pole_ratios_std,0.2195270884343709,0.12489660618970293,1.7576705655311053,0.08935648679809205,.
Fire Hydrant_counts_mean,-0.06769442304721897,0.08991007638309227,-0.7529125296121871,0.45757135560265594,
Bird_ratios_mean,-0.20914648618038473,0.09545139079029116,-2.1911308410359807,0.03662555767968616,*
Crosswalk - Plain_ratios_std,-0.12831013865855073,0.055836137622482164,-2.2979766173311966,0.028967134719867286,*
Bridge_ratios_mean,-0.03422921559262265,0.1675896572987198,-0.20424420065261464,0.8395893030240092,
Bike Lane_counts_std,-0.1311912031804528,0.08541432362385774,-1.535939144799465,0.13539304159307752,
Caravan_counts_std,0.19170804256219964,0.2892796482777118,0.6627083643926368,0.5127505019230687,
Other Rider_ratios_std,-0.059472597292282645,0.13876387967454562,-0.4285884585510915,0.6713895247153393,
Terrain_ratios_std,0.14137853046207605,0.1333249990936653,1.0604052610024985,0.29771243453591256,
Bridge_counts_mean,0.11087084376175269,0.16736519960055293,0.6624486095458664,0.512914516497015,
Water_ratios_std,0.00554448181309411,0.10830398129675535,0.05119370263870637,0.9595221696486348,
Ground Animal_ratios_std,0.004197945098713227,0.08918566854714044,0.04706972731268297,0.9627803145527893,
Caravan_counts_mean,-0.03416929233672528,0.2507083784966668,-0.13629098692918062,0.8925329853206896,
Other Vehicle_ratios_std,-0.056636472947061534,0.09877061650939425,-0.5734141888410177,0.5707846612038111,
Rail Track_ratios_std,0.10396412819765549,0.1149385836808224,0.9045189601984107,0.3731735813134244,
Trailer_counts_mean,-0.1223410522452903,0.10782929410991648,-1.134580850734135,0.26584241605553943,
On Rails_ratios_mean,-0.172938171270398,0.1083415311927751,-1.5962315592778942,0.12127838835118467,
Other Rider_ratios_mean,-0.0444504315937974,0.13281439055172786,-0.3346808384930628,0.7402745229539919,
Car Mount_counts_std,0.15852262761034114,0.10594712966337404,1.496242778015934,0.1453952298629129,
Bench_counts_mean,-0.03875769034296639,0.15730524589614484,-0.24638523732739828,0.8071197167866382,
Truck_ratios_std,-0.058436458270627704,0.13033772989103112,-0.44834644825779546,0.6572351885390634,
Billboard_ratios_std,0.025990954093737056,0.11588435548636854,0.22428354530387296,0.8241093850798186,
Traffic Sign Frame_ratios_mean,-0.1554652773428784,0.10905842212845669,-1.425522892305928,0.16468163318090817,
Mountain_ratios_mean,0.008341550400357167,0.08418888345590866,0.09908137580570002,0.9217553963247427,
