variable,coefficient,std_err,t_value,p_value,significance
constant,-5.550709766611952e-16,0.0030982536064649217,-1.7915608183363853e-13,0.999999999999857,
age,0.002990234765705079,0.003101353138602641,0.9641710028069786,0.3349624569180404,
female,-0.04815020203795998,0.0031117605832505133,-15.473620399054855,6.012032871220723e-54,***
ethnic,-0.00663788998263646,0.003271004857589704,-2.02931217519735,0.04242906280483285,*
edu_own,0.029993986208313884,0.0032422357914605486,9.25101940065942,2.2642964532789972e-20,***
time_now,-0.011427074432089524,0.0032552309524466676,-3.510372873390384,0.0004476692549374016,***
Bird_ratios_mean,0.04990041093105062,0.057682953822995875,0.8650807149053683,0.3869964978682028,
Curb_ratios_mean,0.00656081970788494,0.07293917226577573,0.08994919333576513,0.9283277633312093,
Road_ratios_mean,0.024364036289237098,0.06536291308934329,0.37275015964992825,0.7093351652971879,
Sidewalk_ratios_mean,0.208464219607545,0.10405464802427859,2.0034109342131936,0.045135806066421424,*
Building_ratios_mean,-0.09734417609019105,0.06831868414888381,-1.4248543762648194,0.15420232154114635,
Sky_ratios_mean,0.07763529264594514,0.0791930339995775,0.9803298184832687,0.32692563636615635,
Terrain_ratios_mean,-0.025852067461770715,0.0558680159840777,-0.46273466144096675,0.6435555449382255,
Vegetation_ratios_mean,0.08258481550317687,0.0751326445673911,1.0991868578391575,0.2716891318439214,
Utility Pole_ratios_mean,0.04098970106735205,0.08986056798444646,0.45614780750603273,0.648284652921153,
Car_ratios_mean,-0.020757743258160325,0.10783801248486448,-0.19249003927139108,0.8473587479543473,
Person_ratios_mean,0.058967205621097835,0.06512998275087707,0.9053772645180649,0.3652676679630775,
Pole_ratios_mean,-0.037363676615238164,0.11455050352066104,-0.3261764502719887,0.7442915186685404,
Barrier_ratios_mean,0.2150640445013866,0.11822002620713164,1.8191845442884265,0.06888617386418562,.
Lane Marking - General_ratios_mean,-0.13790076310259877,0.07475158502093282,-1.8447871448342155,0.06507136923256687,.
Traffic Sign (Back)_ratios_mean,-0.005702045713739842,0.0513323775305719,-0.11108088087959472,0.9115524255763929,
Wall_ratios_mean,0.0876049342370851,0.060934117749440145,1.4376992311157242,0.15052244073460194,
Fence_ratios_mean,-0.10065559465326927,0.06967908016996974,-1.4445597503258916,0.14858461857154948,
Billboard_ratios_mean,-0.1384979426330357,0.07476270162228582,-1.8525005066396798,0.063956835577132,.
Catch Basin_ratios_mean,-0.010195587433442963,0.04611379015856334,-0.2210962794076392,0.8250179042067322,
Traffic Sign (Front)_ratios_mean,0.029637590437477913,0.05909280855080522,0.501543100832598,0.6159900212594478,
Street Light_ratios_mean,0.5026629480836092,0.35614292320981256,1.4114079357614475,0.15812737642694394,
Motorcycle_ratios_mean,-0.12211837542405066,0.12442882783141605,-0.9814315344150333,0.3263822804656883,
Truck_ratios_mean,0.04532730046553584,0.06893047554863294,0.6575799761247229,0.5108095301706859,
Rail Track_ratios_mean,0.4696069807512391,0.28273221849697705,1.6609602656807225,0.09672446216098829,.
