variable,coefficient,std_err,t_value,p_value,significance
constant,3.17326527921821e-16,0.0030850361316263966,1.0285990645903067e-13,0.999999999999918,
age,-0.00040095624743551424,0.003088122440834929,-0.12983819622356313,0.896694695288733,
female,0.044725836128965336,0.003098485486232372,14.434741207502015,3.4777716428974005e-47,***
ethnic,-0.01275011560559786,0.003257050407795255,-3.9146202880625967,9.060464068346262e-05,***
edu_own,0.04322082214663939,0.003228404073519585,13.38767426950999,7.721214719048553e-41,***
time_now,-0.018401101060770503,0.003241343795785969,-5.676997634343369,1.3744550470706412e-08,***
Bird_ratios_mean,0.06732232493698061,0.05743687229204038,1.1721098703752042,0.2411556509828,
Curb_ratios_mean,0.1360469830890478,0.07262800610682926,1.87320278198103,0.06104321009966897,.
Road_ratios_mean,0.12252823460058507,0.06508406804666234,1.8826148745456086,0.05975538721847092,.
Sidewalk_ratios_mean,0.04610137586008905,0.10361073998226981,0.4449478487266673,0.6563583750288002,
Building_ratios_mean,-0.14016631819229664,0.06802722947685348,-2.060444314287248,0.03935858265705635,*
Sky_ratios_mean,0.005812915049692581,0.07885518821055244,0.07371632966205632,0.9412362476918804,
Terrain_ratios_mean,0.04156644433861707,0.055629677168298704,0.7471990932621168,0.45494509220059065,
Vegetation_ratios_mean,-0.05217966651010791,0.07481212082554854,-0.6974761032611765,0.4855064591776409,
Utility Pole_ratios_mean,0.2013956673367096,0.08947721337660168,2.2508039727282636,0.024400049803864666,*
Car_ratios_mean,0.055535889344081386,0.10737796421325718,0.5172000582334078,0.605017618859532,
Person_ratios_mean,0.032640183001578595,0.0648521314134504,0.5033016230952894,0.6147532987027642,
Pole_ratios_mean,0.2246193134824859,0.11406181905827054,1.969276970479798,0.04892396271415115,*
Barrier_ratios_mean,0.1244571146338359,0.11771568717609104,1.0572687261950087,0.29039143452586996,
Lane Marking - General_ratios_mean,0.016782683092219062,0.07443268691908202,0.22547463737892487,0.8216104999155126,
Traffic Sign (Back)_ratios_mean,0.04877470489976157,0.051113388224145774,0.9542451908269424,0.3399617776144416,
Wall_ratios_mean,0.14605793387864832,0.06067416641218344,2.4072507710517095,0.01607487133873154,*
Fence_ratios_mean,-0.15538510121280247,0.06938182190583138,-2.239565017818345,0.025121294902379996,*
Billboard_ratios_mean,-0.026164659416259114,0.07444375609584772,-0.3514688240954907,0.7252373741187451,
Catch Basin_ratios_mean,-0.0390237140017378,0.04591706389320597,-0.849873896390659,0.3953971696325024,
Traffic Sign (Front)_ratios_mean,0.05377952249463887,0.05884071243171146,0.9139848970566691,0.3607269151049993,
Street Light_ratios_mean,-0.6118413181011519,0.3546235801461518,-1.725326098870787,0.08447171210844112,.
Motorcycle_ratios_mean,0.018026806148302762,0.1238980014014501,0.14549715043338687,0.8843186493378239,
Truck_ratios_mean,-0.15837953126810228,0.06863641091032491,-2.307514760278315,0.021028107196838185,*
Rail Track_ratios_mean,-0.3969120993306302,0.28152605319913754,-1.4098592113244819,0.15858426962670955,
Manhole_ratios_mean,0.13919611637302892,0.08852988482009977,1.5723065341820701,0.11588254126355689,
Mountain_ratios_mean,0.014669544881691747,0.01944199383054478,0.7545288312274243,0.4505334600952329,
Trash Can_ratios_mean,0.14478747527980862,0.09644999267373358,1.5011662651918363,0.1333156196608334,
Guard Rail_ratios_mean,0.10666899828500599,0.0888092236933363,1.2011026991221159,0.2297141203056046,
Bridge_ratios_mean,-0.08209920207957715,0.08604360938896341,-0.9541580445381432,0.3400058812249249,
Trailer_ratios_mean,-0.05867568056451274,0.04703805386629489,-1.2474087625159338,0.2122504833710443,
Traffic Sign Frame_ratios_mean,-0.009487933527859014,0.04529514356850448,-0.20946911258840456,0.8340824582134932,
Other Vehicle_ratios_mean,0.146786436591993,0.09536966676159529,1.5391312728283841,0.12377531495571167,
Fire Hydrant_ratios_mean,-0.1791653218670096,0.10535389162207545,-1.7006046868179283,0.08902025367842116,.
Curb Cut_ratios_mean,-0.1015430000686229,0.08071289683641483,-1.2580765162527316,0.2083669292201054,
Snow_ratios_mean,-0.05864814380847352,0.11566179992901207,-0.5070658060350873,0.612109728799243,
Junction Box_ratios_mean,-0.06291943351703798,0.08328300775251928,-0.7554894475474163,0.44995708427374026,
Traffic Light_ratios_mean,-0.22798814983285584,0.07674964148869576,-2.9705435153913466,0.002973416517891403,**
Sand_ratios_mean,0.04474941655380946,0.07480327552467944,0.5982280353357725,0.5496890989940849,
Bench_ratios_mean,-0.02048563556246838,0.06886811195798029,-0.2974618438061383,0.7661145327263302,
Parking_ratios_mean,0.007673744751727201,0.049932886775998685,0.15368117581809332,0.8778614281851591,
Bus_ratios_mean,-0.13443564639260472,0.04139960370402423,-3.2472689196185947,0.001165553918655289,**
Water_ratios_mean,-0.11920624802476626,0.08316743696542259,-1.4333283839722877,0.15176704083385953,
Ground Animal_ratios_mean,-0.10560977770959207,0.052725963397063765,-2.00299379860119,0.045180562147010384,*
Lane Marking - Crosswalk_ratios_mean,-0.0028777323321954817,0.0676540106469611,-0.042536019737430666,0.9660714803421926,
Service Lane_ratios_mean,0.07300757475211217,0.060507832591885836,1.2065805636195035,0.22759647904806596,
Pothole_ratios_mean,0.02020238885506403,0.03936076882466215,0.5132620489467138,0.6077691250217541,
Motorcyclist_ratios_mean,-0.07681981736632115,0.09586696791755948,-0.8013168564210994,0.42295007802884044,
Banner_ratios_mean,-0.010842143170187198,0.02269640997206571,-0.47770300164349744,0.6328626184569723,
On Rails_ratios_mean,0.025502197960221594,0.0257681370137719,0.9896795389822642,0.3223330973135131,
Car Mount_ratios_mean,0.011868038345388758,0.03889062633865273,0.30516449496194714,0.7602414872350594,
Tunnel_ratios_mean,-0.07965018568165448,0.8975975231419623,-0.08873708274377352,0.9292910330357866,
Pedestrian Area_ratios_mean,-0.39745295672533903,0.2556686458236883,-1.554562764021626,0.12005330149436345,
Building_counts_mean,0.020435289184472325,0.046363458328333246,0.4407628317921246,0.6593856265172999,
Curb_counts_mean,-0.24630420716962192,0.09369189566749478,-2.6288741989353737,0.008568072605856718,**
Sky_counts_mean,-0.020196598881223507,0.06576167952000203,-0.30711805155585364,0.7587541372298541,
Car_counts_mean,-0.052994789353193704,0.07847143744811472,-0.675338582758011,0.49946218802485287,
Sidewalk_counts_mean,0.14838805950878128,0.10675317148685436,1.3900107832117556,0.16452859834789302,
Utility Pole_counts_mean,-0.17435434403682573,0.08256922940260472,-2.111614039495027,0.03472196232432279,*
Terrain_counts_mean,-0.04721928957283703,0.085676215914067,-0.5511364976739618,0.5815412996189715,
Vegetation_counts_mean,-0.043413267155863286,0.06241780649122615,-0.6955269593135371,0.4867266868405613,
Road_counts_mean,-0.08104781019545558,0.04337415275332437,-1.8685739098210685,0.06168494679657028,.
Pole_counts_mean,-0.07738920701487141,0.12792966901815095,-0.604935568182321,0.5452231377999643,
Person_counts_mean,0.05808715034070148,0.07070532488229406,0.8215385536718974,0.41134146925764714,
Lane Marking - General_counts_mean,-0.05886694616570739,0.06551783282284505,-0.8984873831965546,0.3689278629596694,
Traffic Sign (Back)_counts_mean,-0.0369929946092892,0.09185379149110018,-0.40273780764807615,0.6871419509195497,
Barrier_counts_mean,-0.11716937648111442,0.13923599480053978,-0.841516424319469,0.40006063596424757,
Wall_counts_mean,-0.061851618598567526,0.05579911984918476,-1.1084694304451685,0.2676617151583728,
Fence_counts_mean,-0.026326876380926817,0.04523326734709654,-0.5820246452441314,0.5605513507987643,
Catch Basin_counts_mean,-0.01890742855652378,0.07458260495344571,-0.25350989776135807,0.7998747181669471,
Billboard_counts_mean,0.02583555174106897,0.08955914621789107,0.2884747435869129,0.7729839397080374,
Traffic Sign (Front)_counts_mean,-0.08088207972815711,0.1016865593987045,-0.7954058059042517,0.4263793114971276,
Street Light_counts_mean,0.02843243516539732,0.11142782533394481,0.25516458820035687,0.7985964885022386,
Motorcycle_counts_mean,-0.05186344282389556,0.18265285683157245,-0.28394542370459497,0.7764527745177492,
Truck_counts_mean,0.1985990681300491,0.09530143542844274,2.0839042689883467,0.03717132759857081,*
Rail Track_counts_mean,0.16346517441510763,0.2846021438939795,0.5743638195360959,0.5657228816061945,
Manhole_counts_mean,0.029948269662502528,0.09615423485834233,0.3114607454016282,0.755451009003479,
Mountain_counts_mean,0.04222425137755908,0.039849700970643324,1.0595876593569686,0.2893347079595515,
Trash Can_counts_mean,-0.17318636465554818,0.1029934771821978,-1.68152750439892,0.09266352171115262,.
Guard Rail_counts_mean,-0.2171295879091617,0.12331040489206933,-1.7608375229909436,0.07826886558496791,.
Trailer_counts_mean,-0.0006949117638551415,0.07274352422837815,-0.009552902079276051,0.9923780212970126,
Bridge_counts_mean,0.11998726522982989,0.09099922776624694,1.3185525655013863,0.18732166416920382,
Traffic Sign Frame_counts_mean,-0.0074619397528620434,0.07141724697971008,-0.10448372162794248,0.9167856886934178,
Other Vehicle_counts_mean,-0.11065729080071476,0.07930862444206825,-1.3952743674371184,0.16293611832744556,
Fire Hydrant_counts_mean,0.2466579828455108,0.12110849134684146,2.0366696017962056,0.0416857074821162,*
Curb Cut_counts_mean,0.058220193372055966,0.07597706091421523,0.7662864642499355,0.44350762164033286,
Snow_counts_mean,0.0876921411257134,0.10538807787627605,0.8320878688826889,0.4053612723943646,
Junction Box_counts_mean,0.24052736164174893,0.17957767933521218,1.339405668522778,0.18044159210691915,
Traffic Light_counts_mean,0.14802622826275716,0.10840295141510958,1.3655184322050178,0.17209313743007942,
Sand_counts_mean,-0.03279123341508726,0.11993857402227984,-0.27340022742804954,0.7845461246022256,
Bench_counts_mean,-0.05901509581323083,0.08130854920560673,-0.7258166132567198,0.46795284544864457,
Parking_counts_mean,-0.0033479447070623868,0.07065283093132516,-0.04738585365838494,0.9622057951116532,
Bus_counts_mean,-0.14076934771794236,0.10896802753253443,-1.2918408353855269,0.1964151608319356,
Water_counts_mean,0.053811402695342785,0.09084435080341426,0.5923472645182948,0.5536193686447042,
Ground Animal_counts_mean,0.0729604770478496,0.04041213302462316,1.8054101970661804,0.07101342708820287,.
Lane Marking - Crosswalk_counts_mean,0.060008021892941826,0.08664424961509608,0.692579394010778,0.48857510249973224,
Service Lane_counts_mean,-0.10588663268864257,0.06172144261549533,-1.7155566720674713,0.08624621338481119,.
Pothole_counts_mean,-0.034100801730428204,0.07254143411913022,-0.47008722869231684,0.6382936907108644,
Motorcyclist_counts_mean,-0.0019734102099943623,0.1521339096353041,-0.012971534188038864,0.9896505284297445,
Banner_counts_mean,0.008679927458518002,0.03558348728644981,0.24393133221159347,0.8072844868740746,
On Rails_counts_mean,0.024675622929088904,0.024502275359669392,1.0070747539514164,0.3139012113341444,
