variable,coefficient,std_err,t_value,p_value,significance
constant,-6.257599927119662e-16,0.0031010572445707148,-2.017892426228305e-13,0.999999999999839,
age,-0.00118477957495148,0.0031041595815034947,-0.38167482819218784,0.7027033584250171,
female,-0.0015186857027546915,0.003114576443943486,-0.4876058527020209,0.6258300840786416,
ethnic,-0.0008561686408553077,0.003273964819887121,-0.26150819815004195,0.7937011496242233,
edu_own,0.012468428113250555,0.0032451697203661543,3.842149775711495,0.00012203423938703644,***
time_now,-0.019293123742089968,0.003258176640792642,-5.921448057953169,3.201235849104707e-09,***
Bird_ratios_mean,0.02149277246426573,0.0577351516569806,0.37226493474824185,0.7096963672237827,
Curb_ratios_mean,-0.05502520665700303,0.07300517559175998,-0.7537165168220439,0.45102117996579927,
Road_ratios_mean,-0.11173551671708981,0.06542206058890902,-1.7079180281281494,0.08765455834707381,.
Sidewalk_ratios_mean,-0.02344969306619221,0.10414880802966905,-0.22515565477726882,0.8218586314749246,
Building_ratios_mean,-0.03177313823553478,0.06838050635279178,-0.46465198826708565,0.6421816752254575,
Sky_ratios_mean,0.10240753681615689,0.07926469650240532,1.2919690774700598,0.19637074413546676,
Terrain_ratios_mean,-0.04750890422043066,0.05591857146416532,-0.8496086895008774,0.395544648382553,
Vegetation_ratios_mean,0.049219373773936335,0.07520063278657968,0.6545074416278055,0.512786391666529,
Utility Pole_ratios_mean,0.01417400333053171,0.08994188363662022,0.15759068809140112,0.8747796497447891,
Car_ratios_mean,-0.08076515932773402,0.10793559609145649,-0.7482717680949269,0.45429795341960877,
Person_ratios_mean,-0.01980782389930027,0.06518891946964309,-0.30385261882618403,0.7612407887597752,
Pole_ratios_mean,-0.023901241965364237,0.11465416132195858,-0.20846379834611958,0.8348672574542015,
Barrier_ratios_mean,-0.025785526000454282,0.11832700459316517,-0.21791750825697578,0.8274938158080025,
Lane Marking - General_ratios_mean,-0.10972040548480816,0.07481922841584271,-1.466473362635951,0.1425224171713173,
Traffic Sign (Back)_ratios_mean,-0.021532700517056472,0.05137882866982189,-0.41909675783839,0.6751462915629871,
Wall_ratios_mean,0.04587134491033603,0.06098925759148172,0.7521217132628749,0.4519795811521222,
Fence_ratios_mean,0.02952747267661746,0.06974213340871478,0.423380691605396,0.6720184115102652,
Billboard_ratios_mean,0.02375410366741413,0.07483035507671025,0.31743940868733383,0.7509108500798415,
Catch Basin_ratios_mean,0.037746515154103426,0.0461555189502353,0.8178115209754563,0.41346670490120696,
Traffic Sign (Front)_ratios_mean,-0.065417863889073,0.05914628217526439,-1.1060350960898004,0.26871390499669084,
Street Light_ratios_mean,0.1746358318826915,0.35646520020758193,0.48990990363433806,0.624198695146915,
Motorcycle_ratios_mean,-0.042805130630269916,0.12454142461898676,-0.34370195106748547,0.7310711433132906,
Truck_ratios_mean,-0.003399929669352107,0.0689928513681899,-0.049279448550515935,0.9606966925775207,
Rail Track_ratios_mean,0.4442369362514133,0.28298806547472594,1.5698080253179043,0.11646284305389032,
Manhole_ratios_mean,0.0719902287117841,0.08898963544315083,0.8089731838240145,0.41853243451248423,
Mountain_ratios_mean,-0.0024136310385095916,0.019542959383534165,-0.12350386607993392,0.9017083533425053,
Trash Can_ratios_mean,-0.05232229971670406,0.0969508737526498,-0.5396784752058412,0.5894199501123436,
Guard Rail_ratios_mean,0.06694689836454319,0.08927042497026853,0.7499336805760678,0.4532963563328084,
Bridge_ratios_mean,-0.03547787886897005,0.08649044836437296,-0.4101941837497059,0.6816643578937011,
Trailer_ratios_mean,-0.04997556149780836,0.047282330413317225,-1.0569606248454406,0.29053203001668954,
Traffic Sign Frame_ratios_mean,0.0006590440474809412,0.045530368888396455,0.014474823366715583,0.9884511931588331,
Other Vehicle_ratios_mean,-0.17431794388937125,0.09586493752584531,-1.8183701819278284,0.06901046748066851,.
Fire Hydrant_ratios_mean,-0.02994239028763943,0.10590101214993485,-0.2827394156086718,0.7773771657792404,
Curb Cut_ratios_mean,-0.07155035418872785,0.08113205252247728,-0.8818999638756229,0.37783295880034073,
Snow_ratios_mean,0.07895951580097967,0.11626245116320975,0.6791488998467436,0.4970450431085671,
Junction Box_ratios_mean,-0.031180084434085514,0.08371551045803613,-0.3724528974796741,0.7095564398224722,
Traffic Light_ratios_mean,0.02758619179764388,0.07714821532130695,0.35757394623780847,0.7206629093243309,
Sand_ratios_mean,0.038391789651916676,0.07519174155057134,0.5105851900782973,0.6096426394704382,
Bench_ratios_mean,-0.002565608551030297,0.06922575567846376,-0.037061474098555224,0.9704360617459606,
Parking_ratios_mean,-0.04847847081093358,0.0501921966785548,-0.9658567271204246,0.33411813947581037,
Bus_ratios_mean,-0.059370911422577624,0.04161459882839009,-1.426684699458737,0.1536738203896913,
Water_ratios_mean,0.08098903339742951,0.08359933949235022,0.9687759961888267,0.33265923384306717,
Ground Animal_ratios_mean,0.033894689575906044,0.05299977821758485,0.6395251209685268,0.5224827950976805,
Lane Marking - Crosswalk_ratios_mean,-0.14389581555175227,0.06800534933456981,-2.1159484799323622,0.03435157553925498,*
Service Lane_ratios_mean,-0.057740192836990424,0.06082205997160195,-0.9493297804110801,0.34245513282451856,
Pothole_ratios_mean,-0.016360511967868935,0.039565175935635806,-0.4135078786072893,0.6792354097578674,
Motorcyclist_ratios_mean,0.060948458704900184,0.09636482125058571,0.6324762285026263,0.52707713693256,
Banner_ratios_mean,0.003230336118486713,0.02281427625695791,0.14159275017551887,0.8874019698918414,
On Rails_ratios_mean,-0.04207614319429505,0.025901955295259797,-1.6244388778632175,0.1042852264801005,
Car Mount_ratios_mean,-0.033127403335304735,0.03909259192040375,-0.8474087213954831,0.39676930842749025,
Tunnel_ratios_mean,-0.4894219213342434,0.9022588984656984,-0.5424406699302284,0.5875161392094422,
Pedestrian Area_ratios_mean,-0.00031583231440740576,0.25699637622174454,-0.0012289368396965089,0.9990194528894686,
Building_counts_mean,-0.07117102529451988,0.04660423158695172,-1.5271365468548221,0.1267301226625969,
Curb_counts_mean,0.01904829640466608,0.09417845348348537,0.20225747716282352,0.8397158395582323,
Sky_counts_mean,0.036640304473991345,0.06610319101291366,0.5542894966573314,0.5793819373851781,
Car_counts_mean,0.0909805930848383,0.07887895285753602,1.1534203965557095,0.24874054257480563,
Sidewalk_counts_mean,-0.09669974021283362,0.10730755871104981,-0.9011456543636392,0.36751298266666765,
Utility Pole_counts_mean,0.06510047585144504,0.08299802533676678,0.7843617433944731,0.4328296783344028,
Terrain_counts_mean,-0.11338296114556781,0.08612114695319795,-1.3165519173494653,0.1879917861581568,
Vegetation_counts_mean,-0.09469686209395142,0.06274195268753191,-1.509306899732013,0.13122343099839842,
Road_counts_mean,-0.02232367312675686,0.043599402043924665,-0.5120178736457589,0.6086395951039594,
Pole_counts_mean,0.03294846428644941,0.1285940293655899,0.256220793834663,0.7977808635139889,
Person_counts_mean,0.0770240414828527,0.07107250955935221,1.0837388740090907,0.2784831239104683,
Lane Marking - General_counts_mean,0.041443668093623494,0.06585807797873189,0.629287543238162,0.5291622167595861,
Traffic Sign (Back)_counts_mean,-0.02738245429487286,0.09233080372209371,-0.29656900179588225,0.7667961759257096,
Barrier_counts_mean,-0.007081455737413373,0.1399590708046571,-0.05059661868788099,0.9596470551061088,
Wall_counts_mean,0.00892744930632774,0.056088894089470896,0.1591660782629625,0.873538339935723,
Fence_counts_mean,-0.013347550327977464,0.04546817133333489,-0.2935581074973151,0.7690961810991297,
Catch Basin_counts_mean,0.05442006333416625,0.07496992499984358,0.725891927119839,0.4679066705486328,
Billboard_counts_mean,-0.06253744777005692,0.09002424196897296,-0.6946734168737636,0.4872615535460276,
Traffic Sign (Front)_counts_mean,0.0995633033862317,0.10221463485180686,0.9740611364564467,0.3300284656477367,
Street Light_counts_mean,-0.10536423746934757,0.11200648882398107,-0.9406976200720671,0.34686203883504285,
Motorcycle_counts_mean,-0.10716724727187428,0.1836014039227724,-0.5836951405717554,0.5594267117444718,
Truck_counts_mean,-0.05017509849293122,0.09579635185587201,-0.5237683640439763,0.6004407834192294,
Rail Track_counts_mean,-0.5914100714446395,0.2860801308273503,-2.067288174590343,0.038709492796136086,*
Manhole_counts_mean,-0.11626936534619686,0.09665358001704162,-1.2029493923111452,0.22899866230715699,
Mountain_counts_mean,-0.052740720749642284,0.04005664718871287,-1.3166534008993025,0.18795775145984622,
Trash Can_counts_mean,0.03478902284136675,0.10352833967977061,0.33603381401628435,0.7368460502563865,
Guard Rail_counts_mean,-0.04343603044331652,0.12395077662183056,-0.35042967561097516,0.7260169732333948,
Trailer_counts_mean,0.04342917171173504,0.073121293618397,0.593933306738004,0.5525580217047483,
Bridge_counts_mean,0.0026707774333404742,0.09147180210368921,0.0291978224099376,0.9767068743688164,
Traffic Sign Frame_counts_mean,-0.09036897265580546,0.0717881287882907,-1.2588289203401755,0.2080949769555432,
Other Vehicle_counts_mean,0.03592439077576592,0.07972048750474657,0.45062934134248706,0.6522576616713305,
Fire Hydrant_counts_mean,-0.06668860225136433,0.12173742816819429,-0.5478068927103203,0.5838256889997678,
Curb Cut_counts_mean,0.06663107317303518,0.07637162260560205,0.8724585245115327,0.38296031317346735,
Snow_counts_mean,-0.06573799455029593,0.10593537593911925,-0.6205480838438272,0.5348983765644709,
Junction Box_counts_mean,0.053536307348664165,0.18051025651102348,0.29658318803283507,0.7667853439833389,
Traffic Light_counts_mean,0.04886457313633821,0.10896590622471933,0.44843910200283454,0.6538372677605283,
Sand_counts_mean,0.028658437947848604,0.12056143526565154,0.2377081683268042,0.8121079193129688,
Bench_counts_mean,0.05209161684338755,0.08173079821488331,0.6373560271175912,0.5238943768090547,
Parking_counts_mean,-0.014567573215242382,0.07101974299844245,-0.20512004972422762,0.8374787362468602,
Bus_counts_mean,0.11303955187231325,0.10953391687772597,1.0320050181214706,0.3020721830242279,
Water_counts_mean,-0.18304027746075938,0.09131612083866746,-2.0044683871771705,0.045022515340701036,*
Ground Animal_counts_mean,-0.10887266475626761,0.0406220000472071,-2.68014043202565,0.007360295047168386,**
Lane Marking - Crosswalk_counts_mean,0.1801049571879685,0.0870942078165021,2.0679326639887443,0.03864883902742131,*
Service Lane_counts_mean,0.03668860959712698,0.062041972476747816,0.5913514373012108,0.5542862657307188,
Pothole_counts_mean,0.04943074959698592,0.07291815402112783,0.6778935953680821,0.4978406795653382,
Motorcyclist_counts_mean,0.022703724491111507,0.1529239666864813,0.14846413536772682,0.8819767778904188,
Banner_counts_mean,-0.027206362984123315,0.035768278337330754,-0.760628250751686,0.44688087716494895,
On Rails_counts_mean,0.0663656282178084,0.024629519808091166,2.6945563183901906,0.00704938090101756,**
Car Mount_counts_mean,0.12186306558364661,0.07099168136540074,1.71658232682793,0.08605851201118483,.
Bird_counts_mean,-0.07463453251701177,0.045510265289006466,-1.6399494057671558,0.10101873213734962,
Tunnel_counts_mean,0.4110053567340275,0.8533047610412359,0.4816630300204849,0.6300463633346483,
Pedestrian Area_counts_mean,0.06129225154936723,0.27540526433247364,0.2225529410192183,0.8238839054806563,
Bicycle_ratios_mean,0.054084791021574624,0.10859613879205954,0.49803604090506814,0.6184596998968326,
Bicyclist_ratios_mean,-0.0022851241097973794,0.06990530883031765,-0.032688849359697424,0.9739227792227001,
Bicycle_counts_mean,-0.03634085273657249,0.14759406213884108,-0.24622164475957584,0.8055111503941655,
Bicyclist_counts_mean,0.009618599817498116,0.0960746407823422,0.10011590716523339,0.9202525009895061,
Mailbox_ratios_mean,-0.05480519618744313,0.037771205603035346,-1.4509782071409156,0.14678896546219442,
Mailbox_counts_mean,0.058256882289641924,0.045176851798677566,1.2895294818074783,0.19721696110050713,
Wheeled Slow_ratios_mean,0.02477974813900839,0.035496075005598954,0.6980982583313724,0.48511731872802777,
Wheeled Slow_counts_mean,-0.028948615572645307,0.04596546049032497,-0.6297906137313375,0.5288329806135255,
Boat_ratios_mean,-0.14661931826126148,0.06421333671202713,-2.283315675041066,0.0224138015922775,*
Ego Vehicle_ratios_mean,0.09027351249146516,0.15602443543139988,0.5785857339708574,0.5628699945366717,
Boat_counts_mean,0.012159693295621322,0.02918662846986798,0.41661863439194025,0.6769582428364824,
Ego Vehicle_counts_mean,-0.04985680384778731,0.1684956242286322,-0.29589376030404485,0.7673118111988586,
Caravan_ratios_mean,-0.004653949433706265,0.04339524103510521,-0.1072456177842493,0.9145943346188261,
Caravan_counts_mean,0.052325406811479576,0.05403590274753131,0.9683451955259528,0.332874267484049,
Other Rider_ratios_mean,0.0007474268281788055,0.05009547448831217,0.01492004688673402,0.9880959954152171,
Other Rider_counts_mean,-0.06448560750194782,0.03649405805841455,-1.7670166304533286,0.07722839569629245,.
CCTV Camera_ratios_mean,0.006656099096628213,0.1558321669234763,0.04271325508742229,0.9659301957419627,
CCTV Camera_counts_mean,0.02357786065734075,0.14283197322971714,0.16507410857805904,0.8688859748130244,
Bike Lane_ratios_mean,0.10785002622539293,0.037463426971588006,2.8788083457283715,0.003992627496187281,**
Phone Booth_ratios_mean,-0.010022926730692288,0.05987100590379722,-0.16740869105819717,0.8670488149277074,
Bike Lane_counts_mean,-0.10631362789167714,0.03558259674691124,-2.9877984636100434,0.0028106078104741146,**
Phone Booth_counts_mean,0.014674596035082305,0.05343187981819064,0.2746412083013857,0.7835924528721939,
Crosswalk - Plain_ratios_mean,0.022669974996783044,0.030008779096338385,0.7554447624811631,0.4499838863226596,
Crosswalk - Plain_counts_mean,-0.03775782027523232,0.017719921297889192,-2.130811962450988,0.03310699135655098,*
Bike Rack_ratios_mean,-0.03617579712814766,0.06458159011232671,-0.5601564945246335,0.5753739135867746,
Bike Rack_counts_mean,0.0020866205925791307,0.0720872177346016,0.028945777880640282,0.9769078913546207,
Bird_ratios_std,-0.04439928168292268,0.05937691349539044,-0.7477532776500667,0.45461069102053975,
Curb_ratios_std,0.024818955216655118,0.03082965674375684,0.8050350810889608,0.4208012890811442,
Road_ratios_std,-0.13203663017149353,0.10363740682518585,-1.2740248353976196,0.20265748114424398,
Sidewalk_ratios_std,-0.0010014973782076777,0.0656544260930811,-0.015254072540178965,0.9878295124800676,
Building_ratios_std,0.06094119996621886,0.04853356397509081,1.2556506255649411,0.20924550817140264,
Sky_ratios_std,0.07449771768499326,0.04319183076726609,1.724810371813483,0.08456464342939092,.
Terrain_ratios_std,0.018002714407663503,0.031207638140644693,0.57686885263569,0.5640293101636464,
Vegetation_ratios_std,-0.020502943850910366,0.04574442416704631,-0.4482064038239751,0.6540051815934966,
Utility Pole_ratios_std,-0.03569023050776648,0.03152600523710157,-1.1320885801847236,0.2575998235486919,
Car_ratios_std,0.0264306505962293,0.06160827349876678,0.429011382647468,0.6679158358226646,
Person_ratios_std,-0.011130606304665136,0.0116105656344836,-0.9586618477576169,0.3377313682343146,
Pole_ratios_std,0.00669100001985794,0.027215855982798978,0.245849332245394,0.8057993556154076,
Barrier_ratios_std,-0.03613401564363736,0.04960487558504041,-0.7284367759715634,0.466347909232261,
Lane Marking - General_ratios_std,0.04854184977250133,0.042666778877833954,1.1376966119586676,0.255249827614385,
Traffic Sign (Back)_ratios_std,0.0067785888371262515,0.023399215460098127,0.2896929962752616,0.772051696317481,
Wall_ratios_std,-0.017430453388884635,0.068665123697564,-0.25384725826253784,0.7996140673603764,
Fence_ratios_std,-0.018477758807721414,0.052432626671238464,-0.35240955833817217,0.7245318536988585,
Billboard_ratios_std,-0.01668784858081362,0.019610983843795178,-0.8509439767905156,0.3948024468626605,
Catch Basin_ratios_std,-0.020300602136849717,0.01588578721485034,-1.2779097354314504,0.20128412682997543,
Traffic Sign (Front)_ratios_std,0.02749230886293001,0.024101038952244868,1.1407105277662424,0.25399304884742563,
Street Light_ratios_std,-0.23995581398944224,0.36009268719420107,-0.6663723605695775,0.5051746128207097,
Motorcycle_ratios_std,-0.007346541126757023,0.019487151981539365,-0.37699408993764577,0.7061787714474907,
Truck_ratios_std,-0.004930087163368912,0.029677672507195062,-0.1661210852088775,0.8680619862416468,
Rail Track_ratios_std,-0.031206438212671512,0.035236648225385345,-0.885624478612856,0.37582197805551487,
Manhole_ratios_std,-0.03704770701715256,0.05615732108354689,-0.6597128620511582,0.5094395820372797,
Mountain_ratios_std,0.009954811614727848,0.015745309992285152,0.6322397983657027,0.5272315944527917,
Trash Can_ratios_std,0.06594562961762827,0.07584049161041577,0.8695306190311066,0.3845589885613475,
Guard Rail_ratios_std,-0.03963127522887546,0.029787983038294753,-1.3304450716896943,0.18337460993057603,
Bridge_ratios_std,0.045108805633995566,0.04172367357544552,1.081132167147962,0.2796408505447703,
Trailer_ratios_std,0.008064585410992491,0.024278716706937098,0.3321668730822258,0.7397639304213278,
Traffic Sign Frame_ratios_std,-0.015711475517040146,0.025594683082631894,-0.6138570056255817,0.5393111752848878,
Other Vehicle_ratios_std,0.022529540584828037,0.040696916213299635,0.5535933107743788,0.5798584032647044,
Fire Hydrant_ratios_std,0.05104919915200827,0.07541450879847082,0.6769148266738216,0.49846151224489743,
Curb Cut_ratios_std,-0.00804606922965023,0.030691193620227337,-0.2621621475271457,0.7931969576965282,
Snow_ratios_std,-0.011275053722617348,0.0679474236480744,-0.16593791371715794,0.8682061350307763,
Junction Box_ratios_std,0.013468827347823018,0.05143757316814979,0.26184803283376773,0.793439127888945,
Traffic Light_ratios_std,-0.02018726464466275,0.013384215638368863,-1.5082889569405487,0.1314836467783334,
Sand_ratios_std,-0.032284136067854644,0.07414430360666589,-0.43542301292788943,0.6632563191064123,
Bench_ratios_std,0.011935628985820823,0.031038387061163138,0.3845441118541662,0.700575999548001,
Parking_ratios_std,0.02066496011557213,0.04215345434569907,0.4902317125922702,0.6239709838526327,
Bus_ratios_std,0.03529386779851286,0.01746258619430285,2.0211134482490025,0.04327059685667931,*
Water_ratios_std,-0.029493091569002077,0.02901934395766109,-1.016325235058111,0.3094769160219091,
Ground Animal_ratios_std,-0.019727820154049686,0.04429308399550851,-0.44539278764265233,0.6560368568597776,
Lane Marking - Crosswalk_ratios_std,0.05410351458537803,0.02891588914422662,1.8710652235357736,0.06133886596194422,.
Service Lane_ratios_std,0.045235336801279724,0.032494088605583504,1.3921097264905862,0.16389217048684623,
Pothole_ratios_std,0.018231202653471022,0.020926265929899303,0.8712114581045445,0.3836407295995934,
Motorcyclist_ratios_std,-0.018147525575171897,0.039979503470084964,-0.4539207343770778,0.6498868330718487,
Banner_ratios_std,0.003421741072711787,0.015093710575538303,0.22669979363836806,0.8206576362019307,
On Rails_ratios_std,0.02733953480790173,0.020996797898497788,1.302081152567446,0.19289154884132048,
Car Mount_ratios_std,0.04033494005268514,0.025908640598188124,1.5568142180144293,0.11951766424786484,
Tunnel_ratios_std,0.1005601462540223,0.06821285202091815,1.474211138733571,0.14042779932152205,
Pedestrian Area_ratios_std,-0.13005938010200954,0.11324032648746454,-1.1485253013325323,0.2507544339654088,
Building_counts_std,-0.04657238867606286,0.02867086576392186,-1.624380270185893,0.10429772640672845,
Curb_counts_std,-0.08591195183897322,0.03851534662172054,-2.230590125093762,0.025710430420674314,*
Sky_counts_std,0.051281741707991935,0.05586848432838565,0.9179010729298901,0.3586728031295553,
Car_counts_std,-0.06544208954497714,0.05375700908128144,-1.2173685006550061,0.2234668233061867,
Sidewalk_counts_std,0.11354786907492816,0.08688493177310921,1.3068764256090617,0.1912575931739745,
Utility Pole_counts_std,0.047495189352609414,0.04661225647973527,1.018942075315706,0.30823285347333007,
Terrain_counts_std,-0.15689579684028493,0.060488548763094535,-2.5938099036690843,0.009493234562135591,**
Vegetation_counts_std,-0.0696516804212511,0.0413825222396623,-1.683118298538477,0.09235521485791351,.
Road_counts_std,-0.06656235427842772,0.07974733319185599,-0.8346655820865146,0.40390795585157324,
Pole_counts_std,-0.007439287672144142,0.06090810642653478,-0.1221395329555541,0.9027887510801362,
Person_counts_std,-0.097772693161676,0.06556393100471633,-1.4912573371270668,0.13589699900597763,
Lane Marking - General_counts_std,0.005850560604713522,0.028925348358184166,0.20226413636460694,0.8397106338750883,
Traffic Sign (Back)_counts_std,-0.0466369003364469,0.08193774809528595,-0.5691747872081198,0.5692387667423588,
Barrier_counts_std,0.08324767954737769,0.046134680022281015,1.8044490501976547,0.07116385108981967,.
Wall_counts_std,-0.09306822145978946,0.06745837670424078,-1.3796392087498708,0.16770074540304297,
Fence_counts_std,-0.009051556607764848,0.04886992178720479,-0.1852173336224725,0.8530589377020856,
Catch Basin_counts_std,-0.06367518447304697,0.06761702162052274,-0.941703478606349,0.34634667593376267,
Billboard_counts_std,0.036754662906182616,0.06295271567896257,0.5838455499460721,0.5593255043635028,
Traffic Sign (Front)_counts_std,0.019050605181509292,0.0728412428569009,0.2615359710285951,0.7936797351092952,
Street Light_counts_std,0.15165720269838118,0.10764852116417617,1.4088182639043112,0.15889192336525848,
Motorcycle_counts_std,0.1818821729503563,0.11123649885682871,1.6350943693800977,0.1020323134684846,
Truck_counts_std,-0.018369009489505716,0.06251964951875588,-0.29381177967088595,0.7689023236326419,
Rail Track_counts_std,0.0443079161455137,0.045512425192783985,0.9735345009155597,0.330290001519962,
Manhole_counts_std,0.11025654598037346,0.0804601904400826,1.3703241985548087,0.1705887005842635,
Mountain_counts_std,0.041416422646332364,0.04260986603479265,0.9719913836977147,0.33105711117276515,
Trash Can_counts_std,-0.027469188033367863,0.07749259860980229,-0.3544749889171118,0.7229836683511786,
Guard Rail_counts_std,0.04966177313248379,0.07024374888242643,0.7069920658079819,0.4795730033234441,
Trailer_counts_std,-0.017515365527923914,0.07029024334029604,-0.2491862980631153,0.803217173233344,
Bridge_counts_std,-0.020111563649306104,0.051254463450484025,-0.3923865805118711,0.694773409500885,
Traffic Sign Frame_counts_std,0.07119162566733564,0.053636652762119034,1.3272943407388544,0.1844142688206144,
Other Vehicle_counts_std,0.06802438049846825,0.06549236504774657,1.0386612309522758,0.2989647490671239,
Fire Hydrant_counts_std,0.0806408299296214,0.10363005720307389,0.7781606235302688,0.43647610951483795,
Curb Cut_counts_std,0.01182338314559692,0.06634400313529229,0.1782132911317702,0.8585558214861215,
Snow_counts_std,0.08258371555189857,0.0865644304952752,0.9540144269349303,0.3400785722399873,
Junction Box_counts_std,-0.06445782255560034,0.07806545476709988,-0.8256894518568234,0.4089821843818854,
Traffic Light_counts_std,-0.014263190395695057,0.05902365212374382,-0.24165211542301893,0.809050215997186,
Sand_counts_std,-0.0013290440741267732,0.10882938900574256,-0.012212179874102244,0.9902563560012199,
Bench_counts_std,-0.00018850345526099453,0.07518308440557825,-0.002507258870148302,0.9979995037954199,
Parking_counts_std,0.08665059625103341,0.07203942249548037,1.2028219167979828,0.2290479986819316,
Bus_counts_std,-0.035987248934934504,0.06942478053835534,-0.5183631645051079,0.6042060204169533,
