variable,coefficient,std_err,t_value,p_value,significance
constant,-1.202613623262649e-15,0.003098395567227748,-3.8814076420160673e-13,0.9999999999996902,
female,-0.04834157821783393,0.0031044445746578916,-15.571731772071063,1.307108159177392e-54,***
edu_own,0.030772581977334866,0.003172953020539337,9.698404539284404,3.130023227788822e-22,***
Pole_counts_std,0.03585739977182031,0.008596518238804036,4.171153806195944,3.03307858729634e-05,***
Mailbox_counts_std,0.0156346814336433,0.01326490281861693,1.178650280927837,0.23854017086202858,
Traffic Sign (Back)_ratios_mean,-0.015296073293028583,0.006684968019097429,-2.2881296139833713,0.022131980566575178,*
Catch Basin_counts_mean,-0.021122952161678917,0.004967311500077499,-4.252391290811813,2.11685129664951e-05,***
Bicycle_counts_mean,-0.015457033980541489,0.006669783068278874,-2.317471771166637,0.02047998721132997,*
Bench_counts_mean,0.014831849376636895,0.01000475200465305,1.4824804622582188,0.13821554315440143,
Other Rider_counts_mean,-0.019493202099879797,0.004996421987707719,-3.901432294517417,9.568561912739933e-05,***
Other Vehicle_ratios_std,-0.008331509684021951,0.008629189074429524,-0.9655032022314041,0.3342950887995183,
Utility Pole_counts_mean,0.012040148481497539,0.005106951781742765,2.3575997965245707,0.01839536091720597,*
Parking_ratios_mean,-0.013434547114511442,0.004112081239726643,-3.267091852349815,0.001086937837349946,**
Caravan_counts_mean,0.01273457735129324,0.005977047305405233,2.13057998382863,0.033126110718281164,*
Ground Animal_ratios_mean,-0.012615824416053452,0.004135995614976874,-3.0502509167007403,0.002287080591825627,**
Trash Can_ratios_mean,-0.014185155657942324,0.005692007243584731,-2.492118342598726,0.01269992394338825,*
Pothole_counts_std,0.010851674914220915,0.004699880548515516,2.3089256848556454,0.02094966519473117,*
time_now,-0.010780193087328875,0.0031842146895968313,-3.385510757973988,0.000710723077481415,***
Junction Box_ratios_std,-0.009856626939723384,0.006513264822921262,-1.5133158573617758,0.13020250011140702,
Billboard_ratios_std,0.011630438306957801,0.006417828255670175,1.812207781765158,0.06995699368861077,.
