variable,coefficient
female,-0.01658083317455896
edu_own,0.010488481972503717
Pole_counts_std,0.007785897246156594
Mailbox_counts_std,0.007222065603809634
Traffic Sign (Back)_ratios_mean,-0.00521875861402624
Catch Basin_counts_mean,-0.004634853872232223
Bicycle_counts_mean,-0.00420979664717553
Bench_counts_mean,0.004151958750713039
Other Rider_counts_mean,-0.0036574353363050555
Other Vehicle_ratios_std,-0.0034774937009688094
Utility Pole_counts_mean,0.003440109559962977
Parking_ratios_mean,-0.003279691500578617
Caravan_counts_mean,0.0031314550988606102
Ground Animal_ratios_mean,-0.003105785946656447
Trash Can_ratios_mean,-0.0028929223811243058
Pothole_counts_std,0.002881754923807465
time_now,-0.0027265913991252042
Junction Box_ratios_std,-0.002593878168548185
Billboard_ratios_std,0.0025117420165769876
Traffic Sign Frame_ratios_std,0.0022598478715954457
Bus_counts_std,0.002207361385941939
Bike Rack_counts_std,-0.002100145313785032
Bench_ratios_mean,0.0019567751811024187
Boat_counts_mean,0.0019387232569169463
Fence_counts_mean,0.0018749745286132456
Fire Hydrant_ratios_mean,-0.0016728403112841563
Lane Marking - Crosswalk_counts_mean,-0.0016590839366853267
Mountain_ratios_mean,-0.0014063623175172284
Bike Rack_ratios_std,-0.0013963439478395464
Billboard_counts_std,0.0012491723313677176
Bike Lane_ratios_std,-0.0012462199032398627
Street Light_counts_mean,-0.0011525509604569163
Road_ratios_mean,0.0011223611595141151
ethnic,-0.0010523496221018173
Motorcyclist_ratios_std,-0.0010379350587034228
Phone Booth_ratios_mean,-0.0009759390715792073
Building_counts_std,-0.0007710921616974408
Pedestrian Area_counts_mean,0.0007452959744904202
Crosswalk - Plain_counts_std,-0.0006769903694442747
Other Vehicle_ratios_mean,-0.0006707494347723565
Mailbox_counts_mean,0.0006246544994532246
Pothole_ratios_std,0.0006013872152299359
Crosswalk - Plain_ratios_std,-0.0006000325452239833
Curb Cut_ratios_std,-0.000486367480161716
Billboard_counts_mean,0.00048438456677057543
Service Lane_ratios_mean,-0.00037984807641237893
age,0.000317841123255516
Truck_ratios_std,0.00027710931221471723
Lane Marking - General_counts_mean,-0.0002569764576903259
Car Mount_counts_mean,-0.00025462238009136065
Traffic Light_ratios_std,0.00022819363188643916
Wall_ratios_mean,-0.0002184144338070772
CCTV Camera_ratios_mean,0.0002075727782641985
Banner_counts_mean,-0.00019827803920310032
Bird_counts_mean,0.00014280307431066704
Curb_ratios_std,-3.4794645058989174e-05
Other Rider_ratios_std,1.029487954176385e-05
Caravan_ratios_mean,8.684441872938657e-06
