variable,coefficient,std_err,t_value,p_value,significance
constant,-5.490467564102375e-18,0.0030839241572507346,-1.7803510346366728e-15,0.9999999999999986,
edu_own,0.044215642601707295,0.0031807074552453697,13.901197524088666,6.822156467285814e-44,***
female,0.045026163803789224,0.0030932990042185377,14.556033458900691,5.964333249231443e-48,***
Terrain_counts_std,-0.05644400916226749,0.01201028749832225,-4.699638469949392,2.609568287504371e-06,***
Utility Pole_ratios_std,0.03067134016111763,0.01128986652747693,2.7167141512674813,0.0065944472136969514,**
Trash Can_ratios_mean,-0.03547433620118189,0.0074181376800309855,-4.782108088486397,1.7370429542552254e-06,***
Traffic Light_ratios_mean,-0.04921775046372348,0.01094537671638325,-4.496670305559553,6.910066306768168e-06,***
Curb Cut_counts_mean,-0.0227230015247916,0.008383819423775325,-2.710340046250565,0.006722532537295298,**
Pole_counts_std,0.02575888106680532,0.017064933546287204,1.5094627234812552,0.13118362485333224,
Building_counts_std,-0.023437845317909912,0.007049770726134704,-3.324625186890379,0.0008856819045965164,***
Parking_counts_mean,-0.008892586379706047,0.018376216142382325,-0.48391825122237575,0.6284449101256043,
Bus_ratios_std,0.022226753947866395,0.006209027173124036,3.5797482162866965,0.0003440825477266831,***
Terrain_ratios_std,-0.024304516475163514,0.007524640848217825,-3.229990236799132,0.0012383304316604786,**
time_now,-0.017929928197233776,0.0032069296973161105,-5.59099509173506,2.263386936778175e-08,***
Motorcycle_counts_mean,-0.039457063940232066,0.01432367217890827,-2.7546751592327654,0.005876068638023993,**
Truck_counts_std,0.028212269345341316,0.014052741777474802,2.0075989292397645,0.04468852091597901,*
Bike Rack_ratios_std,-0.02482248507485438,0.006122990430905643,-4.053980706806841,5.039012277234493e-05,***
Car_counts_std,0.023422435441469606,0.015552486986441464,1.50602507894005,0.13206378538547467,
Mailbox_ratios_mean,0.014732953327221052,0.008286677284737726,1.7779084210695617,0.07542183011464056,.
Motorcyclist_ratios_std,-0.01759709604357118,0.007373628343910308,-2.3864907780582914,0.017011818173935062,*
Lane Marking - Crosswalk_counts_std,-0.015350477598217423,0.01092684566561357,-1.4048407077373555,0.1600716501032008,
Vegetation_counts_mean,0.0248487466067808,0.014520042138079416,1.711341218605277,0.08702113552952383,.
Rail Track_ratios_mean,-0.00994694998051082,0.013776590430998098,-0.7220182693483888,0.4702848753435265,
ethnic,-0.01448866385761914,0.003196970238799667,-4.531998353246806,5.8493519648280595e-06,***
Curb_ratios_std,-0.027349769885937316,0.009752844756719517,-2.8042863972682293,0.005043747449149449,**
Building_ratios_std,0.043193341161737724,0.01350462593510359,3.1984107793361405,0.0013822883807641133,**
Other Rider_ratios_mean,-0.03311436302699403,0.00958968800352561,-3.4531220426378493,0.0005543595564636466,***
Traffic Sign (Back)_ratios_std,-0.013261741674678139,0.0068975324903667295,-1.9226791165101182,0.054523100182523446,.
Vegetation_ratios_mean,-0.01025293623371028,0.030005717858306354,-0.34169941482909744,0.732577805761953,
Curb_counts_std,0.015704194252021065,0.010048814287428265,1.562790773401799,0.11810487028135476,
Car_ratios_std,0.027318820379238003,0.012631099212764327,2.162822088487044,0.030557146691492544,*
Pole_ratios_mean,0.028863608149761407,0.018817222869469196,1.5338930909189792,0.12505901039539377,
Wheeled Slow_ratios_std,0.005018763431679807,0.010409945177814378,0.48211237868723555,0.6297271354604613,
Lane Marking - General_counts_std,-0.0175339165174286,0.00823283578074799,-2.1297541921619096,0.033194263053828325,*
