variable,coefficient
edu_own,0.01787214766596499
female,0.017818909868949736
Terrain_counts_std,-0.017768065253859124
Utility Pole_ratios_std,0.01349194538648357
Trash Can_ratios_mean,-0.01253002058288392
Traffic Light_ratios_mean,-0.010528427712505296
Curb Cut_counts_mean,-0.009890268853228391
Pole_counts_std,0.009003359274561173
Building_counts_std,-0.008965351814564924
Parking_counts_mean,-0.007745418863349763
Bus_ratios_std,0.007618758778771429
Terrain_ratios_std,-0.007266298445069055
time_now,-0.006731646996654633
Motorcycle_counts_mean,-0.006430186916977601
Truck_counts_std,0.0062929046746147575
Bike Rack_ratios_std,-0.006283349099408828
Car_counts_std,0.006239662302908968
Mailbox_ratios_mean,0.006215674270709154
Motorcyclist_ratios_std,-0.006096582692428935
Lane Marking - Crosswalk_counts_std,-0.005924473348964367
Vegetation_counts_mean,0.0058090582705089535
Rail Track_ratios_mean,-0.005782924591853415
ethnic,-0.005760212508588416
Curb_ratios_std,-0.005593079982057955
Building_ratios_std,0.00557717480339431
Other Rider_ratios_mean,-0.005478035478658153
Traffic Sign (Back)_ratios_std,-0.005336095577955732
Vegetation_ratios_mean,-0.005281786841201937
Curb_counts_std,0.005220426202617506
Car_ratios_std,0.005126962528890013
Pole_ratios_mean,0.0050860655726511755
Wheeled Slow_ratios_std,0.005028530321715863
Lane Marking - General_counts_std,-0.0048500400964152
Person_counts_mean,0.00474627082770448
Bench_ratios_std,0.004668407268963167
Vegetation_counts_std,-0.004644885849334528
Banner_counts_std,-0.004616009365153139
Catch Basin_counts_mean,-0.004464534516329651
Water_counts_std,0.004454634273570181
Other Vehicle_ratios_std,-0.004312439241745469
Mountain_counts_mean,0.00429352402457933
Ego Vehicle_counts_std,-0.004288755559778822
Utility Pole_counts_mean,-0.004238081036637093
Parking_ratios_std,0.00421716882851695
Bird_ratios_mean,0.004167324457499324
Barrier_counts_mean,0.004103513904105907
Car Mount_counts_std,0.004045100848087043
Mailbox_ratios_std,0.004037700775373125
Ego Vehicle_ratios_std,-0.0040192342643903
Other Vehicle_counts_mean,-0.003757296056571563
Bus_ratios_mean,-0.0036707304708550738
Traffic Sign Frame_ratios_std,0.00343900821430158
Fire Hydrant_ratios_mean,-0.0032933693705417253
Traffic Sign (Front)_counts_std,0.0030960667432216246
Pothole_ratios_std,0.0030958961795170175
Snow_counts_std,-0.0029671202391356472
On Rails_counts_std,0.0029499455781009484
Ground Animal_counts_mean,0.0028609203353209293
Crosswalk - Plain_counts_mean,-0.0028188265648658737
Guard Rail_ratios_mean,0.002762211951336941
Sand_counts_mean,0.0027333221065200058
Ground Animal_ratios_mean,-0.0027139510989095308
Other Rider_ratios_std,0.002646707789657586
Wheeled Slow_ratios_mean,0.0026441578163787375
Wall_ratios_std,0.0026390571296889464
Traffic Sign Frame_ratios_mean,-0.0026035016569673224
Parking_counts_std,-0.0025881350713297443
Utility Pole_counts_std,0.002508540429744931
Catch Basin_ratios_std,-0.002447136466848343
Fence_counts_std,0.002326660805406048
Trailer_ratios_mean,-0.002315058749712119
Sky_ratios_mean,0.0022826580662488527
Traffic Light_ratios_std,0.002248106660342303
Trailer_counts_std,0.002196371867171663
Bench_counts_std,0.0021758048449250613
Other Rider_counts_std,0.002132151049107949
Phone Booth_counts_std,0.002096476747368806
Motorcycle_ratios_std,0.002073215260511242
Traffic Sign (Front)_ratios_mean,0.0020059342288040603
Boat_counts_std,-0.0019266313362983184
Sand_ratios_std,0.0018472389161618015
Street Light_counts_std,-0.0018411014548082852
Snow_ratios_mean,0.0018361860647640297
Barrier_ratios_std,0.0018011806690613526
Caravan_counts_std,-0.0017057006550118788
Guard Rail_counts_std,0.0016832799646451819
Bike Rack_counts_mean,0.0016675862757629676
Person_ratios_std,0.001615661051359553
On Rails_ratios_std,-0.001571157362053558
Banner_counts_mean,0.0015264569305445356
Car Mount_ratios_std,0.0015020469540161965
Bike Lane_counts_mean,-0.0013460520832050292
Tunnel_ratios_std,-0.0012898374504276594
Banner_ratios_std,0.0012354653582303313
Bicyclist_ratios_mean,-0.001221614941011429
Other Vehicle_ratios_mean,0.0011379558101424793
Water_ratios_std,0.0011096029418739383
Bird_counts_std,-0.0011056067709855884
Pothole_counts_std,0.001097400828389455
Bridge_ratios_mean,-0.0009689878589893683
Truck_counts_mean,0.0009645630787007321
Manhole_ratios_std,0.0009467503188331283
Pedestrian Area_counts_std,0.0008436167768045018
Barrier_counts_std,0.0008112861279846078
On Rails_ratios_mean,-0.0007486544253662466
Mountain_ratios_std,-0.0007166131076864977
Traffic Sign Frame_counts_std,0.0007137911131519677
Billboard_counts_std,0.0007122123365977024
CCTV Camera_ratios_std,-0.000576299286776567
Caravan_ratios_mean,0.0005721526214771638
Bus_counts_mean,0.0005353289655590998
Other Vehicle_counts_std,-0.0003555303194800491
Boat_ratios_mean,0.000342342840537111
Sky_counts_mean,0.0001835548705492663
Curb_ratios_mean,-0.0001498099318230305
Bike Lane_ratios_std,8.306935119858822e-05
