variable,coefficient,std_err,t_value,p_value,significance
constant,-5.882911786015637e-16,0.0031016549148595875,-1.896700937886882e-13,0.9999999999998487,
Traffic Sign (Front)_ratios_mean,-0.050477411740768606,0.01263086663159353,-3.996353790523738,6.437010464588394e-05,***
Rail Track_counts_std,-0.03389064376975882,0.012457068136804333,-2.7205955203559586,0.006517533025181885,**
Motorcyclist_ratios_mean,0.02939777102527784,0.010579446532426085,2.7787626635451526,0.005457621560970309,**
Lane Marking - General_counts_std,0.0339031078940692,0.009844411041192507,3.4438939772228707,0.0005736275258216168,***
Street Light_counts_std,0.03483431620498032,0.013061835088998325,2.6668776605762265,0.007657144526552934,**
Lane Marking - General_counts_mean,-0.027562691809638423,0.013988952113860073,-1.970318547472163,0.048804536674786944,*
Wall_counts_mean,-0.03070425120039603,0.009329765089696714,-3.2909993880021844,0.0009986552590113798,***
Wall_ratios_std,-0.02198510018074362,0.010370797747048636,-2.119904439077527,0.03401647912100884,*
Guard Rail_ratios_mean,0.019107645310499372,0.009229809817406991,2.0702100789187705,0.038435151205912996,*
Street Light_ratios_std,-0.037203480130713465,0.0103926370564437,-3.579792109419077,0.0003440249571412147,***
time_now,-0.01809546190813011,0.0032178843592076825,-5.623403419191121,1.8771271323455697e-08,***
Bicycle_counts_mean,-0.01115547334206942,0.01154840932575192,-0.9659748825488644,0.33405900785786513,
Utility Pole_ratios_mean,0.005257245029622393,0.025940990513295254,0.20266169200162015,0.8393998656929745,
Mailbox_counts_std,0.007920808951134206,0.018681127316752318,0.4240005871610978,0.6715662667050031,
Truck_counts_std,-0.016921967334336967,0.009089417363009934,-1.861721896851407,0.06264513419391826,.
Ground Animal_ratios_mean,-0.021436894747543463,0.014122375191355833,-1.517938339484478,0.12903299948922356,
Traffic Sign (Front)_ratios_std,0.029112902148310357,0.009862552902560804,2.9518627109975974,0.0031593421727114475,**
Bike Lane_ratios_std,-0.025606775632299513,0.008808055178969454,-2.907199729338607,0.0036475769574482154,**
Water_counts_std,0.021062163005251967,0.010454092052069703,2.0147290554115673,0.04393562847261334,*
Truck_ratios_mean,-0.011848385153008172,0.00884888056360988,-1.3389699485529785,0.18058339836908568,
Other Rider_counts_mean,-0.012915215044584464,0.004552920080905823,-2.8366882824824207,0.004559294651528905,**
Other Vehicle_counts_std,0.014201901473967025,0.020986281168364797,0.6767231106850554,0.49858316355340193,
Billboard_ratios_mean,0.019359529070498115,0.009218671905251217,2.1000345027433265,0.03572822128447424,*
Pothole_counts_mean,0.010791715809984134,0.007791122322833251,1.3851298135003114,0.16601576392278905,
Bird_ratios_mean,-0.016617462142157854,0.007625121755728063,-2.1793044982756715,0.02931130324387452,*
Car Mount_counts_std,0.0019363589423479562,0.015436787965625679,0.12543794386888,0.9001770942174622,
edu_own,0.01116849521714528,0.003209172547857883,3.4801790961973142,0.0005012849831873722,***
Wheeled Slow_ratios_mean,-0.01611057834004245,0.006877567349614149,-2.342482090116689,0.019157838577193508,*
Banner_ratios_mean,-0.012638221719826937,0.005383329549283795,-2.3476589356318236,0.018893684890518996,*
