variable,coefficient,std_err,t_value,p_value,significance
constant,1.1363480115034146e-15,0.003090847157851009,3.676493703731018e-13,0.9999999999997067,
female,-0.07802108754393781,0.003097793429094317,-25.18602009132299,1.5053860330527726e-139,***
Bicycle_ratios_mean,-0.030267636175609184,0.018567563922365915,-1.6301350194437583,0.10307600719259655,
Building_counts_std,-0.02343404063287842,0.00500510691498656,-4.682025984841793,2.844129864343666e-06,***
Wheeled Slow_ratios_std,0.017311062919511618,0.004382687168587202,3.9498741875961896,7.824404471444592e-05,***
Water_ratios_std,0.013176617073082444,0.005511180804041438,2.3908881855989588,0.016809446646879198,*
Truck_counts_mean,0.0156322316665302,0.005048044612575382,3.096690474483552,0.0019574639003349433,**
Bus_counts_std,0.013531005617385117,0.005631927580913722,2.40255319745959,0.01628281610189123,*
Ground Animal_ratios_mean,-0.008806051514753312,0.004235662534284823,-2.0790257588923295,0.03761743982135503,*
Guard Rail_ratios_mean,0.01242397327913775,0.007707508275640966,1.611931227943386,0.10697995536587901,
Vegetation_counts_std,-0.018250058439162716,0.0064777220631515,-2.8173574385011224,0.0048429777471109495,**
Sand_ratios_std,0.015386898662638607,0.007049058914904944,2.1828301973904125,0.02905055650652539,*
CCTV Camera_counts_std,-0.016474809125655347,0.007545075703664288,-2.1835180683017277,0.028999917877705148,*
Sky_ratios_std,0.017571416843345858,0.0067908368693173635,2.587518619794528,0.009668346875299754,**
time_now,-0.010692604248593114,0.003190341851090883,-3.351554393751554,0.0008038800024362664,***
Pole_ratios_mean,0.00811199571630359,0.00824091456404878,0.9843562450813891,0.32494268500583523,
Fire Hydrant_ratios_std,0.01491346486547054,0.005951633713310301,2.505776662988836,0.012219799427628884,*
Pothole_ratios_mean,-0.009628192762756288,0.004341359692274283,-2.217782778950624,0.026571810036807093,*
Traffic Sign (Back)_counts_mean,0.016298715149844663,0.006965342520695703,2.339973246314488,0.019287011510966505,*
Caravan_ratios_std,0.012126318097841936,0.005591739176138422,2.1686129692150993,0.030114349922355597,*
On Rails_ratios_std,0.007831115487039377,0.004212279884525213,1.8591156574872425,0.0630135827089046,.
CCTV Camera_ratios_mean,-0.0022151006242918506,0.006495493470780901,-0.341021145545936,0.7330883553727123,
Terrain_ratios_std,-0.010749530023577362,0.00528337529107959,-2.0345952031321315,0.041894164410100826,*
Bench_ratios_mean,-0.0133838615372327,0.006138843982505414,-2.180192488255812,0.029245441427910825,*
Parking_counts_std,-0.01236210905145215,0.0074989988523514895,-1.648501259281526,0.09925288806238937,.
ethnic,-0.009032230362819402,0.0031666235453512845,-2.852322113273943,0.004340969271275488,**
Billboard_ratios_std,0.012463228287900429,0.005772642139183714,2.1590162680104754,0.03085119564474886,*
Road_counts_mean,0.011459882879455006,0.0073088805463380705,1.5679395506329201,0.11689829797830902,
Lane Marking - General_ratios_std,-0.004561615026435652,0.004703782361799036,-0.9697759538115599,0.3321604477929222,
Bicycle_counts_mean,-0.012863837488414135,0.02040261797494191,-0.6304993557303893,0.5283693164522452,
Traffic Sign (Back)_ratios_std,-0.016084747016502986,0.005746011890307622,-2.7992888499995536,0.005122477909712869,**
Bridge_ratios_std,-0.013666400842789852,0.006450335965618434,-2.11871147729893,0.034117233566020574,*
Traffic Sign Frame_ratios_std,0.005120126938941994,0.004927215050154176,1.0391523176529063,0.29873633027943675,
Mailbox_ratios_mean,0.0029761492936305613,0.004889614205816477,0.6086675079784947,0.5427461839677391,
Crosswalk - Plain_ratios_std,0.007714794838307879,0.0034058733231935295,2.2651443862492435,0.02350587871712267,*
Building_ratios_std,-0.007177207861504661,0.00953584008244691,-0.7526560638025065,0.45165833046982784,
Lane Marking - Crosswalk_counts_mean,0.011517709061861964,0.007097554224126955,1.6227715489244772,0.10464129590771508,
Guard Rail_ratios_std,0.014441167482285784,0.00917792205962325,1.5734680887972792,0.11561352880132476,
Boat_counts_std,0.005465510062370056,0.004308047488942947,1.2686745158677701,0.20456002896103173,
Car Mount_ratios_mean,0.0067425350298777435,0.00836916337522123,0.8056402686367097,0.4204521508128256,
Guard Rail_counts_std,-0.018278832181760643,0.007701972375661277,-2.373266390765425,0.017633357819274793,*
Car Mount_counts_std,0.012729255429827065,0.01361904809306863,0.9346655759520797,0.34996285358702517,
Utility Pole_counts_std,0.004702491888704056,0.007913445318827084,0.5942407762035374,0.5523523826032712,
Banner_counts_std,0.006919455557354749,0.010186946003857318,0.6792472989190947,0.4969827016675431,
Caravan_counts_mean,-0.011118034563819363,0.0051562423365039784,-2.1562280898064974,0.031068155911002936,*
Catch Basin_counts_mean,-0.005511081679952465,0.005683643093914839,-0.9696389426445292,0.3322287607864455,
edu_own,-0.003973191260731559,0.0031689213719189135,-1.253799256724892,0.20991781177830446,
Fence_ratios_std,0.008657135017217543,0.006180883820011868,1.4006306006251579,0.16132756370600423,
Sidewalk_ratios_mean,-0.010478360456501063,0.011298797938027487,-0.9273871887942043,0.3537277027433461,
Catch Basin_ratios_std,0.007165721040464975,0.004911466014506263,1.4589780361506433,0.1445741881421632,
age,-0.004489132707038312,0.003091286528203813,-1.4521891342264917,0.14645205486329552,
Car Mount_counts_mean,-0.005641920453923547,0.01545510031648023,-0.36505233472392284,0.7150730864938308,
Banner_counts_mean,0.00419706252221813,0.007503311923266405,0.5593613280561885,0.5759163588742185,
Bus_ratios_std,0.004554095230827587,0.004527077653288924,1.0059679951632894,0.3144333179748541,
Other Vehicle_counts_std,0.00044110432029290846,0.006831784158423709,0.06456648952368016,0.948519291213082,
Utility Pole_ratios_std,0.0023510642892993496,0.008630829691850197,0.2724030450420521,0.785312675081772,
Tunnel_counts_std,-0.001567407379760125,0.004885814920090926,-0.3208077680787293,0.7483567200348467,
Crosswalk - Plain_counts_std,0.0016145775645472502,0.0038066072378159185,0.42415134099141555,0.6714563265316538,
Motorcycle_counts_mean,-0.02047815997078175,0.013302316746023363,-1.53944311819996,0.12369921190535524,
CCTV Camera_ratios_std,-0.0019133660607061989,0.006033096625302545,-0.31714493891604933,0.7511342669953156,
Bridge_counts_mean,0.013709706177579075,0.006957225795739748,1.9705708252237846,0.04877564766062541,*
Terrain_counts_std,-0.005212231174621471,0.006262424510655956,-0.8323024358621,0.40524017668339996,
Trailer_counts_std,-0.00018181792022343215,0.005577167255653663,-0.03260040660231597,0.9739933084540919,
Curb_ratios_mean,-0.005846384054745225,0.006971049176776442,-0.8386663049547894,0.40165852878905095,
Bicyclist_ratios_std,0.0027308438257416475,0.005331032712952945,0.5122541865305847,0.6084742173083116,
Motorcyclist_ratios_mean,0.014471921769166054,0.010511134867084064,1.3768181982409258,0.168571441434848,
Phone Booth_counts_std,-0.000490748794071203,0.004575442119112269,-0.10725713085108778,0.9145852008362088,
Other Rider_counts_std,0.0037919521767601338,0.0041199977582024785,0.9203772427329018,0.3573778021427223,
Ego Vehicle_ratios_std,-0.0036312164442233266,0.004439115993822145,-0.818004406570326,0.4133565545190834,
Motorcyclist_counts_std,0.0036891313155288322,0.010107287897844732,0.3649971538176427,0.7151142767237895,
Bike Rack_ratios_mean,0.0005597172301187784,0.004422426401678781,0.12656337930379263,0.8992862287629908,
Boat_ratios_std,0.00185818203700996,0.0036867425260421697,0.5040173063033981,0.6142502885679011,
