variable,coefficient,std_err,t_value,p_value,significance
constant,-3.8742919631024724e-16,0.003089364543602279,-1.25407406876786e-13,0.9999999999998999,
female,-0.0478213868628791,0.0030956559077361706,-15.4479012810731,8.944020687165871e-54,***
edu_own,0.03014298946819531,0.0031613811792204974,9.53475324846075,1.5331758230354116e-21,***
Billboard_counts,0.022745840119725406,0.0052011825403890394,4.3732055053049645,1.2255394239559618e-05,***
Bicycle_counts,-0.021239401373400742,0.00720102502416721,-2.949496953853046,0.003183624500252376,**
Mailbox_counts,0.01744113187101762,0.004563653908457435,3.821747271127515,0.00013258641187925487,***
Catch Basin_counts,-0.02131530200721764,0.005333492790629404,-3.9964996380359272,6.433018358040746e-05,***
Other Vehicle_ratios,-0.026009892521497886,0.007054224229681697,-3.6871371925005443,0.00022690620036267816,***
Utility Pole_counts,0.012677245177879477,0.004966090252752433,2.5527617366303748,0.01068867092162011,*
Bench_counts,0.009947121687647447,0.01004256678739709,0.9904959457307846,0.3219340709079981,
Other Rider_counts,-0.01491320737899293,0.0036661938198626217,-4.067762947555171,4.750153134132099e-05,***
Person_counts,0.01488735621667402,0.009188164689745643,1.6202752910261722,0.10517618165892834,
Ground Animal_ratios,-0.011440348106865578,0.0039283470373694725,-2.9122549505011004,0.003589057739920391,**
Junction Box_ratios,-0.01667640232747771,0.006316029144992748,-2.6403301733809306,0.008283764037190774,**
Trash Can_ratios,-0.006727530579891008,0.008030211776863451,-0.837777479203511,0.40215761181683163,
Bike Rack_ratios,-0.008614985570020717,0.007557492145503281,-1.139926499976139,0.2543195451332939,
Traffic Sign (Back)_ratios,-0.007641295637949372,0.006320249554702857,-1.209018025603678,0.2266586648872312,
time_now,-0.010630264474320934,0.0031773354608834814,-3.345653804954265,0.0008211780813447928,***
Boat_counts,0.011800148853502815,0.0037943543650713223,3.109922721538163,0.0018718677062293718,**
Parking_ratios,-0.008216403353378322,0.003927492380072005,-2.092022735694699,0.03643889701930998,*
Fence_counts,0.007695096299920104,0.00566895433222675,1.3574101763662454,0.17465385779780176,
Bus_counts,0.01712567547919594,0.007741022990706552,2.212327169129466,0.026946228400182133,*
Pothole_counts,0.00824013541120955,0.006161495247723374,1.3373596959689642,0.18110817430106668,
Bench_ratios,0.013636216244046786,0.010437209601490147,1.306500182012241,0.19138540217318262,
Caravan_counts,0.006595994562537989,0.005669578448583897,1.1634012338581337,0.24466941449748394,
Building_counts,0.00922419501929771,0.008294811177425565,1.1120440022072444,0.2661217984678859,
Traffic Sign Frame_ratios,0.005552452680899898,0.004353095553826801,1.2755182173795252,0.20212872521358663,
Bird_counts,0.0025053894385929755,0.004134284382992081,0.6060031692304062,0.5445139693717068,
Curb Cut_ratios,-0.010731176541142385,0.007185234723258105,-1.493503963956294,0.13530834670563546,
Terrain_counts,0.007151950047544159,0.006716782278557418,1.0647881308250777,0.28697428596517693,
Mountain_ratios,-0.004232238710396388,0.003579775793063216,-1.1822636262856168,0.23710381251350832,
Road_ratios,0.004392955532931254,0.00653368623934791,0.6723548349284814,0.5013593200114653,
ethnic,-0.005219488729391025,0.0031670540606296687,-1.648057983687621,0.09934378953924529,.
Fire Hydrant_ratios,-0.007566717022218384,0.005038575324024908,-1.5017572499390461,0.1331628442140333,
Motorcyclist_ratios,-0.010926006472760371,0.0067047837880074256,-1.6295837148847776,0.10319253268555123,
Lane Marking - General_counts,-0.004056087393376567,0.005748196383974822,-0.705627839140009,0.48042118515012344,
Curb_counts,0.0010675492659796477,0.009081550165566764,0.11755143632056607,0.9064233129267443,
Pedestrian Area_counts,0.008655040626296419,0.005364001751519212,1.6135417226225004,0.10662989588893312,
Banner_counts,-0.004563536726226439,0.0038109360957769,-1.197484453041219,0.23112050906464693,
CCTV Camera_ratios,0.0027949987873118814,0.00405209018371507,0.6897671721485104,0.49034215283234395,
Phone Booth_ratios,-0.005620079926079103,0.003902162728428323,-1.4402474517875135,0.14980040836413003,
Crosswalk - Plain_ratios,-0.0040404306991313615,0.003348732092030626,-1.2065553732252432,0.22760616244819956,
Lane Marking - Crosswalk_counts,-0.004639277975752543,0.006263822361607089,-0.740646478767999,0.4589094884027669,
Caravan_ratios,0.0025659382508706856,0.005428908850217412,0.4726434577673794,0.6364685627802542,
Bike Lane_ratios,-0.0017321328269759816,0.004282404969952692,-0.40447665251871695,0.6858630738216422,
age,0.002902697074945902,0.0030896770986423533,0.9394823414464207,0.34748533315318686,
Snow_ratios,-0.0020458616672910774,0.003994503046551319,-0.5121692594670533,0.6085336414106508,
Sidewalk_counts,0.016404219598777702,0.013976153945195307,1.1737291720671916,0.24050620560224656,
Car Mount_counts,-0.003557736483158282,0.004190640479212884,-0.8489720129431199,0.3958988169188161,
Trash Can_counts,-0.007171653800307218,0.008213086929570542,-0.8731983311276386,0.3825569975094901,
Guard Rail_counts,0.0005941630560360261,0.005177659005295819,0.11475515390803133,0.9086394173550386,
Bike Rack_counts,-0.0038024305743225035,0.008232033839102789,-0.4619065772374098,0.6441492819226332,
Pothole_ratios,0.0014888433764016383,0.005524103830988508,0.26951763072404417,0.7875319105844565,
On Rails_ratios,0.0008919414109601026,0.0035473375785758606,0.2514396758704278,0.8014746919106059,
