variable,coefficient,std_err,t_value,p_value,significance
constant,3.5691935518222806e-16,0.0030760533427454254,1.160315883415962e-13,0.9999999999999074,
Curb_counts,0.0944907939246075,0.021004509823820353,4.498595526254527,6.847759394225752e-06,***
Curb_ratios,-0.07129566689227763,0.016111797049662945,-4.425059890744411,9.651311183631415e-06,***
Snow_ratios,0.07648583662038923,0.018274545295171415,4.185375635069764,2.8492793120092877e-05,***
edu_own,0.04557451486574794,0.0031659768322695493,14.395087923962343,6.16322807483557e-47,***
female,0.045893789265235345,0.003084551807109587,14.878592461781546,5.110144892386122e-50,***
Pole_ratios,0.05521209410032129,0.013429130160124779,4.11136785793193,3.936227968816532e-05,***
Snow_counts,-0.07269690418047016,0.016594385817376753,-4.380813184682367,1.1835237274035832e-05,***
Mailbox_ratios,0.057679787118740486,0.012112497642607021,4.762006055286697,1.9193494620424483e-06,***
Curb Cut_counts,-0.03245108587597649,0.008762616478681165,-3.7033557219955613,0.00021287587923339235,***
Traffic Light_ratios,-0.04714391152077591,0.007681486945805865,-6.137341878386808,8.421464137965828e-10,***
Terrain_counts,0.025130893718384572,0.01330521692196346,1.8887999997128937,0.05892140608064819,.
Trash Can_ratios,-0.03796982431292566,0.0076649547273164925,-4.953691921702834,7.293212948799182e-07,***
Fence_counts,0.043442511643713023,0.008104955728103942,5.359993700283405,8.340105098294288e-08,***
Water_ratios,0.03653337536019355,0.00848168308822228,4.307326149797324,1.653907546970803e-05,***
Car_ratios,0.048865941383655444,0.024038047295957918,2.032858192764785,0.042069380477891036,*
Truck_counts,0.041670192128117074,0.013582744799371101,3.0678771296687,0.00215640504102384,**
Traffic Sign (Back)_ratios,-0.03506913608637578,0.011531035368991336,-3.0412825010217115,0.0023563118530263464,**
Utility Pole_ratios,0.06016859660126222,0.01791816936320539,3.3579656147696233,0.0007854646293226149,***
Motorcyclist_ratios,-0.027593699890590254,0.011627656700875495,-2.373109268741363,0.01764084723384442,*
Street Light_counts,-0.03620947545080964,0.011581756941782552,-3.1264233598427276,0.0017699523382174217,**
Bike Rack_ratios,-0.03696194282682234,0.00902385932351912,-4.096023829902519,4.2062363126914854e-05,***
Utility Pole_counts,-0.059818651287462374,0.016431227266567,-3.640546766045697,0.0002721912027402548,***
Mailbox_counts,-0.04203404131197691,0.011430187141884002,-3.6774587143853683,0.00023568745662626793,***
Traffic Sign (Front)_ratios,0.032385554236777456,0.010346390048155362,3.130130807561369,0.0017477669427995344,**
Other Vehicle_counts,-0.03144157690783479,0.0100953642871859,-3.114456894610901,0.0018433380447975493,**
Catch Basin_counts,-0.02856298576868354,0.007301637454646302,-3.9118603116219983,9.16459094609653e-05,***
Ground Animal_counts,0.024054769991898543,0.006042999366596811,3.9806011109091477,6.87877325340777e-05,***
Motorcycle_counts,-0.04080578260047453,0.01795055209572926,-2.273232733057994,0.02301418379818989,*
Bicycle_ratios,-0.02120976317567876,0.010359356625948253,-2.0474015850127474,0.04062117170666599,*
Bird_ratios,0.02171086581762948,0.0071386974928743865,3.0412923140811827,0.002356235059383072,**
ethnic,-0.01613065236514971,0.0031778296346895675,-5.075996582405043,3.861312894606861e-07,***
time_now,-0.01680346972176959,0.00318851128363987,-5.270004784987763,1.36690681816668e-07,***
Caravan_counts,-0.01970093612096993,0.008658235492486635,-2.275398507936846,0.02288405507581817,*
