variable,coefficient,std_err,t_value,p_value,significance
constant,3.3666371223542676e-16,0.0030929573026372273,1.088484836012345e-13,0.9999999999999132,
Rail Track_counts,-0.044250584969039254,0.008055156846152286,-5.4934479631115405,3.9508043625074325e-08,***
Motorcyclist_ratios,0.033510971585987134,0.009173310407414832,3.6530946951168306,0.00025922565700677925,***
Bicycle_counts,-0.045822147675151026,0.02107648709024289,-2.174088474941531,0.02970073591450253,*
Person_counts,0.043621497174427946,0.018319306003727946,2.3811762937717758,0.01725923737590002,*
Barrier_counts,0.01959046533385347,0.010876987599786723,1.8010929178808297,0.07169112800719188,.
Sand_counts,0.04902771156749161,0.015937159636413012,3.0763142671592334,0.0020963115843306264,**
Vegetation_ratios,0.03698325516439205,0.009001301653683394,4.108656346302787,3.982717446584507e-05,***
time_now,-0.018825149399687283,0.003197910740776553,-5.886702577294558,3.951790709658281e-09,***
Traffic Sign (Front)_ratios,-0.03387845044457258,0.010424488599142,-3.2498908816842085,0.0011548592482540326,**
Truck_ratios,-0.03571363612552538,0.011935403997231059,-2.992243591738556,0.00277000072448488,**
Wall_ratios,-0.02074176773090388,0.007776642373316951,-2.667188065902656,0.007650068361191094,**
Other Vehicle_ratios,-0.06002621890690479,0.014922753957546612,-4.022462547976865,5.763340955230444e-05,***
Person_ratios,-0.04439183195585084,0.01790604592819866,-2.4791532499054996,0.013171041621634579,*
Ground Animal_ratios,-0.007366181412264502,0.006214566260303738,-1.185309014937509,0.23589799558289948,
Billboard_ratios,0.01754868485287913,0.0071024267681818,2.4708012381761653,0.013482661264400226,*
Utility Pole_ratios,0.022590992558165986,0.007502076836687847,3.0112984777345826,0.0026019538030258938,**
Pothole_counts,0.007865857290722538,0.008037385148247311,0.9786587485406025,0.32775089472437546,
Guard Rail_ratios,0.014916996817880284,0.006129571942396848,2.4336115079591165,0.014950700474113706,*
Motorcycle_ratios,-0.028005752060559788,0.019269299649364423,-1.4533871272007297,0.14611931235542708,
Other Vehicle_counts,0.034067325697166195,0.010106467786532899,3.370843940408309,0.0007496551562254753,***
Mailbox_counts,0.0321257967337925,0.01088576316255738,2.951175425558792,0.0031663758589223325,**
Bench_ratios,0.029069528464466605,0.012181134687187444,2.386438473177953,0.017014228699153276,*
Tunnel_ratios,-0.023340384501503927,0.008218192853173201,-2.8400872209383308,0.0045109941682104715,**
Parking_ratios,-0.02494610681095676,0.007598640026538655,-3.2829699424938084,0.0010275344887476757,**
Parking_counts,0.028915152938163362,0.009133739823048227,3.165751761967031,0.0015472728947130442,**
Other Rider_counts,-0.012556167059086718,0.004194716195344022,-2.9933293396639313,0.002760165255056219,**
Pothole_ratios,-0.008632550869657118,0.006440491963515805,-1.3403558173131682,0.18013261724786192,
Ego Vehicle_counts,-0.02420919906069876,0.007766477236452516,-3.1171402842811604,0.0018266434050236127,**
Car Mount_counts,0.012618886068175694,0.004761380402541466,2.6502579087023066,0.008044250285511497,**
Street Light_counts,0.01986278908360549,0.011126881275559738,1.7851173740151451,0.07424519042225255,.
Wheeled Slow_ratios,-0.011321905631464397,0.0049638552507792,-2.2808694169087915,0.022558185724771758,*
Sand_ratios,-0.026247666936420087,0.011323276658807818,-2.318027522183989,0.020449753009002623,*
edu_own,0.009376634038879568,0.003180586690792855,2.9480831527161313,0.0031982200329876333,**
Fence_ratios,-0.009876135683773421,0.006288743309162035,-1.5704466215666546,0.11631428198785308,
Banner_ratios,-0.010715963750701484,0.004635005116238115,-2.3119637372480026,0.02078162297563894,*
Truck_counts,0.007985458712699631,0.014441789050160752,0.5529410992615728,0.580304930407096,
Traffic Sign Frame_ratios,0.01838747435850551,0.009399643646928961,1.9561884523689408,0.05044562791041716,.
Trailer_ratios,-0.015585452467073473,0.008380585315150697,-1.859709302033783,0.06292948339553643,.
Caravan_counts,0.006521570487249952,0.004609899033708401,1.414688356418019,0.15716288011145493,
Bird_ratios,-0.0076619324360460705,0.006158967947114162,-1.2440286265227498,0.21349182787171458,
Bus_counts,0.029138512944396382,0.01443607133909656,2.0184517144551553,0.04354679687105731,*
Water_ratios,-0.01380052175303838,0.0071419505603484285,-1.9323182982612392,0.053322940421185495,.
Mailbox_ratios,-0.025244540099007746,0.011763491696302003,-2.1460073888557827,0.03187469346226875,*
Building_counts,-0.02525268081870439,0.009599554222905338,-2.63060973794485,0.008524439225020036,**
Traffic Sign (Back)_counts,-0.018032794122016155,0.01168774701375283,-1.54288025748651,0.12286287076617185,
Boat_counts,0.00502218490634846,0.004250207447150426,1.1816328894053418,0.23735409621372303,
Curb_counts,-0.003974159238522976,0.012536517620169987,-0.3170066328570349,0.7512392049167975,
Vegetation_counts,-0.015031027863821622,0.008754115738248951,-1.7170241190834672,0.08597773904323468,.
Lane Marking - Crosswalk_counts,0.00968036738322374,0.015036304639144165,0.6437996313284808,0.5197067908754343,
Pole_counts,0.017397288695922997,0.01164880219504232,1.4934830555649066,0.13531381652486818,
Traffic Sign Frame_counts,-0.016279527590959905,0.00978901339608833,-1.6630406898273498,0.0963073004430244,.
Trailer_counts,0.012213633950616767,0.009604214340700315,1.271695270154308,0.20348425220037286,
Pedestrian Area_ratios,0.012731502128947317,0.006279353689336674,2.0275179196495015,0.04261201549771827,*
Bridge_counts,0.019692632109888975,0.01199280448788322,1.64203728408857,0.10058529741675132,
Bike Lane_counts,0.00826458597594024,0.005309105772168236,1.5566813566355049,0.11954919641035949,
Bicyclist_ratios,0.009499033927904832,0.007122771250215665,1.3336149083290043,0.18233301177601569,
Wall_counts,0.004100165381643243,0.010029365152056775,0.4088160436358627,0.6826755059303453,
Mountain_counts,-0.008829952695769508,0.0045178964508101665,-1.9544389279187855,0.050652003305468735,.
On Rails_ratios,0.00737367595126564,0.006456600782218307,1.1420368395043081,0.2534413332763849,
Bench_counts,-0.008746650840124893,0.011762415088952632,-0.7436101152678949,0.4571140597945794,
Snow_counts,0.007609389194644483,0.006106391933639484,1.2461350790022405,0.21271761196331057,
Phone Booth_counts,-0.011743351426885032,0.004969317259158802,-2.3631720042106803,0.018121084550108187,*
Bicycle_ratios,0.005339909293194107,0.018516758236082675,0.28838251410489846,0.7730545252065677,
Traffic Sign (Back)_ratios,-0.0018441834058992544,0.010562142165854873,-0.17460316069794074,0.8613918043361874,
Catch Basin_counts,0.008037809398710996,0.007470666288964895,1.075916001037798,0.28196731800557634,
Curb Cut_counts,0.0021755794568429493,0.006744251606750092,0.3225827836353979,0.7470118816163439,
ethnic,0.0017978520869569756,0.0031957193466958063,0.5625813445776624,0.5737212094340967,
Crosswalk - Plain_counts,-0.0052176958856873365,0.003500408370615818,-1.4905963342698214,0.13607053651624162,
Ground Animal_counts,-0.010231444410899454,0.005898796420678624,-1.7344969517904438,0.08283290553433308,.
Lane Marking - Crosswalk_ratios,0.0027895742388207197,0.013412988228967963,0.2079755973240989,0.8352484280210772,
Bird_counts,-0.0015572523334453992,0.004383312552210906,-0.35526837634700137,0.7223892638405611,
Fire Hydrant_ratios,0.010887693974256788,0.006114614491147747,1.7806018662368865,0.07498042955972535,.
Traffic Light_counts,0.004149353606960328,0.007444793207164783,0.5573497465271484,0.5772896913573584,
Bus_ratios,-0.00903564716530811,0.006915093340652098,-1.3066558497757084,0.19133250545286054,
female,-0.001785234999511019,0.0031009465419235284,-0.5757064739347719,0.5648148429212426,
Bike Rack_ratios,-0.006298387669094931,0.004197489151518128,-1.5005131500618554,0.13348456187933058,
Boat_ratios,0.002287482544704441,0.0047920268151696544,0.4773517830624777,0.6331126446209678,
Manhole_ratios,-0.003950945660799939,0.006701196956726291,-0.5895880521515188,0.5554681430509045,
age,-0.0010522867153483113,0.0030933910444763814,-0.34017254857813556,0.7337272760487767,
Car_ratios,0.0014360553450979891,0.018176739964926025,0.07900511026009133,0.9370287101937398,
On Rails_counts,-0.006677160830414506,0.006928760806371205,-0.963687593930888,0.3352048140795201,
