variable,coefficient,std_err,t_value,p_value,significance
constant,7.164867786508884e-16,0.003082085848423034,2.324681445902887e-13,0.9999999999998146,
female,-0.07777584049863653,0.003089388090706745,-25.175160327896556,1.964340465081391e-139,***
Bicycle_counts,-0.053246307944202646,0.019528219376320162,-2.7266340529115984,0.0063994660956727244,**
Person_counts,0.02126581267727419,0.009715498292303365,2.188854553566337,0.028609625503197147,*
Lane Marking - Crosswalk_counts,0.027574194975209115,0.006579258125739349,4.19107967011257,2.7785879563051765e-05,***
Bicycle_ratios,-0.012074903730688728,0.017213363177965048,-0.7014842832193247,0.4830024070978678,
Vegetation_ratios,0.022947179322092132,0.00668980852744604,3.4301698214451957,0.0006034373218237539,***
Ground Animal_ratios,-0.0216494631900696,0.0038118320861976504,-5.679542723946481,1.3541371438385501e-08,***
Guard Rail_ratios,0.022152270321294274,0.005815539707414973,3.809151245764778,0.0001395246333252652,***
Building_counts,0.01406141132145095,0.00802680908894874,1.7518058752400891,0.07981013678362871,.
Traffic Sign (Back)_counts,0.018881152124398833,0.0067013296133535795,2.817523269826157,0.0048404719060057,**
CCTV Camera_ratios,-0.013709219947475322,0.005609888137944259,-2.4437599485716412,0.014536741888027794,*
Car Mount_ratios,0.014175020900360338,0.0038585886045648843,3.67362845668249,0.00023925008276518372,***
Wheeled Slow_ratios,0.011976081966422162,0.004767517564280902,2.5120163281933388,0.012005852977263377,*
Motorcycle_counts,-0.043229629539264874,0.013906082779721647,-3.1086848988346225,0.0018797263433412011,**
time_now,-0.011303818865737758,0.003181173780991859,-3.553348431726775,0.0003805284074614853,***
Road_counts,0.008920958397301476,0.0059920045104473775,1.488810360831223,0.1365403412432691,
On Rails_ratios,0.018753389323097877,0.0059608586188842905,3.1460885959761278,0.0016551644229078457,**
Truck_ratios,0.012519826664343457,0.008740266904541279,1.4324307027555863,0.15202359842179206,
Truck_counts,0.011305357781747445,0.009288175908983886,1.2171773976430036,0.22353948593635695,
Fire Hydrant_counts,0.008540042071730706,0.005358566940987501,1.5937175304106415,0.11100235067631456,
Billboard_counts,0.009664419405783343,0.006044879885702621,1.598777740586984,0.10987303030266195,
ethnic,-0.009264233107089051,0.0031691847568544804,-2.92322279004147,0.003465030760602177,**
Lane Marking - General_ratios,-0.006298838710838376,0.004962201838177145,-1.2693636648105877,0.20431422583538536,
Water_ratios,0.005170445851088622,0.005416965219369531,0.9544912403351925,0.3398372566597452,
Pothole_ratios,-0.008946373615828108,0.004242575046334601,-2.1087131089307145,0.03497173393097931,*
Banner_counts,0.011967445368963872,0.004465989851331037,2.6796848553959682,0.007370308611418399,**
Sidewalk_counts,0.04324119739404202,0.013481841582514729,3.2073657837756886,0.0013399702583494618,**
edu_own,-0.005038988878278034,0.0031618380540468015,-1.593689743795919,0.11100857720084599,
Bench_ratios,-0.012080711871033894,0.006510451772500472,-1.8555873375887169,0.06351522311474778,.
Mailbox_ratios,0.011216287602722965,0.004988182660172869,2.248571948312385,0.024541824585757804,*
Crosswalk - Plain_ratios,0.006839224216352622,0.0033920636124167443,2.0162429122253043,0.043777143539596275,*
Utility Pole_ratios,0.00434553961762851,0.005389501711960569,0.806297103122676,0.4200734015677481,
Traffic Light_ratios,-0.021245580632756143,0.0060854264921900506,-3.4912229504410934,0.00048101379653733286,***
Phone Booth_ratios,0.006389739571547864,0.0037993701629215003,1.6817891644004797,0.09261272876553618,.
Bus_counts,-0.0027959174597315083,0.007297297383918305,-0.38314423993369345,0.7016136011017327,
Banner_ratios,-0.007226086278575542,0.004631455935095649,-1.5602191578286728,0.1187111384173928,
Service Lane_counts,-0.011371773656771588,0.004869926488111228,-2.3351017072912867,0.019539997289960077,*
Curb Cut_counts,-0.02286131360241636,0.00723988989905052,-3.1576880202852977,0.0015907101307505985,**
Caravan_ratios,0.00570486301479868,0.003692691203805952,1.5449066006166017,0.1223718951327163,
age,-0.0045597602687820005,0.0030823663208019996,-1.4793051163352962,0.1390618107177579,
Wall_counts,-0.013230603502567209,0.006817220090687807,-1.9407622647594966,0.05228981486018832,.
Bridge_ratios,-0.009736151531435169,0.005574284127233886,-1.7466191728311695,0.0807063671741978,.
