variable,coefficient,std_err,t_value,p_value,significance
constant,1.0052722543285597e-15,0.04258695959778895,2.3605166084238423e-14,0.9999999999999812,
Bird_ratios_mean,-0.12784150701693714,0.5596740833388129,-0.2284213452484364,0.8199321872726186,
Curb_ratios_mean,-0.9853045515731215,0.7783891993511021,-1.2658250556334965,0.20944236383162135,
Road_ratios_mean,1.8351219111887347,0.9284047344237836,1.9766399751587944,0.051710468734435265,.
Sidewalk_ratios_mean,1.5226753426809105,2.106203606828838,0.722947837399963,0.4719309637743836,
Building_ratios_mean,-1.3608806073810178,1.168939439283675,-1.164201122527754,0.24798419050161938,
Sky_ratios_mean,-0.5583254649376838,1.2675493532698088,-0.4404763124192446,0.660842478460915,
Terrain_ratios_mean,1.6860753474581742,0.8460836815530843,1.9927997480854236,0.04987372220935736,*
Vegetation_ratios_mean,0.9911076754871423,1.2721198793903217,0.7790992747964463,0.4383404930901581,
Utility Pole_ratios_mean,0.9115934798977341,0.9098127910439817,1.0019572035821886,0.3195437834408608,
Car_ratios_mean,-1.6523094936517888,0.9580435915362407,-1.7246704724596924,0.08865183551556648,.
Person_ratios_mean,-0.3362426186440016,0.7149348627280953,-0.4703122426579465,0.6394788480611389,
Pole_ratios_mean,-1.2536056519084353,1.309536530986035,-0.9572895617997875,0.34145648669274264,
Barrier_ratios_mean,2.462214259384057,1.1035736518577104,2.231128167330986,0.028621352247220073,*
Lane Marking - General_ratios_mean,0.10400057094575181,0.7844554550616498,0.13257677064350132,0.8948784924850205,
Traffic Sign (Back)_ratios_mean,-0.043330611871265114,0.5254112748077511,-0.08246989348890517,0.934489878079118,
Wall_ratios_mean,1.0541771521850805,0.5804715640246931,1.8160702737545917,0.07330325219282906,.
Fence_ratios_mean,0.45310560540166206,0.7248624336717153,0.6250918579219269,0.5337831700974794,
Billboard_ratios_mean,-1.4988010746852616,1.0075946432354936,-1.4875040123997203,0.14101915094869708,
Catch Basin_ratios_mean,1.3687541571011403,0.4772014598414106,2.8682941530732564,0.005339331907515007,**
Traffic Sign (Front)_ratios_mean,0.7919332897956679,0.7669268320581679,1.032606054048717,0.3050631132630125,
Street Light_ratios_mean,-0.7695348445936011,4.970607190353445,-0.15481707065628772,0.8773759532164105,
Motorcycle_ratios_mean,-1.0632276120013238,0.9395501129726294,-1.1316348083205408,0.26134608322643005,
Truck_ratios_mean,0.021909063982476096,0.822904740164432,0.0266240585491077,0.9788293699994265,
Rail Track_ratios_mean,0.1462361208899237,2.3746030056291234,0.06158339753772026,0.9510562659727055,
Manhole_ratios_mean,3.4181554976426236,1.9960855722487971,1.7124293392851477,0.09089510504996481,.
Mountain_ratios_mean,-0.01143706555115348,0.2302691437047302,-0.04966825067026355,0.9605170597705903,
Trash Can_ratios_mean,-1.477948096026028,0.9973708443966965,-1.481844094730912,0.14251633582263795,
