variable,coefficient,std_err,t_value,p_value,significance
constant,-8.365703962898152e-15,0.043920020555387386,-1.9047586629309955e-13,0.9999999999998486,
Bird_ratios_mean,0.599072325489868,0.5771930533832816,1.0379063330342224,0.3026046346345089,
Curb_ratios_mean,-0.8698259233553955,0.8027544102342272,-1.0835517217546002,0.28198924870692854,
Road_ratios_mean,0.6070739600690421,0.9574657454938048,0.6340424844712841,0.5279568968277727,
Sidewalk_ratios_mean,1.4091474128875696,2.1721321873974846,0.6487392531003942,0.5184624592135718,
Building_ratios_mean,-0.7832090131418162,1.2055296899853705,-0.6496804016094542,0.5178575366266207,
Sky_ratios_mean,-0.4683958103617087,1.307226300641296,-0.3583127191764151,0.7211026574777064,
Terrain_ratios_mean,-0.15533193476137191,0.8725678713941013,-0.17801702292017485,0.8591832522577887,
Vegetation_ratios_mean,0.0731103571257628,1.3119398937941702,0.05572691056320074,0.9557056044607156,
Utility Pole_ratios_mean,-0.5150314322958334,0.9382918353786556,-0.5489032440402597,0.5846809286338466,
Car_ratios_mean,0.31718850555291184,0.9880323608594364,0.3210304825208423,0.7490684353960959,
Person_ratios_mean,-0.06686129478090738,0.7373138200833488,-0.0906822752533638,0.9279836323517896,
Pole_ratios_mean,-0.573263280174354,1.3505277648870577,-0.4244735244093964,0.6724197307216745,
Barrier_ratios_mean,-1.1557360095822768,1.138117816621288,-1.0154801134853435,0.3130989804527631,
Lane Marking - General_ratios_mean,-0.8174741827458564,0.8090105524434336,-1.010461705693282,0.31548041742369065,
Traffic Sign (Back)_ratios_mean,-0.3621234928074362,0.5418577472430502,-0.6682999267795017,0.5059668303491094,
Wall_ratios_mean,-0.02486152377862154,0.5986415387377411,-0.0415299009003669,0.9669823674605572,
Fence_ratios_mean,0.6461333661357794,0.7475521447730384,0.8643321682020585,0.3901253031610652,
Billboard_ratios_mean,0.5187738265876238,1.0391344641728937,0.49923647465638193,0.6190549261672729,
Catch Basin_ratios_mean,1.0130095760371167,0.4921388641790658,2.058381586520123,0.0429814172303013,*
Traffic Sign (Front)_ratios_mean,-1.05368495741509,0.7909332468576051,-1.3322046602559736,0.1867740141936593,
Street Light_ratios_mean,-1.5132893253701454,5.126197597454548,-0.29520698268080425,0.7686407431591493,
Motorcycle_ratios_mean,-1.5658118747540704,0.9689599977152827,-1.6159716380924998,0.11024435911617989,
Truck_ratios_mean,-0.7380769529989846,0.8486633806331647,-0.8696934141877612,0.38720646613147336,
Rail Track_ratios_mean,-0.5803030686798067,2.448933049062523,-0.236961589824578,0.8133241485349789,
Manhole_ratios_mean,5.344527335550186,2.0585672278898954,2.59623648095696,0.01130922922287846,*
Mountain_ratios_mean,-0.1913170751976495,0.23747704978939788,-0.8056234291579566,0.42297349185974686,
Trash Can_ratios_mean,-0.9196999372929309,1.0285906390349888,-0.8941360171776229,0.3740719886485655,
Guard Rail_ratios_mean,1.3121198422099132,0.9401970716735972,1.3955795883029873,0.16690536459354952,
Bridge_ratios_mean,1.6341071419226552,0.7734727274081962,2.112688765896543,0.037911321482714096,*
Trailer_ratios_mean,0.06949743921103296,0.5240752924513994,0.1326096463848806,0.894852579370401,
Traffic Sign Frame_ratios_mean,0.03350324302103826,0.5398552743875671,0.06205967526953525,0.9506782318864953,
Other Vehicle_ratios_mean,0.3496532739078204,0.9226330942927106,0.3789732625793834,0.7057644310959452,
Fire Hydrant_ratios_mean,1.3828585293378401,1.1543585557047,1.1979454065670678,0.23466091122497595,
Curb Cut_ratios_mean,0.2874748641628479,0.7565620964631665,0.37997523997931837,0.7050236010407356,
Snow_ratios_mean,-1.2917792446102399,1.609417996091033,-0.8026375048295242,0.42468717876429063,
Junction Box_ratios_mean,0.4299612145030658,1.1439282404408553,0.3758637992339137,0.7080652776073346,
Traffic Light_ratios_mean,-1.0571855151792042,0.9190688240131031,-1.1502789427270705,0.2536355749752075,
Sand_ratios_mean,-0.8094830907766615,0.8688152123329393,-0.9317091589626297,0.3544372267171978,
Bench_ratios_mean,1.9092971749931589,0.8803601289810505,2.168768339387455,0.03322841338935153,*
Parking_ratios_mean,0.10824329748535766,0.4933895495175646,0.21938708996004833,0.8269366781720413,
Bus_ratios_mean,-0.7454415292539918,1.249688436731378,-0.5965019018690219,0.5526126771289115,
Water_ratios_mean,0.767640555626871,0.7750258240701097,0.9904709388850369,0.32508700102704113,
Ground Animal_ratios_mean,-0.2458848689430005,0.5249639602033923,-0.4683842846044798,0.6408504081529057,
Lane Marking - Crosswalk_ratios_mean,-0.39135449844602443,0.6460510474152155,-0.6057640491595734,0.5464763342438042,
Service Lane_ratios_mean,-0.7286323355706411,0.8899901433702844,-0.818697084454665,0.415519004610008,
Pothole_ratios_mean,0.3101308387194152,0.42481793177824023,0.7300323633261955,0.46761470438662467,
Motorcyclist_ratios_mean,0.6345118592800472,0.9388888248495848,0.6758114938493378,0.5012116319385833,
Banner_ratios_mean,0.48333358884096006,0.3441118626981188,1.4045827570465863,0.16421929411007233,
On Rails_ratios_mean,-0.27470928937677547,0.35176766275576715,-0.7809395759254498,0.43726383956016945,
Car Mount_ratios_mean,-0.2565365630722187,0.4591185900576996,-0.5587588231615247,0.5779690120704963,
Tunnel_ratios_mean,1.4779066369913478,13.361838262414363,0.11060653541575675,0.9122199322402698,
Pedestrian Area_ratios_mean,0.23501702620022247,2.299246729940233,0.1022147919750794,0.9188553985629914,
Building_counts_mean,0.7065887443056149,0.48465184271504824,1.4579305844526724,0.1489797698968218,
Curb_counts_mean,1.1891342326404717,1.0862339152093052,1.0947312691956765,0.2770917282398601,
Sky_counts_mean,0.7478141163001282,0.7822564885963186,0.9559704869204808,0.3421181672782059,
Car_counts_mean,-0.2121686510123264,0.8193792595630188,-0.2589382737433183,0.7963829099213395,
Sidewalk_counts_mean,-0.4111239339128464,1.1681537901903731,-0.3519433291791536,0.7258547581575527,
Utility Pole_counts_mean,0.31412169458451067,0.9177780023834561,0.34226326384892775,0.7330974997210742,
Terrain_counts_mean,0.25739969196967155,0.8617738843140086,0.2986858811282817,0.7659948949479207,
Vegetation_counts_mean,0.2512677635979874,0.6517384895977821,0.3855346394426641,0.7009183569706613,
Road_counts_mean,-0.8540451226997077,0.5496720754648823,-1.5537356922805357,0.12440211320735454,
Pole_counts_mean,1.037535226832425,1.4750514193579085,0.7033891925503621,0.4839625641640387,
Person_counts_mean,0.938058170743363,0.7683427203915019,1.2208850892286507,0.22590374127841917,
Lane Marking - General_counts_mean,0.8603432952724199,0.768374558671642,1.1196925842518428,0.2663709452225935,
Traffic Sign (Back)_counts_mean,0.7501503795188136,0.9468680362304155,0.7922438511128158,0.43068450597728014,
Barrier_counts_mean,1.9649523210766928,1.4455563714870412,1.3593052196610984,0.17806971911686909,
Wall_counts_mean,-0.35923053642316133,0.6069097675225942,-0.5919010628046744,0.5556735833336379,
Fence_counts_mean,-0.22401239476823215,0.5342359722244308,-0.4193135738042838,0.6761698313990233,
Catch Basin_counts_mean,-1.4533670078287122,0.7648521794972589,-1.9001933272701366,0.06120067337417278,.
Billboard_counts_mean,-0.16376895108485834,1.0218832011174637,-0.16026190753089148,0.8730999648470952,
Traffic Sign (Front)_counts_mean,-0.33349524103059824,0.9795392760181888,-0.3404613262535536,0.7344484336379518,
Street Light_counts_mean,-0.1645866191199875,1.345593990931104,-0.12231521560682602,0.9029722417713919,
Motorcycle_counts_mean,3.5334603234674775,1.5460915676270304,2.2854146529566144,0.025077563390411152,*
Truck_counts_mean,0.9998036574921827,0.9668240439557324,1.0341112881321353,0.3043635559694896,
Rail Track_counts_mean,0.23737215058546976,2.0557548845193816,0.11546714658103094,0.9083794025864285,
Manhole_counts_mean,-4.0392433759496695,2.152799968169398,-1.8762743569642382,0.06445689088620885,.
Mountain_counts_mean,-0.32406188039661293,0.4336202738660018,-0.7473402419757595,0.45716425904802105,
Trash Can_counts_mean,1.072671921085346,1.1188089020869143,0.9587624116008471,0.3407186565666178,
Guard Rail_counts_mean,-1.92889845127194,1.296185087164903,-1.4881350436541028,0.14085299474005672,
Trailer_counts_mean,0.03685328134204043,0.7890300865866775,0.046707067282398214,0.9628692139892119,
Bridge_counts_mean,-1.8171756067458185,0.9236120656753215,-1.9674662926984894,0.05277862578469743,.
Traffic Sign Frame_counts_mean,-1.4634419948877704,0.7404114965225106,-1.9765252184239654,0.05172371588759158,.
