variable,coefficient,std_err,t_value,p_value,significance
constant,6.683022191200649e-16,0.04557614997460236,1.466341978189209e-14,0.9999999999999882,
Lane Marking - General_counts_std,-0.15825889288749312,0.07201118727033679,-2.1976987033052837,0.028709870508070327,*
Curb_ratios_mean,-0.2612149111276519,0.06443974068964378,-4.05363069950454,6.382831709821571e-05,***
Vegetation_ratios_mean,-0.15721968987596957,0.07137077906055601,-2.2028579755669093,0.028340314100855468,*
Fence_counts_mean,0.0868893515920257,0.0631646599696223,1.375600717771825,0.1699384010946918,
Mailbox_ratios_std,0.15061105144107836,0.06782529002930418,2.220573644078872,0.027102525310674135,*
Motorcycle_ratios_std,-0.09721839671556491,0.08030118433860044,-1.2106720158152442,0.2269433507322868,
Boat_ratios_mean,0.10250737029150324,0.04749499502738908,2.1582773139020226,0.031673762854375474,*
Motorcyclist_ratios_mean,-0.03702507761545006,0.07591268447778401,-0.48773242403626915,0.6260841358312255,
Snow_counts_mean,0.08973929801032826,0.06757748564167465,1.3279466845831647,0.18517264392149585,
Traffic Light_ratios_mean,-0.016171449646095532,0.12192109786759334,-0.13263864851067675,0.8945652180240218,
Mailbox_counts_std,0.4263006466583859,0.17303340449458487,2.463689874816785,0.014294225507425413,*
Parking_counts_mean,-0.0360592326535745,0.06950459178874399,-0.5188036031227242,0.6042678474994909,
Pole_ratios_mean,0.09930933894458006,0.09564998224817713,1.0382577875122676,0.2999591991305532,
Catch Basin_ratios_mean,0.23295291836564455,0.06873047992592735,3.3893684231028804,0.0007911179029947333,***
Bike Rack_counts_mean,0.14976534403387093,0.0514253649285201,2.912285488728,0.0038483860082099463,**
Service Lane_ratios_mean,0.00457619129499162,0.11075863302504861,0.04131679102573153,0.9670699445831661,
Service Lane_ratios_std,-0.08885907299222097,0.11286604460334825,-0.787296775611333,0.4317096639339608,
Motorcycle_counts_std,-0.16960779134089551,0.16540021188760798,-1.0254387790999122,0.3059556881046021,
Ego Vehicle_ratios_std,-0.0864733004136593,0.05413329646207075,-1.5974142730112146,0.11119218178476693,
Lane Marking - General_ratios_mean,-0.05206961015958746,0.06818186454515089,-0.763687096370125,0.44563455800777774,
Traffic Light_counts_std,0.15407565348990354,0.10644336398507308,1.4474895166927466,0.14877037823299177,
Utility Pole_counts_mean,0.023467340228340457,0.0680846365388135,0.3446789381766364,0.7305694738809471,
Street Light_ratios_mean,0.050746916716997756,0.06504820731570053,0.780143201652063,0.4359018364919742,
Mailbox_counts_mean,-0.2721198245047075,0.1517986218923692,-1.792636989139799,0.07400587789742605,.
Rail Track_ratios_std,0.05152791427072871,0.06459714298156737,0.7976810102179298,0.4256662099719143,
Bird_ratios_std,-0.07997896532619808,0.06191604426918725,-1.2917324785556417,0.19741202515172931,
Motorcycle_ratios_mean,-0.00859396138196584,0.18051170591651328,-0.047608886849368925,0.9620586057950726,
