variable,coefficient,std_err,t_value,p_value,significance
constant,-8.87744738831131e-16,0.045558938383944744,-1.948563268418866e-14,0.9999999999999845,
CCTV Camera_counts_mean,0.33937488404632044,0.0522784565711763,6.491677572467482,3.2724067679894093e-10,***
Truck_counts_std,0.13963569702332446,0.05475268022938335,2.5502988426927846,0.01123305484021546,*
Bike Lane_counts_std,-0.02117208804016288,0.10239554826137416,-0.20676766128659377,0.836324059646161,
Motorcycle_counts_std,-0.1918291869747088,0.10623179792336065,-1.805760522975438,0.0719042508055856,.
Sand_ratios_std,0.18475262795850805,0.061557674002243996,3.001293192978233,0.0029018301266015966,**
Bike Lane_ratios_mean,-0.0341744549372122,0.1418655304927196,-0.2408932939419417,0.8097935464227964,
Lane Marking - General_counts_std,-0.0400135884875475,0.06122381159463697,-0.6535625183299201,0.5138674769010703,
Curb_ratios_std,-0.1336240344088336,0.07057552089768317,-1.8933481851668512,0.059222083674546365,.
Curb_ratios_mean,0.02975190953621306,0.07966673660667907,0.37345460355807686,0.7090597487037905,
Bird_ratios_mean,0.04224292484288443,0.05228365531222924,0.8079566088219493,0.4197214381013902,
Fence_counts_mean,0.11065598034909115,0.0573265639791556,1.9302740765925994,0.05446471585054325,.
Bike Lane_counts_mean,-0.11712358187059299,0.17505105142497154,-0.6690824243394689,0.5039298773535783,
Ground Animal_ratios_std,-0.07457776513550446,0.05393402754198462,-1.3827590583226859,0.16771202878565328,
Service Lane_ratios_mean,-0.1489054628786249,0.05258848506798816,-2.8315221989398425,0.004928869576646927,**
Car Mount_ratios_std,-0.0720545298766627,0.05532880175766189,-1.302296951816504,0.19376028197249218,
Parking_counts_mean,-0.03671323248177504,0.06598615742551193,-0.5563777906482666,0.5783451468678851,
Boat_counts_std,-0.11554403630253764,0.04931419566058038,-2.3430177610074763,0.01974643493940538,*
Guard Rail_counts_mean,0.1538614977075071,0.05866553466564968,2.622689771505608,0.009145291599672822,**
Curb Cut_ratios_std,0.04169243867249996,0.07133444460355219,0.584464334224645,0.5593236672051748,
Motorcyclist_ratios_mean,0.03732076245250809,0.0748008489218801,0.4989350119740598,0.6181712161665323,
