variable,coefficient
CCTV Camera_counts_mean,0.007111549512644553
Truck_counts_std,0.002936580685966605
Bike Lane_counts_std,-0.0027328057802395254
Motorcycle_counts_std,-0.002641649497600611
Sand_ratios_std,0.0019639618465138614
Bike Lane_ratios_mean,-0.001388156265730418
Lane Marking - General_counts_std,-0.0011369976070125644
Curb_ratios_std,-0.0009829005202615225
Curb_ratios_mean,-0.0009813636513008753
Bird_ratios_mean,0.0009320347409771968
Fence_counts_mean,0.0007025977187886163
Bike Lane_counts_mean,-0.0006830383621476727
Ground Animal_ratios_std,-0.0005926703233898395
Service Lane_ratios_mean,-0.0004353226373441995
Car Mount_ratios_std,-0.0003658739344496946
Parking_counts_mean,-0.00017527957898015733
Boat_counts_std,-9.056758921682392e-05
Guard Rail_counts_mean,7.626743538305374e-05
Curb Cut_ratios_std,-6.672436777672748e-05
Motorcyclist_ratios_mean,-1.7006076167509402e-05
