variable,coefficient,std_err,t_value,p_value,significance
constant,1.960237527853792e-15,0.03322040386622506,5.900703482556848e-14,0.9999999999999529,
Traffic Sign (Front)_ratios_mean,0.7078527738194803,0.09233411483844797,7.666210642274225,2.665649835357004e-13,***
Fence_counts_mean,0.0998648187146651,0.05121114285385594,1.950060341352952,0.05212899731615433,.
Snow_counts_std,-0.17056141194008778,0.05693038001118089,-2.995964753908023,0.002971279182359353,**
Mailbox_ratios_mean,0.14671278655568,0.06166777024747873,2.379083692614593,0.01800060809983614,*
Traffic Sign Frame_ratios_mean,0.02173471438499786,0.06560688503968412,0.3312870954298626,0.7406660788317436,
Fire Hydrant_ratios_std,0.07573416391167433,0.06186314723947239,1.2242209989496202,0.2218590635930402,
Terrain_counts_std,-0.23938675898879336,0.06675593054310844,-3.58599988107733,0.0003937033457128038,***
Bike Lane_counts_std,-0.1062057501922781,0.04810871231985995,-2.2076198898475794,0.028050857704415212,*
Traffic Sign (Back)_counts_mean,-0.09029725304642898,0.08379312354226016,-1.0776212799954703,0.28209529621715207,
Pothole_counts_std,0.09382877331977109,0.06526909194981183,1.437568235083154,0.1516310229084698,
Trash Can_ratios_mean,-0.26945113053122366,0.13157782046279565,-2.047846130780168,0.04147248993517315,*
Bike Rack_ratios_std,-0.11542394457695584,0.036844700256979286,-3.132714984025192,0.0019084992874792751,**
Sand_ratios_std,0.11778651909933366,0.05574825246090421,2.1128289031469887,0.0354668631085559,*
Barrier_ratios_std,0.0958528919163368,0.052722831401708706,1.8180528125663273,0.07008415285174888,.
Mailbox_ratios_std,0.08243045567379734,0.057164455604570535,1.441987941667841,0.15038111686975225,
Trash Can_ratios_std,0.004349633085295191,0.13758036699506296,0.031615216475264066,0.9748005811401034,
Junction Box_counts_std,-0.06708293079076455,0.07395909245761935,-0.9070275007661156,0.36514271518183006,
Wheeled Slow_ratios_std,0.10525025697160409,0.04221086179415555,2.4934401359741223,0.013206642894901153,*
Lane Marking - General_counts_std,0.016306062105233263,0.053633287151279255,0.30402876592739914,0.7613232578945612,
Wall_counts_mean,0.2511797984566235,0.06519360309085552,3.8528289057221268,0.00014367578137667656,***
Curb_ratios_mean,-0.216165103760954,0.06023198910744601,-3.5888753960182793,0.0003895700277971206,***
Water_counts_std,0.09608169442799486,0.047610681711546164,2.0180701257359623,0.044501369017253975,*
visual_complexity_std,0.08604799075298332,0.059646616283358066,1.442629877681619,0.1502002340860416,
Building_counts_std,-0.17698648816284887,0.05653774197668635,-3.1304131006121576,0.0019230221793909124,**
Bench_counts_std,0.04868190733646679,0.1646956148906276,0.29558714947447673,0.7677561920949666,
Truck_ratios_mean,0.0786532083830338,0.07105439436273632,1.1069436181737775,0.26923249338918875,
Motorcycle_counts_mean,-0.07815373173014935,0.07428942545487509,-1.0520169088886213,0.29366458227548686,
Pedestrian Area_counts_mean,-0.09666967267502173,0.056565921768700796,-1.7089737009909605,0.08852200466849643,.
Guard Rail_counts_std,0.1718795154191422,0.054918633379257,3.1297121731376114,0.001927464642776086,**
Banner_ratios_std,0.07621507495313468,0.03543341674649524,2.1509377856052563,0.03230437623147322,*
Junction Box_ratios_mean,-0.07729713263541291,0.06547518971984323,-1.180556069652546,0.23874318235630154,
Vegetation_counts_std,-0.08125705044175303,0.055658587996908426,-1.459919364937294,0.14539094207649195,
Bench_counts_mean,0.12432252556003998,0.1535862183979486,0.8094640707795467,0.4189096309534879,
Boat_counts_std,-0.02904663482286849,0.040468374341233446,-0.717761345636084,0.4734802523728503,
Bicycle_counts_std,0.1098642496204127,0.06264381366299854,1.7537924847845845,0.08051879778412709,.
Pothole_ratios_mean,0.026219564907148184,0.05667047799665596,0.46266708582721605,0.6439487857814519,
Traffic Sign (Back)_ratios_mean,-0.11851326521888203,0.08477035185214951,-1.3980508825253497,0.16316245974250798,
Truck_ratios_std,0.02871270316525308,0.06965302012781627,0.41222481254314663,0.6804781571086402,
Utility Pole_ratios_std,0.14709608216046288,0.054876708290915815,2.6804829724966006,0.007770747821896533,**
Service Lane_counts_std,-0.04766574456068223,0.0531872767602159,-0.8961869729780229,0.37089366137098967,
Person_ratios_std,0.05875923224012922,0.04098073468416723,1.4338257401429813,0.1526956168886954,
Other Vehicle_counts_mean,-0.0748542762029486,0.051459784853351474,-1.4546169677208336,0.1468531019201034,
Traffic Sign (Front)_counts_mean,-0.24166382391773442,0.09295575937801523,-2.599772467405498,0.009804521130387819,**
Billboard_ratios_mean,0.04767125543025015,0.06285818487555125,0.7583937640679779,0.4488290671422228,
Crosswalk - Plain_counts_mean,-0.044156337564252066,0.039388288303998154,-1.1210524616722155,0.2631898041190397,
Bird_ratios_std,0.017252976082660146,0.056273834696577006,0.3065896641962734,0.7593749761126468,
Banner_counts_std,-0.050078494090921175,0.04532008180987848,-1.1049956683883455,0.2700742427967683,
