variable,coefficient
Traffic Sign (Front)_ratios_mean,0.03185842486795484
Fence_counts_mean,0.011603508609393347
Snow_counts_std,-0.008541592768442649
Mailbox_ratios_mean,0.007970286365491352
Traffic Sign Frame_ratios_mean,0.007837343465613137
Fire Hydrant_ratios_std,0.0077478190717240065
Terrain_counts_std,-0.007592452416341131
Bike Lane_counts_std,-0.007495829491011556
Traffic Sign (Back)_counts_mean,-0.0065875192256518
Pothole_counts_std,0.006140119947779734
Trash Can_ratios_mean,-0.0055168138258515935
Bike Rack_ratios_std,-0.005368440237748007
Sand_ratios_std,0.00534829509417656
Barrier_ratios_std,0.005134721014000646
Mailbox_ratios_std,0.004839545190278766
Trash Can_ratios_std,-0.004640763129311068
Junction Box_counts_std,-0.004076891777997925
Wheeled Slow_ratios_std,0.0040544821086340235
Lane Marking - General_counts_std,-0.004019954799572128
Wall_counts_mean,0.003978176174405114
Curb_ratios_mean,-0.0038881713482792745
Water_counts_std,0.0036893294791540687
visual_complexity_std,0.0036646371338427625
Building_counts_std,-0.0036128512566689325
Bench_counts_std,0.00360430299691719
Truck_ratios_mean,0.003275376858126428
Motorcycle_counts_mean,-0.0032555397516799848
Pedestrian Area_counts_mean,-0.00312174388772163
Guard Rail_counts_std,0.0030551956101659257
Banner_ratios_std,0.002928012519490523
Junction Box_ratios_mean,-0.0029136941344607035
Vegetation_counts_std,-0.002822183167221215
Bench_counts_mean,0.002621087425706936
Boat_counts_std,-0.002453696619841366
Bicycle_counts_std,0.0023322718608872295
Pothole_ratios_mean,0.0022800149976318416
Traffic Sign (Back)_ratios_mean,-0.002124526900258772
Truck_ratios_std,0.0020106308068486836
Utility Pole_ratios_std,0.0016692235023174624
Service Lane_counts_std,-0.0013816368266675505
Person_ratios_std,0.0011414120829047044
Other Vehicle_counts_mean,-0.0007416805911465858
Traffic Sign (Front)_counts_mean,-0.0006729631136205119
Billboard_ratios_mean,-0.0006668526040126459
Crosswalk - Plain_counts_mean,-0.00044019202581938195
Bird_ratios_std,0.00031783405428201315
Banner_counts_std,-0.0002588975119455908
