variable,coefficient
Lane Marking - General_counts_std,-0.004918927350277192
Person_ratios_mean,0.0034707871958313393
Parking_counts_std,-0.002746570957280114
Utility Pole_counts_mean,0.002028508930619259
Curb Cut_ratios_mean,-0.001988272419523784
Trash Can_ratios_std,-0.0018877463586628915
Truck_counts_std,0.0016035186754354317
Car_ratios_std,-0.001165014301751044
Rail Track_ratios_std,0.0010082919715583198
Mountain_ratios_mean,-0.0008860852020084891
Caravan_ratios_std,0.0008228835892931385
Caravan_ratios_mean,0.0007627901986897988
Person_counts_mean,0.0006456148042295983
Other Vehicle_ratios_std,0.0005468675817383989
Other Vehicle_counts_mean,0.00024729261702946255
Traffic Light_ratios_mean,0.00016804837234381083
Other Vehicle_counts_std,0.00015728836411675352
Mountain_ratios_std,-5.211087841923579e-05
Sky_ratios_std,-4.69985026507441e-05
