variable,coefficient,std_err,t_value,p_value,significance
constant,1.0452142623629257e-14,0.04270988768636119,2.4472418893686304e-13,0.9999999999998048,
CCTV Camera_counts_std,-0.2710028304672066,0.06960823983359207,-3.893257911923582,0.00012177617369571851,***
Utility Pole_ratios_std,0.20394895812183897,0.05871976423518247,3.4732591449957004,0.0005893515727363779,***
Wheeled Slow_ratios_std,0.14093747195471817,0.06265037572295133,2.249587018886579,0.025195222843769655,*
Traffic Sign (Front)_ratios_mean,0.24242783658022957,0.12209212271806577,1.9856140689767687,0.04798029368799717,*
On Rails_ratios_std,0.15526547633657878,0.05319643089869984,2.9187198034440613,0.003778890934255331,**
Building_counts_std,-0.12678185628546032,0.06635637140246217,-1.9106206925708424,0.057000132163675596,.
Traffic Sign Frame_counts_std,0.21290272629935997,0.08667793698642162,2.4562505027399517,0.01460230197240304,*
Rail Track_ratios_std,-0.21903193973854632,0.10991212998946774,-1.992791330306627,0.047184024655471474,*
Guard Rail_ratios_mean,0.17271346987341663,0.057066142632852486,3.0265488765309847,0.0026866252974855035,**
Bus_counts_std,0.15577721395000824,0.06804531458389425,2.2893158023091775,0.022750880181577043,*
Rail Track_counts_std,-0.0804585106591253,0.10807938578421411,-0.7444390072660548,0.45718979538197635,
Fire Hydrant_counts_std,0.1492902577650985,0.10468620784159063,1.4260737956140501,0.15487990369811316,
Curb Cut_ratios_std,0.08277971008082939,0.0709715803703724,1.1663782833753322,0.24438177998990146,
Truck_ratios_std,0.02889548931359432,0.08196550442251163,0.352532318530553,0.7246849863775472,
Water_ratios_std,0.09321687576250531,0.05101467063576706,1.8272562500315297,0.06864800945194337,.
Caravan_counts_std,0.07521489598239924,0.05465163540028423,1.3762606632263388,0.1697605534220926,
Lane Marking - General_ratios_std,-0.06556424216087038,0.05096211686833103,-1.286529017824482,0.19924384615460852,
Car Mount_counts_std,0.10100610714505287,0.06519055352647693,1.5493979063090724,0.1223333696826173,
visual_complexity_mean,0.05124017266239733,0.09398029583153605,0.5452225087080771,0.5860029248590506,
Snow_counts_std,-0.065491620889697,0.06157071836396447,-1.063681286006033,0.28832286343347224,
Vegetation_ratios_std,0.08310678380770176,0.06892579314585953,1.20574287236467,0.22886047159066547,
Trailer_counts_std,0.015888353739061237,0.060783324557394845,0.26139329914504117,0.7939673981278743,
Wheeled Slow_counts_std,0.027123778076148294,0.07393671019895459,0.3668512975917044,0.7139868468780698,
Motorcyclist_counts_std,0.04264198192651007,0.07390491553439366,0.5769843807840558,0.5643798474224311,
Ground Animal_ratios_mean,-0.07589416621021923,0.04904893087342026,-1.547315402369891,0.12283445808052057,
Truck_ratios_mean,0.10005679971894463,0.08271839296826823,1.2096076353578051,0.22737551122615487,
Catch Basin_ratios_mean,-0.11031443531587116,0.05673029117939149,-1.9445420254769514,0.05275832237573332,.
Sand_counts_std,0.0005929998010947993,0.061740212989640025,0.009604757942676751,0.9923429713562762,
Traffic Sign Frame_ratios_std,-0.014354522505528723,0.08473568799387528,-0.169403504537147,0.8655926813231449,
Barrier_counts_std,-0.13007370192154383,0.07295323575169989,-1.7829737170844129,0.07559490364039778,.
Other Rider_counts_mean,-0.06659470245282723,0.04719414169309807,-1.4110798515182321,0.15925038639955816,
Banner_counts_std,0.06610001252981024,0.05502857095730962,1.2011944228224587,0.2306169976512689,
Traffic Sign (Front)_ratios_std,-0.015546389779026903,0.1120558543965948,-0.13873786303037938,0.889749763764683,
Fire Hydrant_ratios_std,-0.061110520247992406,0.10882379158642107,-0.5615547791262376,0.5748358758157965,
Traffic Sign (Back)_ratios_std,-0.13322608374654799,0.06266767085659325,-2.1259140785911512,0.03432153091563152,*
Traffic Sign (Front)_counts_std,-0.1151806901987576,0.11092299266756601,-1.038384264874207,0.2999218489901632,
