variable,coefficient,std_err,t_value,p_value,significance
constant,-1.366962099069724e-15,0.04566273092757377,-2.993605663309712e-14,0.9999999999999761,
CCTV Camera_counts_mean,0.13551383873866807,0.06377145042075252,2.124992262910318,0.0343679272487598,*
Motorcyclist_counts_mean,-0.13858941733326527,0.07454600203409878,-1.8591126760878711,0.06394648414107756,.
Parking_counts_mean,-0.10103192186213975,0.06041625617892994,-1.6722638616156829,0.09546838399774439,.
Lane Marking - General_counts_mean,-0.14409300568784014,0.08482992868005687,-1.6986104778102418,0.09038315877628081,.
Water_ratios_std,-0.0804696821609629,0.0534748406036513,-1.5048138760691954,0.13337713060614623,
Road_counts_std,0.02217514054972828,0.06366565128614708,0.34830619182801537,0.7278436466675811,
Curb Cut_ratios_mean,-0.10033944855627837,0.0661826616095091,-1.5160987200590559,0.13050042657442257,
Other Vehicle_counts_mean,0.08424516945098097,0.05532666280910445,1.5226866247410416,0.12884355202501174,
Bike Lane_counts_std,0.02937582797643668,0.10302927134615988,0.28512118539341275,0.7757392688493336,
Vegetation_ratios_mean,-0.08455848172164071,0.07360499876750015,-1.1488143894783542,0.25150688478948985,
Car Mount_counts_std,-0.10288927614044321,0.06335709632099439,-1.6239582006593507,0.10538812074039904,
Guard Rail_counts_std,-0.10570176557445851,0.06252889711155153,-1.6904466647778322,0.09193491712101766,.
Truck_counts_std,0.06551948957746018,0.057232998637419784,1.1447851962560383,0.25316999156786196,
Mailbox_ratios_mean,0.09993876860299675,0.055882681685245364,1.788367443887065,0.07468075961610372,.
Bicyclist_counts_mean,-0.06257162732298031,0.06148603180916424,-1.017655969687318,0.3096249372875231,
Lane Marking - General_counts_std,0.04222912557278103,0.0816481465800078,0.5172086243427498,0.6053746651430092,
Rail Track_ratios_std,0.11426052498085722,0.06060773065553767,1.8852467126719146,0.06031967948229597,.
Street Light_counts_mean,0.11452771256798959,0.061459380153021805,1.8634700233363573,0.06332950814085572,.
Traffic Sign Frame_ratios_mean,-0.08038765910086079,0.055680155657717376,-1.4437398414441915,0.14980912916079114,
Bike Lane_counts_mean,-0.13232210682533158,0.08754638853819495,-1.5114513463636683,0.131679210512702,
Mountain_ratios_mean,-0.04559674471184288,0.05250564196533979,-0.8684160978727269,0.38582982727397264,
Lane Marking - Crosswalk_counts_std,-0.05713265843110161,0.0878557669645174,-0.6503006052428632,0.5159735737391309,
Terrain_counts_std,-0.02613006573561184,0.06553245221116438,-0.3987347467391158,0.6903596767482891,
